Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
199857061302,1,7,7,シズナイスパート,牡4,55,安東章,1:19.1,,,,---,1,420(-14),[地]中村清,北山淳子,15.0
199857061302,2,2,2,ブンブンクイン,牝4,51,山田崇史,1:20.4,6,,,---,6,390(-2),[地]矢野久美,幣旗勝行,5.2
199857061302,3,4,4,ストロングハンター,牡4,55,服部茂史,1:20.4,アタマ,,,---,2,390(-2),[地]畠中功,中尾征子,1.9
199857061302,4,1,1,スペースコトブキ,牡4,55,杉村一樹,1:20.7,1.1/2,,,---,5,446(0),[地]杉本和之,佐藤敏郎,1.0
199857061302,5,6,6,サツマダケ,牡6,56,下田雅晴,1:21.1,2,,,---,7,404(-2),[地]鋤田嵩,幣旗日出子,
199857061302,6,3,3,マサルサニー,牡4,55,笠田敏勝,1:21.2,1/2,,,---,3,424(-12),[地]中村清,上田けい子,
199857061302,7,5,5,ミナミマッキー,牝4,54,有馬澄男,1:21.3,1/2,,,---,4,416(+10),[地]小林弘幸,木稲直美,
199857061307,1,7,7,プリティガイド,牝6,54,杉村一樹,1:24.8,,,,---,3,430(0),[地]杉本和之,添田信子,16.0
199857061307,2,5,5,アセアンホース,牡6,56,服部茂史,1:25.5,3,,,---,5,398(0),[地]漆島義広,三宮重利,5.6
199857061307,3,4,4,ミスシクレノン,牝7,54,安東章,1:26.2,3,,,---,4,408(-2),[地]中尾則行,井上義政,2.1
199857061307,4,6,6,ニシネネヴァビート,牡6,56,尾林幸彦,1:26.5,1.1/2,,,---,1,458(0),[地]中尾則行,花水節子,1.1
199857061307,5,1,1,オカノスマイル,牡5,53,山田崇史,1:27.2,3,,,---,2,436(-6),[地]清水保男,松本茂子,
199857061307,6,3,3,ヒデノドリーム,牝5,53,森田直哉,1:28.0,4,,,---,6,508(0),[地]千島一巳,斉藤英,
199857061307,7,2,2,ジョリープレミア,牡8,56,下田雅晴,1:28.2,1,,,---,6,436(-2),[地]中尾則行,有ケンゾウ,
199857061304,1,7,7,セイグンパワー,牝6,52,小田部雪,1:25.4,,,,---,4,434(+2),[地]小田部磨,佐藤定通,16.0
199857061304,2,2,2,カキノシオカゼ,牝7,54,下田雅晴,1:26.0,3,,,---,2,414(+4),[地]鋤田嵩,岩丸武昭,5.6
199857061304,3,1,1,ホマレウインドウ,牡5,56,高山伸一,1:26.1,1/2,,,---,3,404(-4),[地]村山二男,下岡憲久,2.1
199857061304,4,6,6,ミルフクイン,牝7,54,服部茂史,1:26.3,1,,,---,5,464(+8),[地]清水保男,松本茂子,1.1
199857061304,5,4,4,ヒカリグレナ,牝6,54,杉村一樹,1:26.4,1/2,,,---,7,390(0),[地]漆島義広,河越武治,
199857061304,6,3,3,カガヤキラララ,牝4,54,笠田敏勝,1:26.5,1/2,,,---,1,396(+6),[地]中村清,浦田亀久男,
199857061304,7,5,5,エルグレイ,牝5,53,森田直哉,1:27.6,5,,,---,6,410(0),[地]高田豊治,岡田一彦,
199857061304,8,8,8,フジミネコギク,牝5,54,石川浩文,1:27.6,ハナ,,,---,8,390(+4),[地]清水保男,襖田隆全,
199857061308,1,1,1,ヒデダンサー,牝4,54,桜木英喜,1:23.2,,,,---,3,412(-4),[地]千島一巳,斉藤英,16.0
199857061308,2,2,2,ダイヤモンドパス,牝4,54,尾林幸彦,1:24.3,5,,,---,2,432(0),[地]高砂哲二,伊藤正男,5.6
199857061308,3,7,7,ミエアサヒ,牝5,54,有馬澄男,1:24.7,2,,,---,1,400(-4),[地]清水保男,倉田義輝,2.1
199857061308,4,3,3,ゴールデンイーティ,牡7,56,石川浩文,1:24.8,1/2,,,---,5,510(-2),[地]清水保男,安達允彦,1.1
