Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
200453101009,1,7,7,シマナミベッピン,牝3,53,岡田祥嗣,1:48.9,,2-2-2-2,,---,2,432(+1),[地]戸川吉和,惠谷昌功,50.0
200453101009,2,5,5,ホーエイヒカリ,牝5,54,渡辺博文,1:49.0,1/2,9-9-7-4,,---,4,473(-6),[地]吉井昭蔵,杉本亘,15.0
200453101009,3,1,1,マルジュウガバナー,牡5,55,吉延忠義,1:49.2,3/4,10-10-10-9,,---,1,470(-5),[地]吉井英隆,藤井智,7.5
200453101009,4,6,6,パッションワン,牝4,54,黒川知弘,1:49.3,1/2,1-1-1-1,,---,3,456(-1),[地]胡本友晴,八木徹,5.0
200453101009,5,4,4,ヤマトニセン,牡6,54,片桐正雪,1:49.5,1,4-5-3-3,,---,5,421(-3),[地]徳本慶一,平賀真吾,2.5
200453101009,6,8,10,ビソウベンチャー,牡4,55,岡崎準,1:50.2,3,7-7-8-8,,---,6,432(0),[地]東森優,浜本克己,
200453101009,7,7,8,セイリュウグリーン,牡6,54,松井伸也,1:50.5,1.1/2,6-6-6-6,,---,10,450(+2),[地]桑田忠規,堀渕安秀,
200453101009,8,2,2,ムツミシンザン,牡6,54,石井幸男,1:50.6,クビ,8-8-9-10,,---,8,474(0),[地]黒川幹生,藤井睦夫,
200453101009,9,3,3,サイバーイット,牝5,54,三村展久,1:50.9,1.1/2,4-4-4-4,,---,9,463(-6),[地]戸川吉和,矢坂英二郎,
200453101009,10,8,9,マルエドラゴン,牡6,54,嬉勝則,1:52.6,8,3-3-4-8,,---,7,475(0),[地]白津寿己,藤岡史朗,
200454101006,1,3,3,ニシノインパラーレ,牡7,55,中越豊光,1:34.0,,,,---,1,480(-1),[地]川野勇馬,大石傳,10.0
200454101006,2,4,4,トナミオリンピア,牝5,54,倉兼育康,1:34.4,2,,,---,2,461(+4),[地]別府真司,高橋佑輔,2.5
200454101006,3,5,5,キタノハイジ,牝4,51,永森大智,1:35.1,3,,,---,3,420(0),[地]雑賀秀介,松本和男,1.2
200454101006,4,7,7,エーティールビー,牝4,54,中西達也,1:35.9,4,,,---,5,500(+8),[地]川野勇馬,長瀧宣雄,0.8
200454101006,5,8,9,ビクトリアサドン,牝9,54,西山裕貴,1:36.0,クビ,,,---,6,505(-6),[地]松木啓助,松本茂幸,0.5
200454101006,6,7,8,ローズプレイヤー,牝9,54,堅田雅仁,1:36.8,4,,,---,10,491(-2),[地]宮路洋一,野本稔子,
200454101006,7,6,6,シルクコンバット,牡7,55,古川文貴,1:37.6,4,,,---,4,491(-3),[地]坂本一仁,藤岡正昭,
200454101006,8,1,1,トップガン,牝5,54,宮川浩一,1:38.7,5,,,---,9,405(-3),[地]国沢輝幸,高橋健男,
200454101006,9,8,10,トワイニングロック,牡3,54,花本正三,1:39.1,2,,,---,8,429(0),[地]細川忠義,西森亀昇,
200454101006,10,2,2,アサヒテーション,牡7,55,川江光司,1:41.6,大,,,---,7,470(-1),[地]平和人,北川忠男,
200454101005,1,6,6,ハッピーハピネス,牡7,55,西川敏弘,1:28.2,,,,---,1,497(-4),[地]大関吉明,上野高徳,10.0
200454101005,2,7,7,スターケイ,牝4,54,堅田雅仁,1:28.6,2,,,---,4,451(-8),[地]曽我心一,西村潤仁,2.5
200454101005,3,8,10,バージンスクエア,牝3,53,赤岡修次,1:29.3,3,,,---,5,449(+2),[地]松木啓助,泉一郎,1.2
200454101005,4,3,3,キクノミューゲ,牝3,53,鷹野宏史,1:29.4,クビ,,,---,2,453(-1),[地]平和人,高井邦明,0.8
200454101005,5,8,9,スクオールメモリー,牡9,55,倉兼育康,1:29.4,クビ,,,---,7,501(-3),[地]松下博昭,山岸利一,0.5
200454101005,6,5,5,キャニオンタイカン,牡4,55,西内忍,1:29.8,2,,,---,7,431(-4),[地]谷力,浜口政雄,
200454101005,7,2,2,デジタルトウショウ,牝5,54,緒方洋介,1:30.1,1.1/2,,,---,6,435(0),[地]雑賀正光,西三雄,
200454101005,8,7,8,フレイミイパラス,牝6,54,花本正三,1:30.3,1,,,---,3,429(-1),[地]東原己俊,苅羽実,
200454101005,9,4,4,ヒカルサザンクロス,セ11,55,宮川浩一,1:30.7,2,,,---,9,441(+6),[地]宗石大,松木和子,
200454101005,10,1,1,マイネルガーベ,牡12,55,古川文貴,1:31.1,2,,,---,9,477(-1),[地]田中譲二,岩原己智子,
200453101008,1,4,4,ダシタンローズ,牝4,54,楢崎功祐,1:50.5,,3-3-2-2,,---,8,431(0),[地]戸川吉和,吉川安久,45.0
200453101008,2,2,2,ホワイトスポット,牡4,55,岡崎準,1:50.7,1,10-10-7-6,,---,4,474(+6),[地]江口秀博,橋本義房,13.5
200453101008,3,7,8,オラガセカイサー,牡4,54,山田祥雄,1:50.8,クビ,2-2-2-2,,---,6,453(0),[地]桧山龍二,河井正和,6.7
200453101008,4,5,5,ミスターダイマジン,牡5,55,吉延忠義,1:50.8,アタマ,8-8-8-6,,---,5,480(-3),[地]徳本慶一,平賀修二,4.5
200453101008,5,7,7,スマノフラット,牡6,54,松井伸也,1:50.9,クビ,5-5-4-4,,---,7,506(+2),[地]桧山龍二,河井正和,2.2
200453101008,6,6,6,ホクザングランド,牡6,54,周藤直樹,1:50.9,アタマ,6-6-5-5,,---,10,487(+12),[地]小嶺英喜,村上要,
200453101008,7,3,3,トライバルタガミ,牝6,53,越智誠,1:51.7,4,1-1-1-1,,---,8,469(+9),[地]神原勝志,高本須惠子,
200453101008,8,8,9,ヤマフジキング,牡4,55,池田敏樹,1:52.1,2,9-9-9-9,,---,3,493(-1),[地]末広卓己,山陽商事株,
200453101008,9,8,10,ホウオンテンプー,牡4,55,岡田祥嗣,1:52.1,クビ,7-7-6-8,,---,1,530(+6),[地]神原勝志,岡田正作,
200453101008,10,1,1,ハニースイープ,牝4,54,黒川知弘,1:54.0,9,4-4-10-10,,---,1,437(+6),[地]胡本友晴,八木徹,
200454101003,1,8,8,エムテイヤマト,牡4,55,中西達也,1:27.0,,,,---,4,508(-1),[地]炭田健二,山本治,10.0
200454101003,2,5,5,タイトロープ,牝3,53,中越豊光,1:27.1,クビ,,,---,1,477(+5),[地]松木啓助,中山純子,2.5
200454101003,3,2,2,マルチラブリー,牝6,54,赤岡修次,1:27.9,4,,,---,2,484(+4),[地]松木啓助,千頭喜代子,1.2
200454101003,4,6,6,ミリョクナムスメ,牝6,54,古川文貴,1:28.5,3,,,---,3,426(-4),[地]川野勇馬,中前好生,0.8
200454101003,5,3,3,キャニオンノーブル,牝7,54,緒方洋介,1:29.5,5,,,---,8,450(0),[地]雑賀秀介,松本和男,0.5
200454101003,6,7,7,マイネルシャルム,牡4,55,堅田雅仁,1:29.5,ハナ,,,---,5,442(+2),[地]炭田健二,岡繁幸,
200454101003,7,4,4,フローラルクロック,牝3,53,明神繁正,1:30.9,7,,,---,6,448(+14),[地]別府真司,西森鶴,
200454101003,8,1,1,スノーサウンド,牝3,53,上田将司,1:31.4,2.1/2,,,---,7,409(-11),[地]国沢輝幸,大月隆寛,
200454101002,1,5,5,ニューグリンスター,牝3,53,中越豊光,1:29.1,,,,---,6,481(+4),[地]松木啓助,中山純子,10.0
200454101002,2,8,8,ローズフラッシュ,牝8,54,宮川浩一,1:29.8,3,,,---,1,435(+2),[地]炭田健二,吉田泰男,2.5
200454101002,3,7,7,ビービーダンス,牝5,54,上田将司,1:30.0,1,,,---,5,460(-5),[地]谷力,浜口政雄,1.2
