Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
201054021906,1,6,6,ピクチャーオブユー,牡4,56,赤岡修次,1:34.3,,2-2-2-1,,1.1,1,512(+7),[地]田中守,組）ＫＳＤドリーム,9.0
201054021906,2,2,2,ウエスタンヴァース,牡4,56,倉兼育康,1:34.9,3,7-7-7-3,,14.5,5,431(+3),[地]別府真司,西村潤仁,2.3
201054021906,3,4,4,ケイエススウィフト,牡4,56,永森大智,1:35.0,クビ,1-1-1-2,,11.8,3,494(-5),[地]雑賀正光,高田喜嘉,1.0
201054021906,3,7,7,エーシンエッティン,牝6,54,別府真衣,1:35.0,同着,6-6-5-5,,6.5,2,452(+2),[地]別府真司,坂本孝徳,1.0
201054021906,5,1,1,ジャルダンドゥロゼ,牝4,55,中西達也,1:35.6,3,4-3-3-4,,12.3,4,450(0),[地]松木啓助,岡林英雄,0.5
201054021906,6,5,5,フラップジャック,牡8,56,西川敏弘,1:35.8,1,3-4-4-7,,99.7,7,497(-4),[地]松木啓助,石本鈴雄,
201054021906,7,8,8,トミーガン,牡4,53,西森将司,1:37.1,6,5-5-6-6,,159.5,8,458(0),[地]別府真司,西森鶴,
201054021906,8,3,3,ラブラブエンジェル,牝7,55,宮川浩一,1:42.5,大,8-8-8-8,,29.6,6,451(-3),[地]田中伸一,中谷進一,
201054021909,1,4,4,ファインスティール,牡8,56,永森大智,1:33.0,,6-5-4-1,,1.8,1,520(-6),[地]雑賀正光,公文進児,11.0
201054021909,2,6,6,エイシンハルピン,セ9,56,目迫大輔,1:34.4,7,2-2-2-3,,6.0,3,478(+4),[地]田中守,野本稔子,2.8
201054021909,3,8,8,ナムラコマンド,牡6,56,赤岡修次,1:34.5,クビ,4-4-3-2,,6.9,4,476(+9),[地]工藤英嗣,中内晴子,1.4
201054021909,4,2,2,フルパワー,牡5,56,倉兼育康,1:34.5,アタマ,5-5-6-4,,2.8,2,489(-2),[地]別府真司,坂本孝徳,0.9
201054021909,5,7,7,ローテクロイツ,牡11,55,別府真衣,1:34.5,クビ,9-8-7-7,,35.8,6,492(+3),[地]打越初男,高橋孝保,0.6
201054021909,6,3,3,イブキゴルデルゼ,牝9,55,西川敏弘,1:35.1,3,7-7-8-6,,38.3,7,463(-6),[地]田中譲二,過能英治,
201054021909,7,5,5,フェルメールタッチ,牝5,55,高橋利幸,1:35.7,3,2-2-5-8,,32.7,5,484(+2),[地]田中守,野本稔子,
201054021909,8,8,9,カネショウシーズ,牝9,55,西山裕貴,1:35.8,3/4,8-8-9-9,,79.2,9,450(-4),[地]松木啓助,藤田清雄,
201054021909,9,1,1,ギブリー,牡10,55,森井美香,1:36.6,4,1-1-1-4,,48.2,8,483(+3),[地]大関吉明,福永守,
201054021910,1,3,3,ストロングタテヤマ,牡9,56,倉兼育康,1:47.6,,8-8-7-1,,2.2,2,495(-4),[地]細川忠義,高宮輝千代,14.0
201054021910,2,8,9,エスデイブレイク,牡6,56,中西達也,1:47.7,1/2,7-7-4-1,,1.8,1,459(+3),[地]炭田健二,河崎三代子,3.5
201054021910,3,7,7,エイシンボーダン,牡9,55,別府真衣,1:48.7,5,5-5-5-4,,22.8,4,459(-2),[地]打越初男,古味裕章,1.7
201054021910,4,6,6,ドリームセレナーデ,牝8,52,西森将司,1:49.1,2,4-4-1-1,,50.5,5,534(-9),[地]別府真司,山崎泰男,1.2
201054021910,5,5,5,エムアイナオキヒメ,牝8,54,森井美香,1:50.4,6,9-9-9-8,,89.3,7,483(+2),[地]田中譲二,宮下洋,0.7
201054021910,6,7,8,ガーランド,牝4,55,西川敏弘,1:50.6,1,2-2-1-5,,89.3,7,419(0),[地]大関吉明,西森鶴,
201054021910,7,1,1,マイネルモンシェリ,牡10,56,高橋利幸,1:50.8,1,3-3-6-6,,77.4,6,491(+1),[地]田中守,野本稔子,
201054021910,8,2,2,セニョールベスト,牡11,56,宮川浩一,1:51.2,2,6-5-8-9,,145.2,9,474(+2),[地]宗石大,勝賀瀬和男,
201054021910,9,4,4,ビッグインディ,牡11,56,赤岡修次,1:51.4,1,1-1-1-7,,4.6,3,525(+9),[地]田中守,野本稔子,
201043021801,1,5,5,トーアローリエ,牝4,53,坂井英光,1:37.5,,3-3-3-3,39.2,1.5,1,504(-3),[地]斉藤敏,高山ランド,80.0
201043021801,2,7,7,テンロウ,牡4,55,佐藤裕太,1:37.9,2,6-7-5-4,39.3,18.5,4,433(+5),[地]森勇,石川修久,24.0
201043021801,3,6,6,ハギオヴィグラス,牡4,55,桑島孝春,1:37.9,ハナ,1-1-2-1,39.8,3.7,2,481(-6),[地]石井勝男,佐久間達,14.4
201043021801,4,4,4,インディパーチャー,牡4,55,本多正賢,1:38.2,1.1/2,1-2-1-1,40.2,5.8,3,417(-2),[地]佐々木清,佐々木雄二,9.6
201043021801,5,3,3,サンガーネット,牝4,50,中野省吾,1:39.3,5,4-4-4-5,40.8,48.7,7,486(-2),[地]宮下靖旨,三村茂,8.0
201043021801,6,2,2,アルバーノ,牡4,55,野沢憲彦,1:39.7,2,8-8-8-6,40.6,23.7,6,464(+2),[地]佐々木清,（株）エーヴィスシ,
201043021801,7,1,1,ブラストスルーギ,牡4,54,沢田龍哉,1:39.9,3/4,4-4-6-8,41.2,52.2,8,468(-4),[地]新井清重,吉岡秀宜,
201043021801,8,8,8,ジャンジー,牝4,53,實川純一,1:40.0,3/4,7-6-7-6,41.1,18.5,5,464(+8),[地]佐藤賢二,相沢順,
201054021905,1,8,9,モハチビスティー,牡6,56,高橋利幸,1:27.6,,2-2-1-1,,5.2,3,471(+1),[地]田中守,備前島敏子,9.0
201054021905,2,2,2,タグロッキー,牡4,56,永森大智,1:28.0,2,5-3-3-2,,2.0,1,463(+2),[地]川野勇馬,大石傳,2.3
201054021905,3,3,3,クリノハッピー,牡4,56,赤岡修次,1:28.1,1/2,9-9-7-5,,2.2,2,500(0),[地]田中守,組）ＫＳＤドリーム,1.1
201054021905,4,6,6,スプマドール,牡4,55,別府真衣,1:28.1,クビ,4-5-4-4,,25.5,6,444(+2),[地]打越初男,邑田昌平,0.8
201054021905,5,7,7,チョットグルービー,牝4,55,上田将司,1:28.5,2,1-1-2-2,,24.5,5,430(0),[地]国沢輝幸,西森鶴,0.5
201054021905,6,5,5,ダイワマリーン,牡4,56,西山裕貴,1:28.7,3/4,8-8-9-7,,15.8,4,484(+4),[地]松木啓助,浜田常稔,
201054021905,7,8,8,ドリームアプローチ,牝9,55,目迫大輔,1:29.3,3,5-6-6-7,,330.3,8,419(-3),[地]東原己俊,高橋道子,
201054021905,8,1,1,エムテイハチマン,牝4,55,中西達也,1:30.0,3,7-7-8-9,,330.3,8,459(0),[地]炭田健二,吉田泰男,
201054021905,9,4,4,バーンザフロア,牝4,54,石本純也,1:30.4,2,3-3-4-6,,30.1,7,444(+2),[地]田中伸一,江口正典,
201054021911,1,8,10,イルトロヴァトーレ,牡4,56,高野毅,1:28.8,,4-5-5-3,,7.8,4,464(+3),[地]雑賀正光,石田宏,9.0
201054021911,2,8,9,ペカー,牡4,56,中西達也,1:29.8,5,7-7-1-1,,6.3,2,450(-4),[地]炭田健二,野村文子,2.3
