Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
201747081801,1,6,6,トキノクリスタル,牝5,54,松本剛志,1:31.2,,6-4-4,39.7,35.1,5,426(-5),[地]山中輝久,（有）ホースケア,18.0
201747081801,2,4,4,モデスト,牡4,56,佐藤友則,1:31.5,1.1/2,2-2-1,41.0,3.8,2,502(+3),[地]井上孝彦,馬場祥晃,4.2
201747081801,3,3,3,ステラグランデ,牡5,56,池田敏樹,1:31.9,2,3-3-2,41.2,14.7,4,451(+2),[地]藤田正治,酒井孝敏,1.8
201747081801,4,1,1,セグレート,牝4,54,筒井勇介,1:32.3,2,1-1-3,41.9,1.2,1,449(+6),[地]花本正三,稲川專造,1.3
201747081801,5,2,2,ブリエアヴェニール,セ5,53,渡辺竜也,1:35.0,大,5-5-5,43.5,72.5,6,492(-1),[地]伊藤勝好,酒井孝敏,0.9
201747081801,6,5,5,オグリガール,牝6,54,大原浩司,1:37.3,大,4-6-6,46.0,11.9,3,441(+6),[地]山中輝久,江島勝代,
201747081806,1,8,8,リックハルチャン,牡5,56,吉井友彦,1:30.0,,3-3-1,39.0,2.5,1,454(-2),[地]森山英雄,山辺浩,19.0
201747081806,2,1,1,バトルフォンテ,牝6,55,森島貴之,1:30.0,クビ,5-4-4,38.8,3.7,3,422(+4),[地]水野善太,古川孝雄,4.4
201747081806,3,4,4,パスファインダー,牡6,57,佐藤友則,1:30.8,4,1-1-1,40.1,7.2,4,477(+3),[地]田口輝彦,吉田勝利,1.9
201747081806,4,6,6,アサカバハムート,牡6,56,松本剛志,1:30.8,クビ,6-5-5,39.4,45.6,7,428(-10),[地]加藤幸保,伊藤寿孝,1.4
201747081806,5,3,3,エアルシアン,牝5,53,宮下瞳,1:31.1,1.1/2,2-2-3,40.2,3.2,2,468(+1),[地]栗本陽一,浅川脩,1.0
201747081806,6,5,5,ミッキータイガー,牡7,53,渡辺竜也,1:31.4,1.1/2,8-8-6,38.6,17.6,5,493(+3),[地]笹野博司,酒井孝敏,
201747081806,7,7,7,ハイスピードバイオ,牝5,55,藤原幹生,1:31.9,2.1/2,7-7-8,39.5,19.8,6,442(-1),[地]加藤幸保,バイオ,
201747081806,8,2,2,サチヒメ,牝7,55,大原浩司,1:31.9,クビ,4-6-6,40.3,64.5,8,439(0),[地]後藤正義,新屋敬,
201747081804,1,4,4,サンデリアーナ,牝4,54,筒井勇介,1:29.1,,3-2-1,39.1,1.9,1,521(+6),[地]法理勝弘,海谷幸司,18.0
201747081804,2,7,7,ヒロンスキー,牝4,54,佐藤友則,1:29.3,1.1/2,4-4-3,38.9,1.9,2,447(+3),[地]花本正三,稲川專造,4.2
201747081804,3,3,3,キョウワニケ,牝4,54,松本剛志,1:29.9,3,2-2-2,39.9,7.8,3,467(-1),[地]花本正三,吉田銘一,1.8
201747081804,4,2,2,アグリデジタル,牝6,54,吉井友彦,1:30.6,3,5-5-5,39.8,33.2,5,426(+3),[地]水野善太,（株）アグリ,1.3
201747081804,5,5,5,ヒルノケルン,牡5,56,藤原良一,1:31.0,2,7-7-7,39.2,22.0,4,508(-6),[地]新山広道,蛭川正文,0.9
201747081804,6,6,6,メイショウヒルガオ,牝5,54,大原浩司,1:31.3,1.1/2,6-6-6,40.3,61.1,6,458(+5),[地]藤田正治,（同）ＪＰＮ技研,
