Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
200330100209,1,1,1,モミジジュピター,牡3,55,秋田大助,1:50.9,,,,---,9,440(0),[地]鈴木英二,中村憲子,20.0
200330100209,2,2,2,エーエスリマンド,牝3,53,川島雅人,1:51.3,2,,,---,4,466(+10),[地]米川伸也,坂本厚子,4.0
200330100209,3,5,5,ヒカルミヨギ,牡7,56,服部茂史,1:51.5,3/4,,,---,12,378(0),[地]中村光春,西守明治,3.0
200330100209,4,4,4,ナヴィージョン,牝3,53,桜井拓章,1:51.7,1,,,---,8,422(-6),[地]佐々木一,福岡純一,2.0
200330100209,5,7,10,ジェニュインロード,牡4,56,小林靖幸,1:51.7,ハナ,,,---,11,470(0),[地]鈴木英二,松尾トミ,1.0
200330100209,6,5,6,ツキノオペラヒメ,牝3,53,中村裕司,1:51.7,アタマ,,,---,3,422(+2),[地]久保旭,川上勇治,
200330100209,7,6,8,ミホアヤメ,牝4,54,渋谷裕喜,1:51.9,1,,,---,6,476(-2),[地]伊藤靖則,浦新徳司,
200330100209,8,8,12,ホッカイロダン,セ5,56,佐々木国,1:52.2,1.1/2,,,---,5,502(+2),[地]若松平,石田宏,
200330100209,9,8,11,グレートベンチャー,牝3,53,五十嵐冬,1:52.3,1/2,,,---,2,448(+14),[地]高橋司,山口明彦,
200330100209,10,7,9,アレクサンダー,牡6,56,竹内仁志,1:52.5,1,,,---,10,476(-2),[地]伊藤靖則,浦新徳司,
200330100209,11,3,3,セイクリットギフト,牡4,56,藤倉寛幸,1:52.6,1/2,,,---,7,466(-2),[地]佐藤英明,有イシカリホースマン,
200330100209,12,6,7,メロディーライン,牝4,54,宮崎光行,1:53.3,3,,,---,1,472(+12),[地]松本隆宏,下河辺牧場,
200330100206,1,8,11,シャーディーソロン,牡3,55,桜井拓章,1:14.9,,,,---,3,508(-2),[地]佐々木一,戸部洋,20.0
200330100206,2,2,2,キャプテンジーコ,牝3,53,佐々木国,1:15.8,4,,,---,4,470(+6),[地]若松平,沢井健,4.0
