Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
201650122806,1,4,4,シリカ,牝3,55,下原理,1:29.7,,2-2-2-2,38.1,1.3,1,460(-3),[地]北野真弘,西森鶴,30.0
201650122806,2,8,9,キュアホリデー,牝5,54,山田雄大,1:30.1,2.1/2,1-1-1-1,39.1,4.9,2,472(+2),[地]保利良次,谷謙介,7.2
201650122806,3,7,7,チョウキタイ,牝3,54,保園翔也,1:30.7,3.1/2,3-3-3-3,39.0,7.7,3,442(+2),[地]田中道夫,丸山隆雄,3.6
201650122806,4,7,8,アミフジエンブレム,牡8,56,木村健,1:31.0,2,5-4-4-4,39.1,9.1,4,470(-2),[地]山口益巳,谷謙介,2.4
201650122806,5,8,10,ファイナルスコアー,牡11,56,宮下康一,1:31.3,2,4-5-5-5,39.2,44.1,6,480(+7),[地]山口浩幸,冨田藤男,1.8
201650122806,6,1,1,カシマフェニックス,セ5,56,板野央,1:31.7,2.1/2,10-10-7-8,38.6,41.7,5,493(-3),[地]荒山義則,鹿島敏裕,
201650122806,7,6,6,セレナイト,牝4,54,川原正一,1:31.7,アタマ,6-6-6-6,39.0,44.6,7,430(-3),[地]大塚信次,大黒富美子,
201650122806,8,5,5,デンコウコハク,牝4,54,高畑皓一,1:32.5,5,9-9-9-7,39.3,411.9,9,465(-2),[地]坂本和也,角山喜信,
201650122806,9,3,3,ハッピーアンブルー,牝6,54,鴨宮祥行,1:32.8,1.1/2,8-8-7-9,39.9,75.4,8,452(-1),[地]栗林徹治,三木計一,
201650122806,10,2,2,フミノフォーチュン,牡6,56,小山裕也,1:33.3,3,7-7-10-10,40.1,669.4,10,480(-1),[地]大塚信次,掘井容夫,
201665122802,1,5,5,リュウセイジョオー,牝2,510,松田道明,1:35.3,,,,7.8,4,930(+14),[地]村上慎一,大熊金八,9.0
201665122802,2,7,7,サカノメイケツ,牝2,510,工藤篤,1:48.3,,,,4.1,2,912(-19),[地]田上忠夫,（株）大阪畜産,1.8
201665122802,3,8,9,ホクトギンガ,牡2,530,藤本匠,1:51.1,,,,7.8,4,1026(-3),[地]岩本利春,石岡務,0.9
