Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
2015,1,,6,Mubtaahij,牡3,,オニール,1:24.8,,,,---,3,計不,[外]バファー,Sheikh Mohammed Bin Khalifa Al Maktoum,
201550011509,1,2,2,アップルシェア,牝4,54,下原理,1:28.8,,3-2-4-2,38.0,37.8,7,477(+2),[地]栗林徹治,（同）ＪＰＮ技研,45.0
201550011509,2,5,6,サクラガオカ,牡5,56,松浦政宏,1:28.9,クビ,7-7-6-6,36.8,16.1,5,485(+2),[地]森沢友貴,森沢清子,9.0
201550011509,3,7,10,バトルフォンテ,牝4,54,木村健,1:29.3,2.1/2,5-5-5-5,38.1,5.6,4,439(+3),[地]田中範雄,宮川秋信,4.5
201550011509,4,8,12,エイシンディズニー,牡4,56,吉村智洋,1:29.4,クビ,1-1-1-1,38.9,2.6,1,471(-2),[地]橋本忠男,平井克彦,2.7
201550011509,5,6,8,ダノンラブリー,牝5,54,大山真吾,1:29.4,ハナ,11-10-8-7,37.0,91.2,11,425(+5),[地]森沢友貴,ダノックス,1.8
201550011509,6,8,11,ヴィジオネール,牝4,54,田中学,1:29.4,クビ,4-4-3-3,38.5,5.0,3,435(-4),[地]織田誠,長浜和也,
201550011509,7,4,4,カーサノーヴァ,牡9,56,山田雄大,1:29.7,1.1/2,12-12-11-10,36.5,51.8,9,487(+1),[地]黒田隆男,（株）ファーストビ,
201550011509,8,1,1,エクセレントミノル,牡4,56,杉浦健太,1:29.9,1.1/2,6-6-2-4,38.9,3.2,2,491(+5),[地]新井隆太,吉岡實,
201550011509,9,6,7,トミケンジェスト,牡5,56,山崎雅由,1:30.1,1,9-9-10-11,37.3,98.6,12,473(+2),[地]溝橋一秀,（株）ファーストビ,
201550011509,10,3,3,アグネスリズム,牡5,56,板野央,1:30.5,2.1/2,8-8-9-8,38.1,42.6,8,474(-1),[地]吉行龍穂,阿形逸雄,
201550011509,11,7,9,リカティール,牝6,54,永島太郎,1:30.8,2,10-11-12-12,37.5,36.5,6,451(-1),[地]田村彰啓,山根浩,
201550011509,12,5,5,サンバデハーバー,牝4,54,寺地誠一,1:30.9,クビ,2-3-7-8,39.3,76.1,10,460(-4),[地]雑賀伸一,木村公子,
201550011504,1,7,9,エイシンアンカー,牡3,55,吉村智洋,1:29.8,,3-3-1-2,38.4,1.1,1,469(-4),[地]橋本忠男,平井克彦,35.0
201550011504,2,5,5,ハルミン,牝3,54,板野央,1:30.0,1.1/2,1-1-1-1,38.9,55.1,9,412(-3),[地]荒山義則,吉田忠史,7.0
201550011504,3,6,7,キッスインザダーク,牝3,54,小谷周平,1:30.6,4,4-4-5-4,39.0,46.6,8,450(+2),[地]小村正也,織田洋介,3.5
201550011504,4,1,1,リョウマオブロー,牡3,55,杉浦健太,1:30.7,クビ,6-6-4-4,38.8,12.5,3,446(0),[地]保利良次,藤井陸治,2.1
201550011504,5,8,10,ハンサムスター,牡3,55,西川進也,1:30.8,クビ,8-8-7-6,38.1,39.7,7,425(-1),[地]西川精治,（有）アイファー,1.4
201550011504,6,3,3,ミラージュナイト,牡3,55,大山真吾,1:30.9,3/4,8-9-8-8,37.7,58.3,10,470(+3),[地]藪田辰己,山下寿,
201550011504,7,2,2,ステラブリランテ,牡3,55,永島太郎,1:31.0,3/4,10-10-9-9,37.5,10.4,2,446(+2),[地]屋敷和彦,（有）アイファー,
201550011504,8,6,6,ウスベニ,牝3,54,有馬澄男,1:31.2,1,2-2-3-3,40.0,17.0,4,416(-2),[地]雑賀伸一,豊原純弥,
201550011504,9,8,11,トモノサーブル,牝3,54,田中学,1:31.9,4,5-5-6-7,40.0,29.3,6,402(-3),[地]橋本忠男,共田義夫,
201550011504,10,7,8,ケイティジョーイ,牡3,55,川原正一,1:32.3,2.1/2,11-11-11-10,38.5,19.5,5,432(+4),[地]住吉朝男,田原一正,
201550011504,11,4,4,バルモラル,牝3,54,下原理,1:32.3,クビ,7-7-10-10,38.8,74.3,11,483(-2),[地]山本和之,花水辰夫,
2015,1,,7,Reynaldothewizard,,,マレン,1:12.2,,,,---,2,計不,,,
201550011510,1,8,9,マッハタイザン,牡9,56,杉浦健太,1:48.9,,1-1-1-1,36.8,3.4,1,468(+3),[地]新井隆太,平野正行,130.0
201550011510,2,7,8,アランロド,牝7,54,松浦政宏,1:48.9,クビ,4-4-3-3,36.6,3.5,2,471(-3),[地]野田忍,村上稔,26.0
201550011510,3,2,2,ティアモブリーオ,牡8,56,川原正一,1:49.2,2,3-3-2-2,36.9,4.3,3,458(+2),[地]住吉朝男,藤田孟司,13.0
201550011510,4,7,7,シルクコスモス,セ8,54,田中学,1:49.7,3,7-7-4-4,37.2,9.2,5,458(-1),[地]吉行龍穂,加藤武久,7.8
201550011510,5,8,10,ビザンローズ,牝6,52,小谷周平,1:49.8,1/2,2-2-5-5,37.5,39.7,8,491(+4),[地]稻田彰宏,平島満城,5.2
201550011510,6,4,4,シルクシンフォニー,牝6,54,吉村智洋,1:50.1,1.3/4,10-10-9-8,37.3,23.0,7,480(-5),[地]山口益巳,阿部善武,
201550011510,7,1,1,エーシンバリントン,牡7,55,永島太郎,1:50.4,2,5-5-6-6,37.9,5.9,4,492(+3),[地]橋本忠明,平井克彦,
201550011510,8,6,6,ブルースイショウ,牡6,55,木村健,1:50.4,アタマ,9-9-7-7,37.6,14.6,6,492(0),[地]盛本信春,池田守,
201550011510,9,3,3,コスモロゼット,牡6,55,渡瀬和幸,1:51.0,4,6-6-9-9,38.4,73.4,10,451(-6),[地]茂崎正善,山本晋也,
201550011510,10,5,5,ナニハトモアレ,牡9,55,下原理,1:51.2,3/4,8-8-8-10,38.4,55.1,9,503(0),[地]新子雅司,目黒忠法,
201550011506,1,8,9,タガノウォーリア,牡4,56,木村健,1:28.2,,1-1-1-1,38.6,1.7,1,456(-4),[地]新子雅司,八木良司,25.0
201550011506,2,6,6,アダチヤマ,牡4,56,下原理,1:28.6,2.1/2,3-3-2-2,38.5,2.6,2,492(+2),[地]寺嶋正勝,平賀修二,4.5
201550011506,3,7,8,カシマフェニックス,セ4,56,大山真吾,1:28.9,1.3/4,5-4-2-3,38.6,12.1,3,494(+1),[地]荒山義則,鹿島敏裕,2.3
201550011506,4,3,3,ハイランドリュウセ,牝4,54,松本剛志,1:29.7,5,4-5-4-4,39.1,16.9,5,481(0),[地]上田二郎,小林都美子,1.3
201550011506,5,1,1,モズダイコ,牡5,56,鴨宮祥行,1:29.9,1,8-8-7-7,37.9,33.9,7,488(+2),[地]田中道夫,（同）ＪＰＮ技研,0.8
201550011506,6,7,7,リコルド,牡5,56,松本幸祐,1:29.9,クビ,6-6-6-6,38.9,28.9,6,508(-2),[地]住吉朝男,鍋倉昌志,
201550011506,7,2,2,パルファイア,牡4,56,寺地誠一,1:30.1,1,10-10-9-8,37.5,114.2,10,467(-5),[地]雑賀伸一,荒川三代子,
201550011506,8,8,10,クリアザコースト,牡4,56,田中学,1:30.7,3.1/2,2-2-5-5,40.6,15.3,4,529(-2),[地]田中道夫,谷掛龍夫,
201550011506,9,5,5,ウォーターグローレ,牡5,56,平原透雄,1:31.3,3.1/2,9-9-10-9,38.5,69.9,9,476(-9),[地]長南和宏,山岡良一,
201550011506,10,4,4,タケマルホープ,牝8,54,竹村達也,1:32.9,10,7-7-8-10,40.9,60.5,8,457(+1),[地]長倉功,竹内勝之,
201550011505,1,8,10,ラムジュレップ,牝6,54,山崎雅由,1:28.8,,1-1-1-1,37.8,19.6,6,470(0),[地]山口益巳,谷謙介,25.0
201550011505,2,7,7,トウショウメソッド,牡4,56,杉浦健太,1:29.7,5,5-5-3-3,38.3,3.7,2,488(+32),[地]碇清次郎,トウショウ産業,4.5
201550011505,3,3,3,トレトレボーラー,牝4,54,田中学,1:30.0,1.1/2,7-7-6-5,38.2,2.0,1,472(-2),[地]諏訪貴正,南條浩輝,2.3
201550011505,4,8,9,ジャパンヴィーナス,牝4,54,吉村智洋,1:30.1,1/2,2-2-2-4,39.0,10.4,4,470(-1),[地]保利良次,内田滋三,1.3
201550011505,5,2,2,ユキノクレオパトラ,牝5,54,木村健,1:30.2,3/4,4-4-4-2,38.8,5.7,3,441(0),[地]西川精治,松岡幸男,0.8
201550011505,6,1,1,ロイヤルベビー,牝4,54,鴨宮祥行,1:30.3,1/2,9-9-8-6,38.1,36.7,8,458(+2),[地]栗林徹治,鮫島明洋,
201550011505,7,6,6,トキメキブンブン,牝4,54,瀬沢宙,1:30.9,4,8-8-9-8,38.7,40.2,9,458(-1),[地]大石省三,阿部和男,
201550011505,8,5,5,サキノヘイロー,牡4,56,小谷周平,1:31.5,3.1/2,10-10-10-10,39.1,106.5,10,473(+3),[地]大石省三,名古屋一征,
201550011505,9,4,4,ウィナーウェイ,牝4,54,大山真吾,1:31.5,クビ,6-6-5-6,39.9,17.3,5,465(-6),[地]保利良次,内田滋三,
201550011505,10,7,8,フウコウメイビ,牝5,54,松本剛志,1:31.8,2,3-3-7-9,40.2,19.9,7,470(+4),[地]小村正也,（同）ＪＰＮ技研,
201550011507,1,2,2,アワフレイム,牝4,54,川原正一,1:49.7,,5-5-4-3,38.3,2.4,2,471(0),[地]柏原誠路,岡田牧雄,30.0
201550011507,2,7,9,プロセキューション,牡4,56,木村健,1:49.9,1,2-2-1-1,39.0,17.7,3,481(+5),[地]山口浩幸,山上和良,5.4
201550011507,3,4,4,ピーキー,牡4,56,田中学,1:50.2,1.1/2,7-7-2-2,38.5,1.5,1,459(-4),[地]橋本忠明,（株）リバティホー,2.7
201550011507,4,8,10,ミッキーマンゴー,牡4,56,永島太郎,1:50.8,3.1/2,5-5-5-4,39.4,38.0,5,516(-1),[地]岡田利一,野田みづき,1.5
201550011507,5,3,3,ラスカルキッド,牡8,56,中田貴士,1:51.1,2,9-9-9-7,39.0,51.3,8,493(+2),[地]田中道夫,（同）ＪＰＮ技研,0.9
201550011507,6,6,7,キャニオンハンター,牡4,56,竹村達也,1:51.2,3/4,8-8-8-8,39.1,38.8,6,461(-2),[地]長南和宏,山本晋也,
201550011507,7,7,8,ナウゲッタチャンス,牝4,54,瀬沢宙,1:51.5,2,10-10-10-9,39.0,102.0,10,445(+2),[地]土屋洋之,吉田紀康,
201550011507,8,1,1,エイシンナカヤマ,牡4,56,吉村智洋,1:51.8,2,4-3-6-6,40.4,39.2,7,501(+1),[地]橋本忠男,平井克彦,
201550011507,9,6,6,アキノライセンス,牡5,56,大山真吾,1:52.1,2,3-3-7-10,40.7,77.2,9,498(-2),[地]茂崎正善,増田陽一,
201550011507,10,8,11,バヤル,牝5,54,下原理,1:53.4,8,1-1-2-5,42.5,35.6,4,432(-8),[地]山本和之,花水辰夫,
201550011508,1,5,5,ジェンキンス,セ3,55,大山真吾,1:29.8,,7-7-2-2,37.8,2.0,1,453(0),[地]土屋洋之,高沢正幸,50.0
201550011508,2,7,8,イチノティアラ,牝3,54,木村健,1:29.9,1/2,1-1-1-1,38.2,4.4,2,449(+7),[地]田中範雄,古川直一,10.0
201550011508,3,4,4,チョウマックス,牝3,54,鴨宮祥行,1:30.4,3,4-3-6-3,38.5,15.1,5,415(0),[地]田中道夫,丸山隆雄,5.0
201550011508,4,8,11,マジカルフェイト,牡3,55,杉浦健太,1:30.7,2,5-5-2-4,38.8,22.6,7,473(-5),[地]大石省三,槇本牧場,3.0
201550011508,5,6,7,レオベスト,牡3,55,田中学,1:30.8,クビ,8-8-7-7,38.8,5.5,3,441(+1),[地]織田誠,櫨山慶次,2.0
201550011508,6,2,2,ビザンヤマト,牡3,55,小谷周平,1:31.0,1.1/2,6-6-8-6,38.8,7.3,4,453(-1),[地]稻田彰宏,平島尚武,
