Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
2020,1,,2,Without A Fight,牡3,61,アッゼニ,2:10.25,,,,---,2,計不,[外]クリスフ,Sheikh Mohammed Obaid Al Maktoum,
2020,1,,6,Upper Class,牡3,54,レアル,1:02.40,,,,---,4,計不,[外]シントラ,Stud Gaeta,
2020,1,,1,Alenquer,牡2,59.5,マーカン,1:27.76,,,,---,4,計不,[外]ハガス,M M Stables,
2020,1,,8,Wonderful Tonight,牝3,56,ピッコー,2:54.11,,,,---,5,計不,[外]ムニュイ,Christopher Wright,
2020,1,,5,Palace Pier,牡3,56.5,デットー,1:38.06,,,,---,1,計不,[外]ゴスデン,Sheikh Hamdan bin Mohammed Al Maktoum,
202001020101,1,4,4,シティレインボー,牡2,54,池添謙一,1:50.3,,4-3-3-2,36.8,1.9,1,470(-4),[西]池添兼雄,深見富朗,510.0
202001020101,2,1,1,モリノカンナチャン,牝2,54,横山和生,1:50.6,2,2-2-2-1,37.3,2.8,2,426(-2),[東]大江原哲,森和久,200.0
202001020101,3,3,3,メモラーブル,牝2,54,大野拓弥,1:51.8,7,5-5-6-4,37.7,9.4,4,446(+4),[東]武藤善則,吉田晴哉,130.0
202001020101,4,5,5,セイウンオードリー,牡2,53,団野大成,1:53.0,7,1-1-1-3,39.8,7.0,3,500(0),[東]深山雅史,西山茂行,77.0
202001020101,5,2,2,マクシミリアン,牡2,54,藤岡佑介,1:54.2,7,3-3-4-4,40.4,47.3,6,442(+2),[西]奥村豊,ターフ・スポート,51.0
202001020101,6,6,6,トーセンケビン,牡2,54,菱田裕二,1:55.3,7,5-5-5-6,41.4,19.4,5,498(0),[東]本間忍,島川隆哉,
202001020104,1,5,6,フィーユレヴーズ,牝3,54,横山武史,0:58.6,,2-2,35.0,1.9,1,450(+6),[東]斎藤誠,小田吉男,510.0
202001020104,2,4,4,カテドラルロック,牝3,51,山田敬士,0:58.8,1.1/4,2-3,35.1,14.0,4,430(+6),[東]石毛善彦,ライオンレースホース,200.0
202001020104,3,6,7,ペプチドシンデレラ,牝3,54,松田大作,0:58.8,アタマ,1-1,35.3,5.4,3,432(+2),[西]武英智,沼川一彦,130.0
202001020104,4,8,12,ホウオウエインセル,牝3,54,川島信二,0:58.8,クビ,5-4,34.9,32.8,9,460(-8),[西]須貝尚介,小笹芳央,77.0
202001020104,5,2,2,コンゴウレイワ,牝3,53,団野大成,0:59.1,1.1/2,5-6,35.2,4.5,2,456(-4),[西]佐々木晶,金岡久夫,25.5
202001020104,5,6,8,モズトリプルエー,牡3,56,吉田隼人,0:59.1,同着,8-8,34.9,19.7,6,480(-4),[西]鮫島一歩,キャピタル・システム,25.5
202001020104,7,7,9,マーブルレディー,牝3,54,池添謙一,0:59.1,ハナ,8-8,34.9,17.9,5,452(+14),[西]池添兼雄,下村直,
202001020104,8,8,11,トーレスデルパイネ,牝3,54,黛弘人,0:59.3,1,2-4,35.6,20.2,7,470(0),[東]萱野浩二,ミルファーム,
202001020104,9,7,10,スズノレイラ,牝3,54,石川裕紀,0:59.5,1.1/2,10-11,35.1,67.2,11,474(0),[東]高橋裕,小紫嘉之,
202001020104,10,1,1,サンドジョーカー,牡3,53,秋山稔樹,0:59.6,1/2,10-8,35.3,38.1,10,494(-4),[西]高橋康之,ＹＧＧホースクラブ,
202001020104,11,5,5,ワイルドキャット,牝3,54,菱田裕二,0:59.7,3/4,12-12,34.8,29.0,8,426(0),[西]西橋豊治,岡田隆寛,
202001020104,12,3,3,クレスコアンジェラ,牝3,54,古川吉洋,1:00.5,5,5-6,36.6,98.8,12,468(+12),[西]長谷川浩,堀川三郎,
