Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,6,6,ジョリファム,牝4,54,斉藤雄一,1:14.1,,4-3,37.1,2.1,1,436(+6),[地]高橋純,石瀬浩三,12.0
2,3,3,キャニオンランズ,牝5,54,高松亮,1:14.6,3,2-1,38.1,2.1,2,502(-4),[地]菅原右吉,小野寺茂,2.4
3,1,1,ナンヨーマケナイワ,牝5,54,千田洋,1:15.2,4,1-2,38.8,4.8,3,458(+12),[地]酒井仁,（同）ＪＰＮ技研,1.2
4,4,4,イトシイコイビト,牝4,54,高橋悠里,1:15.5,1.1/2,3-4,38.7,21.2,4,412(+1),[地]関本浩司,小沢卓,0.9
5,5,5,モルフェリズム,牝6,54,木村暁,1:15.6,1/2,6-5,38.1,21.6,5,423(-1),[地]及川良春,（有）ホースケア,0.3
6,2,2,カミノエイコウオー,牡4,56,菅原俊吏,1:15.9,1.3/4,5-5,38.6,41.4,6,449(-1),[地]伊藤和,原田治正,
1,8,10,スマイルリリー,牝3,54,山本聡哉,1:26.3,,3-1,37.6,22.7,6,459(+6),[地]佐藤雅彦,佐藤弘樹,24.0
2,7,8,ウィークエンド,牝3,54,南郷家全,1:26.5,1.1/4,4-4,37.5,9.6,4,494(+1),[地]菅原勲,高橋一己,4.8
3,3,3,マイネルモヒート,牡3,56,高松亮,1:26.6,1/2,1-2,38.1,1.4,1,471(-7),[地]板垣吉則,杉浦和也,2.4
4,4,4,レディパッション,牝3,54,村上忍,1:27.1,3,2-2,38.5,16.2,5,431(+2),[地]村上実,久井直彦,1.7
5,8,9,バイオレットパワー,牝3,54,山本政聡,1:28.1,6,6-6,38.6,6.6,2,445(+12),[地]城地俊光,藤村忠三郎,0.7
6,1,1,キングアルファ,牡3,56,斉藤雄一,1:28.8,4,8-7,39.2,62.6,7,483(+10),[地]城地俊光,石田牧場,
7,2,2,シグラップレディ,牝3,54,菅原辰徳,1:29.3,3,5-5,40.2,95.2,10,471(-3),[地]菅原右吉,杉浦和也,
8,7,7,ドナータ,牝3,54,関本淳,1:30.2,6,10-8,40.3,77.8,9,457(+5),[地]城地俊光,前田宗将,
9,6,6,フェスティヴシー,牡3,56,菅原俊吏,1:30.5,2,8-9,40.7,7.9,3,452(+4),[地]伊藤和,臼井義太郎,
10,5,5,フリルカラー,牡3,56,千田洋,1:30.6,3/4,7-10,40.9,64.2,8,435(-6),[地]菅原右吉,森田徹,
1,8,8,ランデックハーツ,牝3,54,村上忍,1:25.5,,2-2,37.4,1.9,1,489(-2),[地]村上実,簗田満,24.0
2,1,1,オーバートゥループ,牝3,54,高松亮,1:26.0,3,1-1,38.2,2.3,2,471(+1),[地]佐藤雅彦,太田浩彦,4.8
3,5,5,コスモメロス,牡3,56,山本聡哉,1:26.6,4,4-3,38.3,8.8,3,459(+1),[地]畠山信一,湯沢寛,2.4
4,3,3,ヒシニース,牝3,54,関本淳,1:28.1,9,8-9,38.6,21.1,5,429(+1),[地]晴山厚司,坂上武義,1.7
5,2,2,マルケイジャパン,牡3,56,菅原俊吏,1:28.2,1/2,8-8,38.8,104.5,8,437(0),[地]佐藤祐司,熊谷啓一,0.7
6,8,9,イルンゲルン,牡3,56,南郷家全,1:28.2,ハナ,5-6,39.3,123.0,9,438(-7),[地]城地俊光,大黒富美子,
7,4,4,トーホクノキズナ,牡3,56,大坪慎,1:28.7,3,5-5,40.0,42.6,6,428(-1),[地]桜田浩三,畠山誠,
8,6,6,タマニカテレバ,牝3,54,山本政聡,1:29.5,5,7-6,40.4,49.7,7,484(-7),[地]晴山厚司,昆亜紀夫,
9,7,7,ウーヴァ,牝3,54,菅原辰徳,1:29.7,1.1/2,2-4,41.4,11.9,4,411(+4),[地]瀬戸幸一,杉浦和也,
1,8,10,ワタリデザート,牝3,54,山本政聡,1:26.5,,3-3,37.0,2.4,1,449(-7),[地]板垣吉則,阿部作次,19.0
2,3,3,デルマフジコ,牝3,54,大坪慎,1:26.9,2.1/2,1-1,37.6,6.5,4,480(+1),[地]佐藤祐司,木村良明,3.8
3,5,5,カルクオンガエシ,牝3,54,千田洋,1:27.6,4,7-4,37.4,3.9,2,463(+5),[地]酒井仁,草野光夫,1.9
4,8,9,スクリーンデビュー,牝3,54,菅原俊吏,1:28.0,2.1/2,8-8,37.4,50.4,8,400(-3),[地]及川良春,（有）ホースケア,1.4
5,6,6,トーホウエトワール,牝3,54,木村暁,1:28.0,アタマ,4-5,38.1,9.8,6,432(+5),[地]只野広明,谷謙介,0.5
6,1,1,シーザーズセレクト,牡3,56,斉藤雄一,1:28.3,1.1/2,1-2,39.1,9.0,5,485(-8),[地]小西重征,松井淳二,
7,4,4,ラヴピース,牝3,54,菅原辰徳,1:28.8,3,6-6,38.7,5.9,3,439(-13),[地]瀬戸幸一,鈴木雅俊,
8,7,8,フミタツスナイパー,牡3,56,関本淳,1:29.8,6,9-7,39.1,109.7,9,398(-2),[地]関本浩司,大黒富美子,
9,2,2,バカラレディー,牝3,54,西谷泰宏,1:31.0,7,4-9,41.0,49.1,7,407(+1),[地]関本浩司,（有）ホースケア,
1,4,4,ティーキジュ,牡3,55,宮川実,1:28.4,,1-1-1-1,41.6,2.2,2,472(-1),[地]打越勇児,岡田義見,10.0
2,7,7,バトルタラサ,牝3,53,西川敏弘,1:28.7,1.1/2,2-2-2-3,41.8,8.6,3,444(-1),[地]打越勇児,爲永良弘,2.5
3,1,1,オンマイラブ,牝3,53,大沢誠志,1:28.8,1/2,3-3-3-1,41.8,12.1,4,440(-5),[地]別府真司,小長光康人,1.2
4,6,6,クーファアーマー,牝3,53,中村尚平,1:29.3,2.1/2,5-5-5-4,42.1,1.9,1,466(-8),[地]雑賀正光,小菅誠,0.8
5,8,8,チャイニーズメガ,牝4,54,佐原秀泰,1:31.0,8,7-7-6-5,43.3,106.8,8,418(-10),[地]宮路洋一,（有）ホースケア,0.5
6,2,2,ヤナガセイコ,牝4,54,山頭信義,1:31.4,2,6-6-6-6,43.8,89.0,7,426(+1),[地]田中守,吉田勝利,
7,3,3,ニーナピルエット,牝4,53,別府真衣,1:31.4,アタマ,9-9-9-8,42.9,42.7,6,445(+2),[地]田中譲二,過能英治,
8,5,5,サウスウィズダム,牡5,56,宮川浩一,1:31.6,1,8-8-8-9,43.5,106.8,8,417(-3),[地]田中譲二,（有）ホースケア,
9,8,9,ヨシノシルエット,牝3,52,下村瑠衣,1:32.2,3,3-3-4-7,45.1,24.8,5,419(-8),[地]宮路洋一,（有）ホースケア,
1,8,12,レーリュッケン,牝4,55,高橋悠里,0:58.2,,1-1,35.6,4.0,2,454(-4),[地]新田守,高橋昇市,30.0
2,2,2,エスカーダ,牡7,56,山本政聡,0:58.3,3/4,2-2,35.4,1.7,1,472(-2),[地]桜田浩樹,山本直樹,6.0
3,6,7,ヤマニンパニエ,牝5,54,菅原俊吏,0:58.7,2.1/2,3-4,35.3,6.9,3,470(-6),[地]伊藤和,土井睦秋,3.0
4,8,11,キャメロンフラワー,牝4,54,高松亮,0:59.0,2,7-7,35.6,72.3,9,413(+5),[地]佐藤雅彦,（有）ＮＯ．９ホー,2.1
