Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,5,5,トモジャクール,牝5,54,川島拓,1:29.8,,9-9-9-7,37.0,3.4,2,457(+4),[地]土井道隆,吉冨学,45.0
2,8,9,ツースターク,牝5,54,岡村健司,1:30.0,1.1/4,1-1-1-1,39.6,6.0,3,438(-3),[地]真島元徳,宮田直也,13.5
3,8,8,フルムーンソング,牡5,56,村松翔太,1:30.0,ハナ,2-2-2-2,39.4,31.9,7,437(+5),[地]松島壽,村山光弘,4.5
4,4,4,アンシャックルド,セ8,53,出水拓人,1:30.1,クビ,8-7-7-5,38.3,47.8,9,514(-2),[地]大島静夫,成富直行,2.7
5,6,6,ガブリキック,牡4,56,小松丈二,1:30.4,1.1/2,3-3-3-3,39.7,40.5,8,458(-2),[地]東眞市,原久美子,1.8
6,3,3,ダンツコンフォート,牡3,56,山口勲,1:30.8,2,6-6-5-4,39.7,1.7,1,467(-5),[地]古賀光範,山元哲二,
7,2,2,パイロット,牡5,56,長田進仁,1:31.0,3/4,4-4-4-6,40.0,23.0,5,505(+3),[地]中野博,小田切光,
8,7,7,モズバンブルビー,セ5,56,吉田順治,1:31.9,5,7-8-8-8,39.7,30.4,6,458(-1),[地]三小田幸,三岡有香,
9,1,1,バイレ,牝6,54,鮫島克也,1:32.0,1/2,5-5-6-9,40.7,12.6,4,493(+6),[地]北村欣也,（株）本城,
1,8,8,オーバーチュア,牡7,56,石川慎将,1:30.4,,6-5-5-3,38.8,5.9,4,457(-2),[地]山下定文,西村專次,24.0
2,7,7,ガルーダ,牡6,56,倉富隆一,1:30.5,クビ,4-4-3-2,39.3,4.8,2,447(-4),[地]川田孝好,阪田英裕,7.2
3,8,9,マイネルレジストル,牡5,53,出水拓人,1:30.5,アタマ,2-2-1-1,39.9,5.6,3,506(+9),[地]中川竜馬,酒井孝敏,2.4
4,1,1,リネンアッパレ,牡4,56,田中純,1:31.3,4,8-8-9-8,38.7,12.1,7,417(+9),[地]濱田一夫,戸山昌彦,1.4
5,4,4,ビッグオーラ,牡5,56,兒島真二,1:31.5,3/4,9-9-8-6,39.0,8.6,6,498(+2),[地]古賀光範,西村新一郎,1.0
6,5,5,ディーズフリッカー,牝4,54,真島正徳,1:31.7,1,7-7-7-5,39.6,7.7,5,432(+9),[地]石川浩文,三岡有香,
7,3,3,ハツラツニッコウ,牝4,54,南谷圭哉,1:32.1,2,5-6-6-4,40.1,16.3,8,426(-6),[地]武藤敏明,谷謙介,
8,2,2,ゼットラック,牡4,56,田中直人,1:33.6,8,3-3-4-7,42.5,136.6,9,468(-1),[地]山田徹,成富直行,
9,6,6,マリノジュエリー,牝5,54,山口勲,1:35.9,大,1-1-2-9,45.1,3.3,1,466(-1),[地]東眞市,矢野雅子,
1,3,3,クレイジーダイヤ,牡3,56,小松丈二,1:31.2,,1-1-1-1,40.1,23.0,6,465(+7),[地]東眞市,酒井孝敏,24.0
2,8,8,ビワチャン,牝3,54,渡辺博文,1:31.3,クビ,2-2-2-2,39.7,2.3,1,451(+2),[地]柳井宏之,瀬戸年美,7.2
3,5,5,クリスアンジェロ,牝3,54,山下裕貴,1:31.8,2.1/2,3-3-3-3,39.9,3.4,2,472(-11),[地]東眞市,鳥飼慶一,2.4
4,2,2,テネイシャスパール,牝3,54,村松翔太,1:32.7,5,7-7-7-4,39.6,10.3,5,374(+2),[地]柳井宏之,谷脇智恵子,1.4
5,1,1,テイエムミズホゴー,牡3,56,鮫島克也,1:33.9,6,6-6-6-7,40.9,23.7,7,428(+4),[地]平山宏秀,竹園正繼,1.0
6,4,4,モッコスファイター,牡3,56,長田進仁,1:34.3,2,4-4-5-5,41.8,56.9,8,432(-6),[地]頼本盛行,安田光則,
7,7,7,ムーンパスイエロー,牝3,54,川島拓,1:34.5,1.1/4,8-8-8-8,40.4,4.6,3,450(-10),[地]土井道隆,木稲安則,
8,6,6,チェリードール,牝3,54,南谷圭哉,1:35.1,3,5-5-4-6,42.6,8.9,4,436(-6),[地]西久保政,小部嘉彦,
1,1,1,サンドラフラッシュ,牝3,54,田中純,1:58.4,,3-3-3-2,38.2,1.7,1,430(-2),[地]山田徹,（株）本城,35.0
2,2,2,ピーナツ,牝3,54,長田進仁,1:58.4,クビ,1-1-1-1,38.7,6.1,3,461(0),[地]中野博,小田切光,10.5
3,7,7,マザー,牝3,54,田中直人,1:59.4,5,2-2-2-3,39.5,7.4,4,498(-1),[地]中野博,小田切統二,3.5
4,5,5,ニシノハピネス,牝3,54,竹吉徹,1:59.8,2,5-6-4-4,37.3,4.1,2,482(-3),[地]山田義人,瀬戸竜男,2.1
5,6,6,スターオブアラジン,牡3,56,鮫島克也,1:59.9,1/2,7-7-6-5,37.2,23.2,6,450(-6),[地]池田忠好,光安了,1.4
