Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,3,3,ハクユウロゼ,牝2,54,山口勲,1:57.6,,4-4-3-2,39.0,1.3,1,478(+7),[地]東真市,Ｈ．Ｉコーポレーション,45.0
2,7,7,ロトスキャンダル,牡2,55,真島正徳,1:57.7,3/4,3-3-2-1,39.3,4.0,2,478(-4),[地]真島元徳,国武佳博,13.5
3,2,2,ホワイトウィングス,牝2,54,山下裕貴,1:59.8,大,6-6-6-5,40.0,73.2,7,405(-7),[地]東真市,鳥飼慶一,4.5
4,5,5,ビューティフルキイ,牝2,54,長田進仁,1:59.9,3/4,5-5-5-3,41.0,45.2,6,424(-9),[地]土井道隆,深川一清,2.7
5,1,1,セッカチジャイアン,牡2,55,田中直人,2:01.5,8,7-7-7-6,41.3,11.9,4,459(+1),[地]東真市,松田整二,1.8
6,4,4,マリノピュアハート,牝2,54,石川慎将,2:01.9,2,1-1-1-4,43.6,8.6,3,461(-4),[地]真島元徳,矢野悦三,
7,6,6,ミヤノインディアン,牡2,55,吉田順治,2:03.2,7,2-2-4-7,44.6,24.9,5,461(-6),[地]土井道隆,宮副敏明,
1,5,5,ビレッジアスリート,牝4,54,村松翔太,1:32.3,,4-4-3-3,39.6,5.2,4,442(0),[地]浜田一夫,村山輝雄,13.0
2,1,1,ハクユウファイアー,牡4,56,石川慎将,1:32.3,クビ,1-1-1-1,40.1,2.9,1,546(+4),[地]石川浩文,Ｈ．Ｉコーポレーション,3.0
3,4,4,ワンダーヴィグルー,牝4,54,山下裕貴,1:32.9,3,2-2-2-2,40.5,3.5,2,487(-1),[地]九日俊光,山本信行,1.2
4,6,6,エイシンスターズ,牡5,53,岡村健司,1:33.0,1/2,8-8-6-6,38.6,11.6,5,519(-6),[地]高田豊治,岡村勝喜,0.7
5,3,3,クラウンサングリア,牡3,54,山口以和,1:33.2,1,6-5-5-4,39.4,4.4,3,498(-4),[地]手島勝利,矢野悦三,0.4
6,8,8,ダンシングソフィア,牝5,54,田中直人,1:33.3,クビ,3-3-4-5,40.6,12.4,6,444(+2),[地]東美義,（同）ＪＰＮ技研,
7,2,2,ウイングロリオサ,牝6,54,川島拓,1:34.9,8,7-7-8-8,39.9,83.2,8,486(-4),[地]矢野久美,（同）ＪＰＮ技研,
8,7,7,コスモエルタニン,牡4,56,竹吉徹,1:35.4,2.1/2,5-6-7-7,40.6,28.0,7,530(+1),[地]山田義人,瀬戸竜男,
1,8,9,リョウマオブロー,牡4,56,田中直人,1:32.5,,5-5-5-4,38.8,14.2,6,438(0),[地]井樋明正,（同）ＪＰＮ技研,12.0
2,3,3,アイデンティティー,牝4,51,岡村健司,1:33.0,2.1/2,2-2-2-5,40.1,9.8,4,441(+3),[地]大島静夫,古賀知行,2.8
3,7,7,クリノチーホー,牝4,54,長田進仁,1:33.1,1/2,3-3-3-1,40.0,6.0,2,408(+1),[地]中野博,三津家弘一,1.1
4,4,4,アンランジュ,牝4,54,小松丈二,1:33.1,アタマ,6-6-6-6,38.3,6.9,3,415(+8),[地]池田忠好,（同）ＪＰＮ技研,0.6
5,6,6,ティアップデザイヤ,牝4,54,川島拓,1:33.4,1.1/2,4-4-4-3,40.0,1.5,1,455(+1),[地]土井道隆,西村健作,0.4
6,5,5,アドマイヤサンダー,牡5,56,村松翔太,1:34.4,5,7-7-7-7,38.9,114.3,9,426(+3),[地]頼本盛行,原大栄,
7,8,8,メイショウメガミ,牝4,52,山口以和,1:34.7,1.1/2,1-1-1-2,41.9,10.6,5,480(-3),[地]中川竜馬,酒井孝敏,
8,2,2,アサカフェリス,牝5,54,山下裕貴,1:35.4,4,9-9-9-9,39.0,43.8,7,418(-4),[地]頼本盛行,木本成重,
9,1,1,エリースプラッシュ,牝5,54,大沢誠志,1:35.8,2,8-8-8-8,39.7,103.2,8,426(+2),[地]池田忠好,（同）ＪＰＮ技研,
1,8,9,テイエムシシオー,牡7,57,山口勲,1:29.7,,4-4-3-1,38.2,1.2,1,481(-1),[地]坂井孝義,竹園正繼,45.0
2,6,6,ケンシスピリット,牡5,56,田中純,1:29.8,1/2,2-2-1-2,38.4,10.9,4,485(0),[地]手島勝利,林田憲次,10.4
