Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,,1,Pakistan Star,セ3,59,モレイラ,1:22.00,,,,1.2,1,計不,[外]オサリバ,Kerm Din,
1,,8,My Darling,セ4,55.5,モレイラ,1:21.67,,,,---,1,計不,サイズ,,
1,,6,Supreme Profit,,57,A Badel,2.01.9,,8-5-2-1,,25.0,10,573,C S Shum,,
2,,13,Dinozzo,セ3,53,J Moreir,2.02.0,1/2,6-9-9-2,,2.5,1,470,[外]サイズ,Siu Pak Kwan,
3,,2,Ambitious Champion,,59.5,S de Sou,2.02.4,3,5-6-6-3,,12.0,5,500,R Gibson,,
4,,4,Star Majestic,,58.5,N Callan,2.02.6,1.1/4,11-10-8-4,,14.0,6,503,P O'Sull,,
5,,12,Amazing Agility,,53.5,H W Lai,2.02.7,3/4,7-8-4-5,,9.8,4,463,D E Ferr,,
6,,8,California Disegno,,55.5,M Chadwi,2.02.9,1,2-4-5-6,,6.1,2,482,A S Cruz,,
7,,3,Sergeant Titanium,,58.5,B Prebbl,2.03.0,1/4,9-2-1-7,,22.0,9,521,J Size,,
8,,9,Green Dispatch,,54,K C Leun,2.03.2,1.1/2,4-1-3-8,,18.0,7,524,C S Shum,,
9,,11,Ishvara,,53.5,M L Yeun,2.03.2,1/4,13-13-13-9,,20.0,8,483,T P Yung,,
10,,1,Renaissance Art,,60,Z Purton,2.03.3,1/2,12-11-10-10,,25.0,11,495,C Fownes,,
11,,5,Super Chic,,58,O Murphy,2.04.2,6,10-12-12-11,,32.0,12,486,A S Cruz,,
12,,7,Circuit Hassler,,55.5,C Y Ho,2.04.3,1/4,1-3-7-12,,77.0,13,506,A S Cruz,,
13,,10,Mcqueen,,55,C Willia,2.08.3,大,3-7-11-13,,7.7,3,479,D Cruz,,
1,6,6,ミツアキトン,牝3,54,筒井勇介,1:32.9,,1-1-1,39.2,1.5,1,404(-2),[地]後藤正義,山本光明,16.0
2,3,3,キングスナップ,牡3,56,吉井友彦,1:33.2,1.1/2,2-2-2,39.4,2.2,2,475(-2),[地]尾島徹,村上卓史,3.7
3,4,4,ボゴールパイン,牝3,54,大原浩司,1:34.2,5,3-3-3,40.3,187.2,7,417(0),[地]藤田正治,酒井孝敏,1.6
4,7,7,リュクスプレスト,牝3,54,水野翔,1:35.2,5,5-5-5,40.0,30.0,5,405(+5),[地]加藤幸保,田畑憲士,1.2
5,2,2,ハヤブササンサン,牡3,56,佐藤友則,1:35.2,クビ,7-6-6,39.8,14.8,3,496(+3),[地]尾島徹,国立治,0.8
6,5,5,タッチスタート,牝3,54,森島貴之,1:35.4,1,4-4-4,40.9,173.0,6,380(+4),[地]山中輝久,（有）ホースケア,
7,1,1,エイシンキティー,牝3,54,島崎和也,1:36.8,7,6-7-7,41.4,21.9,4,417(-2),[地]青木達彦,（株）ファーストビ,
1,,6,D B Pin,セ4,56.5,パートン,0:57.68,,,,---,1,計不,[外]サイズ,Samuel Wong Yin Shun,
1,3,3,センザンルビー,牝2,54,斉藤雄一,1:24.9,,4-4-5-3,40.0,14.0,4,413(+13),[地]飯田弘道,千田裕美,41.0
2,2,2,ヴァンフルール,牝2,54,山本聡哉,1:24.9,アタマ,2-2-2-2,40.4,1.7,1,440(+1),[地]板垣吉則,（有）太盛,8.2
3,7,7,リュウノヴィグラス,牡2,55,木村暁,1:25.0,1/2,1-1-1-1,40.5,5.3,3,478(+3),[地]千葉博次,蓑島竜一,4.1
4,6,6,ブリーズイン,牝2,51,木村直輝,1:27.0,大,3-3-3-5,42.2,110.2,8,450(+3),[地]高橋純,大黒富美子,2.9
5,1,1,コナツチャン,牝2,54,坂口裕一,1:27.1,クビ,6-5-5-4,42.2,27.7,6,464(-4),[地]菅原勲,松本桂昌,1.2
6,4,4,ドライビングジョイ,牡2,55,菅原俊吏,1:27.5,2.1/2,8-8-8-7,42.2,3.0,2,481(-1),[地]伊藤和,（有）サンデーレー,
7,5,5,リュウノショコラ,牝2,54,小林凌,1:28.0,3,7-7-7-6,42.8,97.4,7,414(+4),[地]板垣吉則,蓑島竜一,
8,8,8,ローエンベルン,牝2,54,阿部英俊,1:28.1,1/2,5-6-4-8,43.2,22.1,5,423(-3),[地]村上昌幸,大黒富美子,
1,5,5,マイネルボールド,牡3,56,水野翔,1:27.1,,7-2-1,37.3,7.2,4,456(+2),[地]笹野博司,酒井孝敏,17.0
2,4,4,コパノサムタイム,牡5,56,向山牧,1:28.7,8,2-3-4,39.3,1.8,1,455(+4),[地]後藤正義,小林祥晃,4.0
3,1,1,ロイヤルパレード,牝4,54,岡部誠,1:28.8,1/2,6-6-5,38.5,7.2,3,453(+2),[地]今津勝之,樋口雅彦,1.7
4,3,3,サンダルエチケット,牝4,54,山下雅之,1:29.0,1.1/2,1-1-1,39.8,11.3,5,486(-2),[地]川嶋弘吉,（株）ファーストビ,1.2
5,6,6,ルーヴルヴォイス,牝4,53,高橋昭平,1:29.3,1.1/2,5-4-7,39.4,76.8,7,442(+4),[地]伊藤強一,安東純二,0.9
6,7,7,インヴォーク,牝5,54,東川公則,1:29.3,クビ,4-6-6,39.2,3.2,2,439(-5),[地]後藤正義,野田善己,
7,2,2,フェードロワ,牝4,54,島崎和也,1:29.4,クビ,2-5-3,39.8,48.6,6,427(+1),[地]加藤幸保,山本幹雄,
1,1,1,ヴィレッジダンサー,牝3,54,向山牧,1:57.3,,8-8-3-2,39.0,1.5,1,469(-3),[地]川嶋弘吉,木村牧場,29.0
2,3,3,ベストサーパス,牡7,56,東川公則,1:57.4,クビ,1-1-1-1,39.5,5.6,3,490(-5),[地]後藤正義,小川勲,6.7
