Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,8,8,モリデンリバー,牝2,54,石川倭,1:50.5,,3-4-4-1,39.0,1.8,1,468(-2),[地]米川昇,森田芳男,60.0
2,7,7,ピュアインペリアル,牝2,54,桑村真明,1:51.4,4,2-1-1-1,40.0,3.5,2,472(0),[地]角川秀樹,（有）ユートピア牧,12.0
3,4,4,スーパーローズ,牝2,54,井上俊彦,1:51.4,ハナ,5-5-5-4,39.6,7.3,4,444(+10),[地]村上正和,山田祐三,9.0
4,5,5,ブラウナイル,牝2,54,宮崎光行,1:51.8,2,7-7-8-5,39.7,213.8,7,442(-4),[地]松本隆宏,西森功,6.0
5,1,1,スーパーペディ,牡2,55,岩橋勇二,1:53.1,6,5-5-5-5,41.3,4.9,3,468(0),[地]小国博行,三田正眞,3.0
6,2,2,アンガイガンバルド,牡2,55,落合玄太,1:53.2,1/2,8-8-5-5,41.4,112.6,6,464(+4),[地]角川秀樹,（株）オリオンファ,
7,6,6,モリデンマグマ,牝2,54,阿部龍,1:53.3,1/2,3-1-3-3,41.9,10.8,5,470(0),[地]桧森邦夫,森田芳男,
8,3,3,ハナバンダ,牝2,54,井上幹太,1:54.9,8,1-1-1-8,43.5,298.1,8,478(0),[地]堂山芳則,門別敏朗,
1,3,3,リワードアヴァロン,牡2,55,五十嵐冬,1:14.1,,1-1,38.5,1.3,1,482(+4),[地]堂山芳則,宮崎忠比古,50.0
2,1,1,イケノアスリート,牡2,55,桑村真明,1:14.2,1/2,7-4,37.0,5.0,2,454(+4),[地]角川秀樹,池添安雄,10.0
3,5,5,グランギフト,牡2,55,落合玄太,1:15.7,7,2-3,39.8,11.2,4,462(+6),[地]小野望,川原輝雄,7.5
4,7,7,カンナムスタイル,牡2,55,宮崎光行,1:16.1,2,2-2,40.3,6.9,3,466(+2),[地]小国博行,藤本直弘,5.0
5,8,10,プラスアルファー,牡2,55,松井伸也,1:16.3,1,6-7,39.2,30.3,5,468(-2),[地]斉藤正弘,（有）加野牧場,2.5
6,6,6,レパルス,牝2,54,亀井洋司,1:16.9,3,8-8,39.2,211.9,9,550(-6),[地]佐々木国,熊谷貴之,
7,8,9,ローンスター,牡2,55,山本咲希,1:17.0,3/4,5-6,40.4,193.6,8,456(-6),[地]村上正和,藤元厚雄,
8,4,4,ウルフバート,牡2,55,服部茂史,1:17.1,クビ,4-4,41.0,37.1,6,444(-8),[地]田中淳司,（有）下河辺牧場,
9,7,8,プーレコルト,牝2,54,石川倭,1:18.1,5,8-9,40.3,98.5,7,466(0),[地]佐久間雅,（有）太盛,
10,2,2,クレメンデレヤ,牝2,52,小野楓馬,1:18.4,1.1/2,10-10,40.0,234.0,10,466(+16),[地]田中淳司,西森鶴,
1,2,2,ダモンデ,牡4,57,服部茂史,1:12.3,,3-3,37.0,1.9,1,550(+4),[地]田中淳司,尾崎智大,80.0
2,8,8,スティールティアラ,牝3,50,小野楓馬,1:12.7,2,2-1,37.7,2.8,2,490(+4),[地]角川秀樹,菅野守雄,16.0
3,4,4,ムカワシシャモ,牡5,57,岩橋勇二,1:12.8,クビ,1-1,38.0,6.1,3,508(0),[地]田中淳司,大野満,12.0
4,3,3,ボンネット,牝4,53,阪野学,1:13.1,1.1/2,5-4,37.4,9.3,4,520(+2),[地]田中正二,木村薫,8.0
5,7,7,キリンタイム,牡5,56,阿部龍,1:13.1,クビ,9-8,36.3,31.5,6,472(0),[地]小野望,小野美子,4.0
6,1,1,ゴッドパイレーツ,牝5,53,落合玄太,1:13.5,2,5-4,37.8,21.1,5,454(0),[地]桧森邦夫,森永正志,
7,8,9,カツゲキジャパン,セ4,55,桑村真明,1:14.2,3,8-8,37.9,58.9,7,454(-6),[地]廣森久雄,野々垣陽介,
8,5,5,シングンヴィグラス,牡6,56,松井伸也,1:15.1,4,7-7,39.3,208.7,9,502(-2),[地]斉藤正弘,伊坂重憲,
9,6,6,リンノストーン,牝4,55,井上俊彦,1:15.2,1/2,3-6,39.9,98.3,8,488(+2),[地]林和弘,平井ひろみ,
