Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,3,3,レッツライド,牡5,56,菅原俊吏,1:14.7,,1-1,38.2,3.1,2,486(-3),[地]伊藤和,魚住啓市,10.0
2,7,7,サマーブルーヘブン,牝8,54,南郷家全,1:14.9,1.1/4,5-4,37.8,6.3,3,493(+1),[地]城地俊光,藤村忠三郎,2.0
3,2,2,ラッキーゴールド,牝4,54,村上忍,1:15.1,1,4-3,38.1,1.8,1,438(+2),[地]佐藤祐司,菊地捷士,1.0
4,5,5,シャイニードルチェ,牝4,54,関本淳,1:15.6,3,2-2,38.9,9.0,4,457(+1),[地]晴山厚司,只野啓喜,0.7
5,4,4,デルマゴクウ,牡4,56,千田洋,1:16.0,2.1/2,7-7,37.9,26.0,7,458(0),[地]平沢芳三,木村良明,0.3
6,1,1,トウカイボイジャー,牡6,56,阿部英俊,1:16.4,2.1/2,6-5,38.9,22.8,5,469(+2),[地]佐々木由,谷謙介,
1,5,5,キーグレイス,牝4,54,山本政聡,1:28.7,,3-3,38.7,3.8,3,441(-4),[地]佐々木修,田村義徳,10.0
2,6,6,キタノスマイル,牡5,56,斉藤雄一,1:28.7,クビ,1-1,39.1,2.4,1,466(-1),[地]小西重征,新井昭二,2.0
3,1,1,シルクタイタン,牡9,56,坂口裕一,1:29.1,2.1/2,5-5,38.7,3.1,2,468(-1),[地]村上昌幸,岩渕道良,1.0
4,7,7,ナカザルオー,セ5,56,高橋悠里,1:29.7,4,2-2,39.9,9.7,5,443(-1),[地]及川良春,（同）ＪＰＮ技研,0.7
5,2,2,イトシイコイビト,牝5,54,山本聡哉,1:29.9,1.1/4,4-4,39.6,7.9,4,401(-3),[地]高橋純,小沢卓,0.3
6,3,3,リアンクイーン,牝5,54,木村暁,1:30.1,1,7-7,39.2,61.7,6,445(0),[地]千葉博次,小沢量基,
7,4,4,スウィフトシャドウ,牡4,53,小林凌,1:30.2,1/2,6-6,39.6,70.6,7,493(0),[地]村上実,佐々木寛明,
1,8,8,アヤミーチャン,牝3,54,斉藤雄一,1:14.8,,4-3,38.3,1.7,1,461(+4),[地]板垣吉則,小林祥晃,16.0
2,6,6,プラムチャン,牝3,54,村上忍,1:14.9,1/2,6-6,37.8,5.7,3,460(+4),[地]酒井仁,千葉浩,3.2
3,2,2,フレンドマキシマム,牝3,54,山本聡哉,1:15.2,1.1/2,1-1,39.4,2.9,2,422(+1),[地]桜田康二,奥平真治,1.6
4,7,7,スギノクレステージ,牡3,56,関本淳,1:15.9,4,7-7,38.3,33.1,6,523(+4),[地]城地俊光,小野ジュディ,1.2
5,5,5,テンプルオブラブ,牝3,54,高松亮,1:16.2,1.1/2,5-4,39.5,16.3,4,456(+7),[地]菅原右吉,草野光夫,0.4
6,4,4,キーマーク,牡3,56,木村暁,1:16.7,3,3-4,40.4,33.5,7,466(+1),[地]関本浩司,（有）ホースケア,
7,3,3,ペネトレイト,牝3,54,山本政聡,1:18.1,9,2-2,42.2,25.3,5,409(-9),[地]桜田浩樹,青山英昭,
8,1,1,メルシークィーン,牝3,54,千田洋,1:18.3,1,8-8,40.1,67.0,8,436(-4),[地]工藤裕孝,欠畑圭一,
1,3,3,サプライズハッピー,牝2,54,山本政聡,0:59.5,,2-1,35.9,3.5,3,467(0),[地]桜田浩三,西村專次,200.0
2,5,5,チャイヨー,牝2,54,南郷家全,0:59.8,2,1-1,36.4,1.7,1,524(0),[地]菅原勲,大久保和夫,40.0
3,1,1,サンエイゴールド,牡2,55,松本剛志,1:00.1,1.3/4,4-3,36.2,3.5,2,478(0),[地]瀬戸幸一,鈴木雅俊,20.0
4,2,2,ヨシノトップ,牝2,54,山本聡哉,1:02.1,大,3-4,38.4,8.8,4,417(0),[地]畠山信一,佐々木義元,14.0
1,3,3,オールドケベック,牝4,54,山本政聡,1:15.2,,1-1,38.7,1.5,1,482(-7),[地]板垣吉則,杉浦和也,10.0
2,7,7,ドクトルモレ,牡4,56,高松亮,1:15.3,3/4,3-2,38.5,6.4,3,436(-4),[地]葛西勝幸,湯沢寛,2.0
3,4,4,シネンシス,牝4,54,木村暁,1:15.9,4,4-4,38.6,13.1,5,447(+6),[地]及川良春,谷謙介,1.0
4,8,8,コンプリート,牝7,54,斉藤雄一,1:16.0,クビ,2-3,39.4,8.5,4,467(-3),[地]工藤裕孝,藤村栄子,0.7
5,5,5,キャンディタフト,牝5,54,関本淳,1:16.0,ハナ,6-6,38.5,41.9,7,376(-2),[地]晴山厚司,昆亜紀夫,0.3
6,2,2,ワンスタディオン,牡10,56,阿部英俊,1:16.0,ハナ,5-4,38.8,6.2,2,449(+2),[地]佐々木由,高橋誠,
7,6,6,リアリゼーション,牡7,56,千田洋,1:16.2,1.1/2,8-8,38.1,23.5,6,477(+2),[地]佐々木由,谷謙介,
8,1,1,キングアルファ,牡4,56,南郷家全,1:16.5,1.1/2,7-7,38.6,87.5,8,487(+4),[地]城地俊光,吉田朋之,
1,3,3,レオナビゲート,牡4,56,山本聡哉,1:40.4,,4-3,39.3,1.9,1,485(+2),[地]菅原勲,田中博之,16.0
2,7,8,ヤマタケデュック,牝4,54,関本淳,1:41.5,7,9-9,39.5,153.5,10,440(+6),[地]晴山厚司,只野啓喜,3.2
3,1,1,ヒライズミナンバー,牡4,56,高橋悠里,1:41.6,3/4,1-1,41.0,5.8,3,468(+1),[地]鈴木七郎,吉田釀治,1.6
4,8,10,リゼタイムス,牝4,54,阿部英俊,1:41.9,1.3/4,6-5,40.6,15.6,4,404(-1),[地]佐々木由,欠畑圭一,1.2
5,5,5,ローレルカンタータ,牡9,56,菅原辰徳,1:42.0,クビ,10-10,39.8,38.2,6,509(-1),[地]村上実,佐々木寛明,0.4
6,6,6,ヒシジェントリー,セ9,56,陶文峰,1:42.0,クビ,7-7,40.3,25.2,5,460(+4),[地]菅原右吉,草野光夫,
7,8,9,イイヴィ,牝4,54,村上忍,1:42.1,1/2,3-2,41.2,2.6,2,493(+2),[地]村上実,黒川誠,
8,7,7,ラブウィスパー,牝4,54,高松亮,1:42.9,5,5-6,41.7,149.4,9,445(-1),[地]小西重征,増田陽一,
9,2,2,エプソムジャンボ,牡9,56,菅原俊吏,1:43.1,1,2-4,42.4,70.9,8,478(+1),[地]関本浩司,小沢卓,
10,4,4,シーザーズセレクト,牡4,56,斉藤雄一,1:43.1,ハナ,7-7,41.3,49.1,7,489(-6),[地]小西重征,松井淳二,
1,7,7,フロールジェナ,牝7,54,斉藤雄一,1:27.5,,2-3,38.3,3.6,3,444(-3),[地]小西重征,小林弘明,10.0
2,8,8,ガラパ,牡8,56,阿部英俊,1:27.6,1/2,2-2,38.2,7.0,4,506(0),[地]佐々木由,菊地捷士,2.0
3,6,6,タイキシャーリー,牝5,54,村上忍,1:27.6,クビ,1-1,38.7,3.5,2,455(0),[地]村上実,藤村栄子,1.0
4,3,3,ミツアキジュニアー,セ7,56,高橋悠里,1:28.3,4,7-6,38.1,2.1,1,471(-4),[地]鈴木七郎,山本光明,0.7
5,4,4,タケデンエビス,牡9,56,山本聡哉,1:29.7,9,4-4,39.9,44.3,7,511(-7),[地]佐藤浩一,山下末子,0.3
6,2,2,イガノティアラ,牝5,54,木村暁,1:30.1,2.1/2,4-5,40.3,22.3,5,440(-2),[地]千葉博次,谷謙介,
7,5,5,バンブートニ,牡8,56,菅原辰徳,1:31.0,6,6-7,41.0,40.1,6,497(+6),[地]平沢芳三,佐々木義元,
