Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,7,7,ダマデノーチェ,牝4,54,田知弘久,1:33.3,,8-8-4,38.3,29.9,7,444(+3),[地]加藤和義,伊達泰明,20.0
2,3,3,トーホウウノ,牝4,54,今井貴大,1:33.4,1/2,9-9-6,38.3,16.1,6,481(-1),[地]原口次夫,犬飼好稔,5.0
3,8,9,ケングレーハウンド,牡4,56,宇都英樹,1:33.4,クビ,7-5-2,38.7,2.1,1,503(-5),[地]角田輝也,中西桂子,2.0
4,4,4,タルトリンツァー,牝4,54,大畑雅章,1:33.8,2,4-3-1,39.3,4.6,3,394(-2),[地]今津博之,若林武雄,1.2
5,5,5,メイショウチハヤ,牝4,54,加藤誓二,1:33.8,クビ,3-4-5,39.2,8.9,4,428(+4),[地]地辺幸一,（株）ファーストビ,0.8
6,2,2,リープジーン,牝4,54,岡部誠,1:33.9,3/4,5-6-7,39.1,3.2,2,461(+8),[地]安部幸夫,今中俊平,
7,1,1,サウスクイーン,牝4,54,村上弘樹,1:34.2,1.1/2,6-7-9,39.3,12.1,5,441(-1),[地]藤ヶ崎一,南波寿,
8,8,8,セイントレイチェル,牝4,54,池田敏樹,1:34.6,2,2-2-2,40.2,39.2,8,460(-9),[地]栗本陽一,小橋亮太,
9,6,6,ブルーセクション,牡4,56,山田祥雄,1:36.2,8,1-1-8,41.9,85.4,9,451(+2),[地]鋤田誠二,吉山達也,
1,6,6,チャイムクラウン,セ4,56,小谷周平,1:35.0,,4-3-1-1,41.6,6.8,3,420(-5),[地]稻田彰宏,組）オールザベスト組,25.0
2,7,7,スイートリフレイン,牡5,57,竹村達也,1:35.7,4,6-7-6-7,41.6,1.4,1,519(+17),[地]大塚信次,佐々木崇,7.0
3,8,9,スウィートアゲン,牝8,54,田中学,1:35.9,3/4,3-4-4-5,42.2,3.2,2,488(-4),[地]栗林徹治,浅川皓司,3.5
4,5,5,ミヤビキララコ,牝5,54,大柿一真,1:36.2,1.3/4,2-2-2-2,42.7,25.4,5,438(-2),[地]山口浩幸,冨田藤男,2.5
5,1,1,コスモオレオ,牡9,56,板野央,1:36.3,3/4,7-6-6-4,42.3,66.9,7,438(0),[地]長倉功,森川真也,2.0
6,4,4,エムティアミーゴ,牡4,56,山田雄大,1:36.3,ハナ,5-5-5-6,42.4,65.9,6,452(0),[地]小村正也,川根幸晴,
7,2,2,ナイキスパークル,牡9,56,永井孝典,1:36.4,クビ,9-9-9-9,41.1,160.0,8,518(0),[地]山元博徳,（株）ファーストビ,
8,3,3,アスターシャトル,牡5,56,松本幸祐,1:36.7,2,1-1-3-3,43.3,16.5,4,507(-5),[地]上田二郎,加藤久枝,
9,8,8,ビコースピカ,牝9,54,池田敦,1:37.1,2.1/2,8-8-8-8,42.6,298.6,9,405(-3),[地]尾林幸二,レジェンド,
