Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,6,9,メイショウザイル,牡6,56,矢野貴之,1:43.6,,5-5-4-3,40.2,13.0,5,485(-5),[地]今井輝和,松本好雄,240.0
2,4,4,ステリファラス,牡4,56,増田充宏,1:43.7,クビ,1-1-1-1,41.6,7.4,4,496(+8),[地]高月賢一,前田良平,96.0
3,8,13,グラビテーション,牡3,55,山崎誠士,1:44.0,1.1/2,7-6-5-5,40.4,5.2,2,473(-4),[地]山崎裕也,山口裕介,60.0
4,4,5,ブラックスナイパー,セ6,55,櫻井光輔,1:44.0,アタマ,9-9-7-6,39.8,42.3,9,503(+3),[地]久保勇,大野春男,36.0
5,2,2,ヤマニンバビルサ,牡6,56,町田直希,1:44.5,2.1/2,6-7-8-7,40.3,62.5,10,475(+7),[地]山崎尋美,土井久美子,24.0
6,8,12,キョウワヴィラン,牡4,56,藤江渉,1:44.5,クビ,13-13-13-12,38.9,32.1,8,483(+3),[地]山田正実,冨田藤男,
7,3,3,ドンゲイボルグ,牡6,56,山林堂信,1:44.6,クビ,4-3-3-2,41.9,23.3,7,469(0),[地]村田順一,酒井孝敏,
8,1,1,ミスダイテン,牝5,54,笹川翼,1:44.9,1.1/2,8-8-10-10,40.4,16.7,6,473(+5),[地]加藤誠一,大典牧場（有）,
9,6,8,ヴァリヤンツリ,牝4,54,今野忠成,1:45.1,1,10-9-8-7,40.8,102.6,11,471(0),[地]山田質,薄井隆博,
10,5,6,ポイントパイパー,セ8,56,伊藤裕人,1:45.4,1.1/2,11-11-10-10,40.7,226.4,12,527(-1),[地]福島秀夫,（有）下屋敷牧場,
11,7,11,トーホウビースト,牡8,56,拜原靖之,1:45.7,1.1/2,12-12-12-12,40.4,354.2,13,470(-2),[地]内田勝義,小松芳子,
12,7,10,ウインポプリ,牝5,54,真島大輔,1:47.6,9,2-2-2-4,45.3,1.9,1,462(+8),[地]河津裕昭,（株）ウイン,
13,5,7,トワイライトスカイ,牡3,55,岡部誠,1:47.6,アタマ,3-3-5-7,44.6,6.5,3,495(+4),[地]加藤誠一,吉岡泰恵,
1,1,1,シェリーアモール,牝3,53,笹川翼,0:53.8,,1-1,36.9,2.1,1,414(-2),[地]佐々木仁,吉橋英隆,120.0
2,8,9,ウインバルドル,牡3,55,矢野貴之,0:54.0,3/4,2-2,36.9,5.8,4,433(-1),[地]河津裕昭,（株）ウイン,45.6
3,7,7,エルフィ,牝4,54,今野忠成,0:54.2,1.1/2,6-6,36.5,10.8,5,462(+2),[地]林隆之,本間充,30.0
4,3,3,ラックブルーバード,牡3,55,御神本訓,0:54.4,1,4-4,37.1,18.1,6,439(-4),[地]山崎尋美,吉田照哉,18.0
5,4,4,ラディオサ,牝4,54,森泰斗,0:54.8,2,7-7,36.9,4.2,2,430(0),[地]佐藤博紀,（株）チャンピオン,14.4
6,6,6,ハーベストタイム,牝3,53,藤江渉,0:54.8,アタマ,3-3,37.7,4.9,3,444(+7),[地]田島寿一,大栗芳一,
7,5,5,ミッキースプリング,牡5,56,伊藤裕人,0:55.0,1,8-8,36.8,153.6,8,480(+3),[地]武井和実,酒井孝敏,
8,8,8,ベイビーキャズ,セ4,56,町田直希,0:55.6,3,5-5,37.9,60.1,7,465(+4),[地]山崎裕也,大塚亮一,
9,2,2,トキノマツカゼ,牡4,56,増田充宏,0:56.7,5,9-9,38.1,317.8,9,465(-3),[地]八木正喜,田中準市,
1,4,4,トイトイトイ,牡6,56,山口達弥,1:36.5,,7-7-7-7,39.6,11.1,6,459(-7),[地]林正人,西森功,200.0
2,8,11,グローリアスマリン,牝4,54,森泰斗,1:36.6,3/4,5-5-4-5,39.9,5.1,2,444(+3),[地]高月賢一,日下部勝徳,80.0
3,6,6,ブラウローゼット,牡4,56,真島大輔,1:36.8,1,2-2-2-1,40.4,5.8,4,490(-10),[地]河津裕昭,（有）コスモヴュー,50.0
4,6,7,ワールドヴィジョン,牡5,56,伊藤裕人,1:36.9,クビ,10-10-11-9,39.5,46.7,8,497(+2),[地]山崎尋美,河村隆平,30.0
5,7,8,デルマアツヒメ,牝6,54,矢野貴之,1:37.1,1.1/2,6-6-7-6,40.2,5.4,3,396(-6),[地]加藤誠一,南條浩輝,20.0
6,2,2,マイネルサフィルス,牡7,56,町田直希,1:37.4,1.1/2,4-3-3-3,40.9,8.7,5,494(+1),[地]八木仁,杉浦和也,
7,1,1,トラストノブナガ,セ4,56,増田充宏,1:37.8,2,11-11-5-3,40.6,97.7,11,450(+8),[地]吉橋淳一,菅波雅巳,
8,5,5,ゲイルバローズ,牡5,56,岡村裕基,1:37.8,アタマ,9-9-9-8,40.8,17.5,7,457(+10),[地]鈴木義久,小林勝,
9,3,3,パーキー,牝4,54,山崎誠士,1:37.9,1/2,1-1-1-2,41.7,2.6,1,441(-1),[地]林隆之,山住勲,
10,7,9,タキオンボウル,牡3,52,福原杏,1:37.9,クビ,8-8-10-10,40.7,50.7,9,458(0),[地]山田質,杉山忠国,
11,8,10,ロイヤルオペラ,牝4,54,酒井忍,1:39.7,9,3-4-5-11,43.0,54.3,10,466(+10),[地]田辺陽一,遠藤喜松,
1,5,7,ピースフルエンゼル,牝4,53,藤本現暉,1:35.5,,10-11-8-7,39.0,3.7,2,466(+8),[地]河津裕昭,北嶋義三,260.0
2,7,11,シェリーカスク,牝5,55,今野忠成,1:35.6,クビ,12-12-12-9,38.7,28.8,9,432(+5),[地]山崎尋美,澤谷幸弘,104.0
3,6,9,ブルーフォレスト,牝5,55,町田直希,1:35.7,1/2,8-8-7-7,39.4,12.8,3,451(0),[地]原三男,藤元厚雄,65.0
4,7,12,クリスタルバブルス,牡5,57,笹川翼,1:35.7,アタマ,4-5-5-5,40.1,26.2,8,470(-2),[地]小久保智,ＨｉｍＲｏｃｋＲａｃｉｎｇホールディングス,39.0
5,6,10,グローリアスライブ,牝3,52,岡村健司,1:35.8,3/4,3-3-2-2,40.8,12.9,4,454(+1),[地]高月賢一,日下部勝徳,26.0
6,2,2,グレートコマンダー,牝5,55,酒井忍,1:36.0,1,13-13-13-13,38.7,24.5,7,479(-6),[地]村田順一,酒井孝敏,
7,8,13,グランディスカーペ,牡4,57,左海誠二,1:36.2,3/4,1-1-1-1,41.8,1.8,1,466(-5),[地]小久保智,小田吉男,
8,8,14,ベルサーリオ,牡5,57,本橋孝太,1:36.5,1.1/2,7-7-6-5,40.4,15.2,6,480(+2),[地]林隆之,伊達泰明,
9,3,3,キングスガイ,牡4,57,矢野貴之,1:36.5,ハナ,10-10-11-9,39.9,14.0,5,478(+3),[地]玉井昇,須貝廣次,
10,1,1,リボンスティック,牝7,52,福原杏,1:36.6,3/4,5-3-3-3,41.4,197.3,12,429(0),[地]山田質,大越徹朗,
11,5,8,シュンノカミ,牡5,55,増田充宏,1:36.6,クビ,9-9-10-9,40.1,84.2,10,504(+1),[地]加藤誠一,石川博,
12,4,6,プレミアムゲーム,牝5,53,岡部誠,1:37.8,6,6-6-9-9,41.9,134.6,11,514(0),[地]加藤誠一,山口正行,
13,4,5,ヒシコスマー,セ4,57,岡村裕基,1:38.1,1.1/2,2-2-4-4,42.9,359.8,13,480(-1),[地]鈴木義久,乙訓史樹,
1,6,6,エイシンサクラソウ,牝2,54,藤原良一,0:51.0,,1,37.0,26.3,5,438(-10),[地]竹口勝利,（同）ＪＰＮ技研,46.0
2,7,7,ハーピードラゴン,牡2,53,木之前葵,0:51.2,1.1/2,2,37.5,1.8,1,424(+8),[地]倉地学,小林伸幸,12.9
3,3,3,ダイセンペガサス,牡2,55,大畑雅章,0:51.7,2.1/2,3,38.0,3.3,2,472(+14),[地]今津博之,根田喜久雄,7.4
4,8,8,ポッペーア,牝2,54,藤原幹生,0:52.3,3,5,38.1,4.2,3,447(+2),[地]安部幸夫,門野重雄,4.6
5,5,5,ダイユウニシキ,牡2,55,丹羽克輝,0:52.5,1,4,38.1,113.9,8,453(-2),[地]錦見勇夫,（有）大勇,2.8
6,2,2,キヌノカガヤキ,牝2,54,加藤聡一,0:53.7,6,6,38.9,35.7,6,470(-2),[地]坂口義幸,谷謙介,
7,4,4,ケリマイジョーダン,牡2,55,村上弘樹,0:53.7,アタマ,7,39.0,10.1,4,459(+1),[地]竹下直人,森哲,
8,1,1,イッセイ,牡2,55,尾崎章生,0:54.7,5,8,39.6,86.4,7,405(+3),[地]成田明,吉田哲,
1,8,9,アブシンベル,牝3,54,大畑雅章,0:49.5,,1,35.8,3.8,3,515(-5),[地]今津博之,服部和則,30.0
2,8,10,タイセイフレイム,牡3,54,木之前葵,0:50.0,2.1/2,2,36.2,2.1,1,503(+3),[地]井手上慎,冨田清誠,8.4
3,7,7,マッテオ,牡3,56,藤原幹生,0:50.7,3,3,36.4,20.8,5,456(-9),[地]安部幸夫,門野文典,4.8
4,3,3,ピンクダンサー,牝3,54,友森翔太,0:50.8,クビ,4,36.8,3.8,2,460(+16),[地]塚田隆男,山室善美,3.0
5,2,2,エレガンスジョイ,牝3,54,尾崎章生,0:52.0,6,5,38.0,5.7,4,476(0),[地]本名信行,（株）ファーストビ,1.8
6,5,5,ファーニナル,セ3,56,横井将人,0:52.0,ハナ,6,37.7,34.1,6,450(-2),[地]安部幸夫,門野重雄,
7,4,4,クリノジョーカー,牡3,56,丸山真一,0:52.8,4,8,37.7,149.2,8,428(-2),[地]坂口義幸,結城喜一,
8,1,1,アイファーサクラ,牝3,54,宇都英樹,0:53.1,1.1/2,7,38.5,131.5,7,416(+9),[地]倉地学,中島礼子,
9,6,6,メジャーニシキ,牝3,54,加藤聡一,0:54.7,8,8,40.0,175.0,9,497(0),[地]錦見勇夫,錦見日出雄,
1,4,4,サンレイファミリー,牝4,54,今井貴大,1:32.0,,4-5-5,39.3,3.9,3,398(+3),[地]竹下直人,永井啓弍,27.0
2,2,2,シャーロック,牡5,56,村上弘樹,1:32.5,2.1/2,8-6-6,39.4,3.6,2,451(+2),[地]坂口義幸,谷謙介,7.6
3,6,6,ケンレヴァンテ,牝4,54,柿原翔,1:32.7,3/4,3-3-2,40.1,1.9,1,417(0),[地]角田輝也,中西桂子,4.3
4,3,3,エイシンクリッパー,牝5,54,丸山真一,1:32.7,アタマ,5-4-4,40.0,10.9,4,451(+1),[地]坂口義幸,（株）ボンズ,2.7
5,1,1,エディクト,牡6,56,藤原良一,1:32.9,1.1/2,9-7-7,39.5,77.6,9,479(-1),[地]竹口勝利,（同）ＪＰＮ技研,1.6
6,8,10,シゲルミズナ,牝4,54,加藤利征,1:32.9,ハナ,2-2-1,40.4,32.5,5,503(-4),[地]伊藤勝己,（同）ＪＰＮ技研,
7,7,7,エイシンスリーエス,牝5,54,山田祥雄,1:33.6,3,1-1-2,41.2,41.1,6,464(+4),[地]新山廣道,杉浦和也,
8,8,9,ケングレーハウンド,牡5,56,宇都英樹,1:34.4,4,10-10-9,40.6,43.6,8,506(-2),[地]角田輝也,中西桂子,
9,7,8,リープジーン,牝5,54,横井将人,1:34.4,ハナ,6-7-8,41.0,134.4,10,472(0),[地]安部幸夫,今中俊平,
10,5,5,アトロポス,牝5,54,大畑雅章,1:37.6,大,7-9-10,44.1,41.7,7,449(-1),[地]角田輝也,大島昌也,
1,4,4,マイネルフィースト,牡3,56,村上弘樹,1:31.2,,1-1-1,39.8,13.5,7,489(+12),[地]藤ヶ崎一,片岡信賢,30.0
2,7,8,ペイシャジョーダン,牡3,56,大畑雅章,1:32.0,4,3-2-2,40.5,5.9,4,454(+8),[地]今津勝之,小出水正男,8.4
3,6,6,ドナホーク,牝3,54,柿原翔,1:32.2,1,5-5-5,39.9,13.5,6,495(+2),[地]藤ヶ崎一,豊原純弥,4.8
4,3,3,ケアレスラヴ,牝3,54,加藤聡一,1:32.6,2,4-4-3,40.7,3.1,1,409(-1),[地]地辺幸一,谷謙介,3.0
