Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,7,8,ホウショウブレット,牡4,56,吉田順治,1:29.3,,4-5-4-2,37.8,2.2,2,462(-1),[地]三小田幸,堤保政,24.0
2,7,7,リッカハピネス,牝4,54,真島正徳,1:29.6,1.1/2,2-2-1-1,38.7,2.2,1,459(+2),[地]東眞市,立花幸雄,7.2
3,6,6,シャイニンカーラ,牝5,54,山下裕貴,1:29.8,1.1/4,7-7-5-3,38.2,8.2,3,431(-6),[地]九日俊光,（同）ＪＰＮ技研,2.4
4,3,3,ヒカルエリントン,牡8,56,村松翔太,1:30.9,6,9-9-7-6,38.9,58.0,6,539(-2),[地]柳井宏之,牧広人,1.4
5,2,2,ファラオカズマ,牡5,53,出水拓人,1:31.1,3/4,1-1-3-4,40.1,18.2,5,440(+1),[地]三小田幸,北原大史,1.0
6,8,10,ワイルドテイスト,牡6,56,吉村智洋,1:31.6,2.1/2,3-3-2-5,40.6,73.8,9,507(-1),[地]山田徹,近藤一生,
7,8,9,ショートケーキ,牝7,54,南谷圭哉,1:31.7,1/2,5-6-8-7,39.7,64.4,7,449(0),[地]武藤敏明,酒井孝敏,
8,4,4,クレイジーダイヤ,牡3,56,小松丈二,1:31.8,3/4,8-8-9-8,39.5,8.7,4,461(+3),[地]東眞市,酒井孝敏,
1,7,7,チムニーロック,牡5,56,石川慎将,1:29.4,,2-2-2-1,40.3,1.6,1,501(+4),[地]石川浩文,襖田隆全,24.0
2,8,8,マニエーテ,牝7,51,出水拓人,1:29.8,2,5-5-4-4,38.3,10.1,3,440(-1),[地]中川竜馬,吉橋英隆,7.2
3,3,3,フットステップ,牡4,56,小松丈二,1:29.9,3/4,1-1-1-2,40.9,2.4,2,461(-2),[地]真島元徳,平井裕,2.4
4,2,2,ロイヤルアスカ,牝6,54,吉村智洋,1:30.4,2.1/2,3-3-3-3,40.1,14.1,4,440(-1),[地]山田徹,原久美子,1.4
5,1,1,ユメノカガヤキ,牝4,54,田中直人,1:30.7,1.1/2,7-7-6-5,38.1,95.0,8,460(-5),[地]川田孝好,小林博雄,1.0
6,5,5,ショウナンダイチ,牡8,56,川島拓,1:31.2,2.1/2,6-6-7-6,38.7,47.5,6,475(-4),[地]北村欣也,原久美子,
7,6,6,スペリオルラスター,牡6,56,竹吉徹,1:31.6,2,8-8-8-8,38.4,58.5,7,482(+6),[地]山田義人,木稲安則,
8,4,4,テンザンフミスタ,牝9,54,倉富隆一,1:32.3,4,4-4-5-7,40.2,26.0,5,456(-6),[地]川田孝好,平野司郎,
1,4,4,ダイヤモンドヒカル,牝2,480,西謙一,1:41.7,,,,1.3,1,893(+11),[地]平田義弘,杉岡正美,13.0
2,2,2,アアモンドケンシン,牡2,500,阿部武臣,2:15.6,,,,11.2,4,896(+17),[地]金山明彦,下内美繪子,2.6
3,5,5,トンデトンデ,牡2,500,船山蔵人,2:19.3,,,,20.9,7,850(+2),[地]村上慎一,大熊金八,1.3
4,8,8,キラキラヒカルヒメ,牝2,480,山本正彦,2:20.5,,,,10.7,3,876(+8),[地]田上忠夫,船山喜勝,0.7
5,1,1,ダイヤスター,牡2,500,松田道明,2:34.8,,,,21.2,8,952(+20),[地]長部幸光,小向勝司,0.5
6,3,3,サカノレディ,牝2,480,長澤幸太,2:40.2,,,,15.7,5,783(+4),[地]服部義幸,（株）大阪畜産,
7,7,7,ミヤビラッシュ,牝2,480,工藤篤,2:44.8,,,,10.1,2,871(+33),[地]小林勝二,中島雅也,
失,8,9,ヒナマツリ,牝2,480,西将太,4:23.2,,,,19.0,6,858(+21),[地]谷あゆみ,斉藤孝男,
1,3,3,ダイメイライガー,牡3,56,川島拓,0:53.9,,1-1,35.5,9.5,5,478(-1),[地]三小田幸,宮本孝一,21.0
2,7,7,サンラボック,牝3,51,出水拓人,0:54.9,5,3-2,35.9,4.2,2,427(-5),[地]中川竜馬,豊島愛子,6.3
3,2,2,バーキンブライアン,牝3,54,吉田順治,0:55.5,3,5-4,36.2,11.2,6,444(-6),[地]三小田幸,新井原博,2.1
4,4,4,ホイップボーラー,牝3,54,倉富隆一,0:55.8,1.1/2,7-7,36.5,9.0,4,400(-5),[地]川田孝好,松岡隆雄,1.3
5,8,8,マリノシーブリーズ,牝3,54,兒島真二,0:55.8,アタマ,2-3,36.9,23.5,7,443(-4),[地]手島勝利,和田志保,0.8
6,8,9,ワンダーマジョリテ,牡3,56,吉村智洋,0:56.3,2.1/2,6-5,37.2,4.4,3,420(-5),[地]九日俊光,山本能成,
7,5,5,ストームフラッシュ,牡3,56,鮫島克也,0:56.5,1.1/4,8-8,36.2,2.5,1,499(-9),[地]大島静夫,成富直行,
8,1,1,シゲルダイコン,牡3,56,山下裕貴,0:57.2,4,9-9,36.4,25.5,8,483(0),[地]九日俊光,森中蕃,
9,6,6,モントルイユ,牡3,56,竹吉徹,0:57.2,アタマ,4-6,38.1,160.8,9,465(-1),[地]池田忠好,東廣美,
1,2,2,ツースターク,牝5,54,岡村健司,1:29.1,,1-1-1-1,37.6,2.2,1,445(+10),[地]真島元徳,宮田直也,30.0
2,1,1,ケモノタイプ,牡6,56,小松丈二,1:29.2,1/2,3-3-3-2,37.2,2.2,2,525(+4),[地]真島元徳,副島義久,9.0
3,6,6,バイレ,牝6,54,吉村智洋,1:29.8,3,2-2-2-3,38.2,22.7,5,498(+3),[地]北村欣也,（株）本城,3.0
4,3,3,ビヘーヴ,牡6,56,村松翔太,1:30.2,2,4-4-4-4,38.0,4.6,3,477(+4),[地]柳井宏之,瀬戸年美,1.8
5,7,7,オーミシャンクス,牡7,56,竹吉徹,1:30.8,3,6-6-6-5,38.2,79.0,6,515(+4),[地]山田義人,成富直行,1.2
6,5,5,アンシャックルド,セ8,56,鮫島克也,1:30.9,クビ,7-7-7-8,37.8,15.9,4,516(-8),[地]大島静夫,成富直行,
7,8,8,アサクサハヤブサ,牡6,56,田中直人,1:31.2,1.1/2,5-5-5-6,38.8,114.1,8,502(+1),[地]平山宏秀,組）ＦｏｒｃｅＥｑ,
