Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,,4,Max Dynamite,,,デットー,3:33.0,,,,---,6,計不,,,
5,,1,トリップトゥパリス,,60.5,リー,3:34.9,,,,---,4,計不,,,
1,6,7,アランロド,牝7,55,松浦政宏,1:29.0,,7-8-7-6,38.1,5.3,2,472(+6),[地]野田忍,村上稔,140.0
2,8,12,トーコーニーケ,牝4,54,吉村智洋,1:29.1,1/2,2-2-1-1,39.3,7.5,3,474(-2),[地]吉行龍穂,森田藤治,35.0
3,4,4,トーコーポセイドン,牡4,56,大山真吾,1:29.1,ハナ,5-5-4-3,38.7,11.4,4,523(+5),[地]吉行龍穂,森田藤治,16.8
4,3,3,ブルースイショウ,牡6,56,宮下康一,1:29.8,4,10-10-10-10,38.6,48.1,8,497(+5),[地]盛本信春,池田守,11.2
5,7,9,スマイルヴィジット,牝6,54,渡瀬和幸,1:29.9,1/2,1-1-1-2,40.2,20.3,6,458(+3),[地]尾林幸二,山本晋也,7.0
6,2,2,タガノバロット,牡8,57,下原理,1:30.0,1/2,8-9-9-7,39.0,23.5,7,447(+1),[地]国沢利照,八木良司,
7,8,11,ヒャクマンバリキ,牡4,56,川原正一,1:30.0,クビ,4-4-4-4,39.7,1.5,1,510(+11),[地]柏原誠路,（株）ファーストビ,
8,1,1,エリモミヤビ,牝7,55,板野央,1:30.2,3/4,9-7-8-5,39.3,163.9,10,483(+4),[地]飯田良弘,赤木勝利,
9,7,10,マグニフィカ,牡8,56,杉浦健太,1:30.3,クビ,5-6-6-9,39.8,18.8,5,515(-1),[地]三宅直之,（株）ファーストビ,
10,6,8,アイウォントユー,牡8,56,永島太郎,1:31.2,5,3-3-3-8,41.2,75.0,9,475(+8),[地]保利幸作,薪浦亨,
11,5,6,ジーエスマルコ,牡6,56,田野豊三,1:31.3,クビ,12-12-12-11,39.5,175.9,11,481(-12),[地]山本和之,須貝広次,
