Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,6,7,アイティプリンセス,牝4,54,小杉亮,1:15.1,,1-1-1,39.4,12.3,4,489(+8),[地]矢野義幸,南真義,120.0
2,2,2,ルパルク,セ4,56,御神本訓,1:15.5,2,5-6-6,38.0,1.4,1,512(+2),[地]佐藤裕太,犬塚悠治郎,42.0
3,4,4,ユウユウムサシ,牡6,56,和田譲治,1:15.6,クビ,9-8-8,37.9,5.4,2,462(+3),[地]岡林光浩,高岡義光,24.0
4,7,9,ビーインマイハート,牝5,54,笹川翼,1:16.0,2,2-2-2,39.8,20.9,7,518(+13),[地]川島正一,吉田照哉,18.0
5,5,6,ホールドザボール,牝4,54,仲野光馬,1:16.1,1/2,3-4-3,39.2,187.6,9,445(+5),[地]阿井正雄,門別敏朗,12.0
6,5,5,ラブロイ,セ5,56,矢野貴之,1:16.1,アタマ,4-5-5,38.8,17.9,6,481(0),[地]稲益貴弘,エンジェルレーシング,
7,6,8,フェアリーキス,牝5,54,保園翔也,1:16.3,1,7-6-7,38.8,386.7,11,455(-5),[地]佐藤厚弘,橋本富夫,
8,1,1,タマムーンフェイス,牡5,56,山本聡紀,1:16.5,1,10-10-10,38.4,331.1,10,500(-5),[地]柘榴浩樹,（株）心頼ＬｏｏＰ,
9,7,10,キュイラッサ,牝4,54,吉原寛人,1:16.5,クビ,11-11-11,38.3,84.7,8,461(-7),[地]内田勝義,一村哲也,
10,8,11,ベニノシリウス,牡4,56,真島大輔,1:16.7,1,6-3-4,39.9,14.5,5,455(-4),[地]田島寿一,紅谷,
11,3,3,トップフェイス,牡4,56,繁田健一,1:17.1,2,8-9-9,39.2,10.4,3,481(-2),[地]佐藤賢二,村山哲生,
12,8,12,ナノセカンド,牡5,56,西村栄喜,1:23.5,大,12-12-12,43.9,562.9,12,418(-41),[地]宮下貴明,酒井孝敏,
1,3,3,ローザビアンカ,牝5,54,森泰斗,1:16.0,,6-9-8,38.1,6.0,4,454(+2),[地]山中尊徳,新木鈴子,110.0
2,5,5,イグナシオ,牡5,56,御神本訓,1:16.0,アタマ,3-2-2,39.1,5.1,3,519(+1),[地]出川克己,（有）サンデーレー,38.5
3,7,9,リバースシンキング,牝4,54,中野省吾,1:16.1,クビ,9-7-5,38.4,3.0,1,440(+3),[地]佐藤裕太,吉田晴哉,22.0
4,8,11,ミラチャン,牝5,54,本田正重,1:16.1,アタマ,7-8-9,38.3,17.4,6,455(+6),[地]石井勝男,浦安一番（有）,16.5
5,4,4,グリーンジャケット,牡4,56,石崎駿,1:16.3,1.1/2,12-12-11,37.8,52.1,12,511(+4),[地]山田信大,リーヴァ,11.0
6,5,6,レッドボルテクス,セ5,56,沢田龍哉,1:16.4,1/2,10-10-10,38.3,24.0,9,483(0),[地]岡林光浩,井上一郎,
