Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,3,3,トゥルースカイ,牡6,56,平瀬城久,1:33.4,,8-7-3-3,40.9,17.1,7,497(+3),[地]黒木豊,関昭一,60.0
2,7,9,タカラブネクイーン,牝4,54,吉田晃浩,1:33.8,2,1-2-2-2,41.9,5.6,3,468(+5),[地]佐藤茂,佐藤朗,13.8
3,6,7,イェーガーオレンジ,牝3,54,藤田弘治,1:34.5,3,3-2-4-4,41.8,2.2,1,448(-1),[地]佐藤茂,吉田勝己,7.2
4,5,5,クレバーフォース,セ5,56,中島龍也,1:34.7,1,1-1-1-1,43.0,12.2,4,481(0),[地]高橋優子,上茶谷一,5.4
5,4,4,ラストノート,セ10,56,田知弘久,1:35.0,1.1/2,12-12-11-10,39.9,16.1,6,474(-1),[地]金田一昌,前迫義幸,3.6
6,2,2,サンマルクラウン,牡4,56,沖静男,1:35.0,ハナ,9-9-10-9,41.0,4.2,2,477(-2),[地]吉井敏雄,田賀孝昭,
7,7,10,エチゴヤマト,牡3,56,吉原寛人,1:35.5,2.1/2,7-8-9-8,41.8,14.9,5,459(-2),[地]金田一昌,原久美子,
8,1,1,ドゥスール,牝4,54,桑野等,1:36.0,2.1/2,11-11-12-11,40.8,57.8,11,499(-3),[地]黒木豊,福島理吉,
9,6,8,トミケンアールト,牡4,56,青柳正義,1:36.0,クビ,10-10-8-5,42.3,38.7,10,491(-2),[地]鈴木長次,（株）ファーストビ,
10,8,11,ルールゴールド,牡7,56,栗原大河,1:36.8,4,4-5-6-5,43.5,23.1,8,494(+3),[地]高橋道雄,谷川幸男,
11,5,6,トウケイファイター,牡5,53,塚本弘隆,1:38.4,8,6-6-7-5,45.0,164.2,12,520(+2),[地]高橋俊之,欠畑圭一,
12,8,12,ディターミネイト,牡3,56,松戸政也,1:39.7,6,5-4-5-11,47.0,30.5,9,437(-4),[地]金田一昌,西森鶴,
1,4,4,ライヘンバッハ,セ3,56,堀場裕充,1:33.3,,4-4-3-3,39.7,1.4,1,421(+3),[地]中川雅之,岩崎僖澄,20.0
2,7,7,ウワサノマリー,牝3,54,葛山晃平,1:33.4,クビ,3-1-1-1,41.5,30.3,6,452(+5),[地]菅原欣也,（同）ＪＰＮ技研,4.6
3,8,8,ブライトンアップ,牝3,54,吉田晃浩,1:33.8,2,1-1-2-2,40.9,60.9,7,474(+2),[地]鋤田誠二,吉山達也,2.4
4,3,3,ハーモニームジーク,セ3,56,栗原大河,1:34.3,2.1/2,5-6-5-4,40.4,2.8,2,464(-5),[地]佐藤茂,日下部勝徳,1.8
5,6,6,コサインチャン,牝5,54,服部大地,1:35.2,4,8-8-7-7,40.3,237.2,9,418(0),[地]井樋一也,小柳猛,1.2
6,2,2,エリタージュゲラン,牡6,56,中島龍也,1:35.2,ハナ,9-9-9-8,39.9,16.4,3,465(-1),[地]鈴木長次,（株）ファーストビ,
7,5,5,エイシンジーン,牡4,56,藤田弘治,1:35.6,2,5-5-6-5,41.7,20.2,5,502(+11),[地]鈴木長次,（株）ファーストビ,
8,8,9,プレシャスパワー,牝8,54,青柳正義,1:36.7,5,2-3-3-6,43.3,17.8,4,452(0),[地]奥高平,喜綿夏男,
9,1,1,ディアルレイル,牝6,54,鈴木太一,1:36.9,1,7-7-8-9,41.9,152.7,8,426(+4),[地]鋤田誠二,吉山達也,
1,4,4,クイニーアマン,牝7,54,堀場裕充,1:32.1,,5-6-5-3,40.5,12.9,5,450(+1),[地]加藤和義,河崎五市,25.0
2,5,5,マイネルピオネロ,牡4,56,藤田弘治,1:32.6,2.1/2,7-7-7-5,39.7,18.9,6,511(+5),[地]高橋俊之,松沢幸雄,5.7
3,8,9,ヒロインボーイ,牡4,56,吉田晃浩,1:32.6,クビ,4-4-4-1,41.3,3.2,2,492(0),[地]佐藤茂,（有）東振牧場,3.0
4,8,8,アザミ,牝3,54,栗原大河,1:33.3,3,3-3-3-2,42.4,9.1,4,453(-4),[地]菅原欣也,（同）ＪＰＮ技研,2.2
5,7,7,スカイリモーネ,牝3,54,青柳正義,1:33.9,3,5-5-6-5,42.2,8.8,3,464(+2),[地]鈴木正也,本庄良一,1.5
6,6,6,アイトラッキング,牡4,56,池田敦,1:34.0,3/4,8-8-8-7,40.6,39.5,7,545(-1),[地]鈴木正也,（株）ファーストビ,
7,1,1,レディームーン,牝5,54,中島龍也,1:34.6,3,1-1-1-4,44.1,68.6,8,441(+2),[地]高橋道雄,小林博雄,
8,3,3,ミリノカイザー,牡5,56,沖静男,1:35.9,6,9-9-9-9,41.2,104.0,9,475(+1),[地]吉井敏雄,山崎留男,
9,2,2,キョッコウ,牝3,54,田知弘久,1:36.8,4,2-2-2-8,46.3,1.8,1,443(-4),[地]金田一昌,長橋秀雄,
1,1,1,ケイアイアン,牡3,56,中島龍也,1:32.2,,1-1-1-1,40.1,1.2,1,461(-3),[地]加藤和義,杉田周作,20.0
2,4,4,タイムレスタイム,牝3,54,吉田晃浩,1:34.6,大,2-2-2-2,42.3,3.6,2,478(-4),[地]佐藤茂,須貝広次,4.6
3,5,5,トップザサブライ,セ6,56,栗原大河,1:36.3,8,3-3-3-3,41.2,66.3,6,419(-6),[地]松野勝己,（有）宮内牧場,2.4
4,7,7,ハーモニーゲイリー,牡3,56,平瀬城久,1:36.9,3,4-4-4-4,39.4,80.4,7,510(+1),[地]佐藤茂,日下部勝徳,1.8
5,3,3,アクロスザシャイン,牝3,54,堀場裕充,1:37.3,2,5-5-5-6,39.5,11.7,3,435(+2),[地]加藤和義,河崎五市,1.2
6,8,8,ジェネローゾ,牝3,54,葛山晃平,1:37.3,ハナ,7-6-6-5,39.4,42.1,5,414(-1),[地]宗綱泰彦,（同）ＪＰＮ技研,
7,2,2,ハクサンシップ,牡3,56,田知弘久,1:38.0,3,7-8-8-8,39.0,95.9,8,486(-2),[地]加藤和義,河崎五市,
8,6,6,ウイナー,牡4,56,鈴木太一,1:39.0,5,6-7-7-7,40.6,17.9,4,476(0),[地]加藤和義,北村守彦,
1,8,8,トップメダリスト,セ7,56,中島龍也,1:39.1,,1-1-1-1,42.1,6.1,2,466(+1),[地]高橋道雄,（有）宮内牧場,31.0
2,7,7,ビーレディ,牝3,54,堀場裕充,1:40.2,5,3-3-2-2,43.0,1.2,1,500(+3),[地]加藤和義,鈴木照雄,7.1
3,2,2,ヒカリノカケラ,セ5,56,桑野等,1:40.6,2,5-6-6-6,41.9,7.0,3,457(+8),[地]中川雅之,岩崎僖澄,3.7
4,3,3,スターカプリーヌ,牝3,54,青柳正義,1:40.9,1.1/2,4-4-4-3,42.7,15.1,4,497(0),[地]中川雅之,上山泰憲,2.7
5,5,5,アラカント,牡4,56,平瀬城久,1:41.4,2.1/2,5-5-5-4,43.0,27.3,6,485(+3),[地]高橋俊之,村瀬正,1.8
6,1,1,トーアアサヒ,牝4,54,藤田弘治,1:41.8,2,8-8-8-7,41.7,25.2,5,488(+15),[地]鈴木長次,後藤紘一,
7,6,6,サンケネット,牝4,54,鈴木太一,1:41.8,クビ,7-7-7-7,41.8,214.5,8,459(0),[地]鋤田誠二,吉山藤雄,
8,4,4,ベアームート,牝3,54,葛山晃平,1:43.0,6,1-2-3-5,45.4,52.5,7,448(-1),[地]佐藤茂,ニットー商事,
1,2,2,アテンソード,牡3,56,池田敦,1:40.7,,2-2-2-2,38.4,1.5,1,448(+10),[地]川添明弘,（同）ＪＰＮ技研,20.0
2,6,6,レインボータワー,牝3,51,塚本弘隆,1:42.0,6,1-1-1-1,40.3,2.5,2,434(+5),[地]松野勝己,（同）ＪＰＮ技研,4.6
