Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,4,4,イデアシュリュー,牝8,54,藤江渉,1:30.7,,5-5-4-3,38.7,3.6,2,439(-4),[地]本間光雄,益田修一,100.0
2,8,12,テイクトゥモロー,牡6,56,本田正重,1:31.0,1.1/2,4-4-3-2,39.1,10.0,5,484(+1),[地]野口孝,岡田義雄,30.0
3,7,10,ダンテス,牡5,56,町田直希,1:31.6,3,8-8-7-4,39.0,80.1,9,494(-1),[地]秋山重美,市原千之,17.0
4,3,3,エドノマツカゼ,セ7,56,吉原寛人,1:31.6,ハナ,1-1-1-1,39.9,2.6,1,490(+5),[地]宇野木博,遠藤喜松,13.0
5,7,9,ディモンド,牡4,56,笹川翼,1:31.7,3/4,6-6-5-7,39.5,4.5,3,460(-6),[地]佐藤博紀,大八木信行,10.0
6,2,2,サクラブチャン,牝4,54,吉本隆記,1:32.1,2,3-3-6-6,40.1,19.3,7,448(+2),[地]牛房栄吉,田頭喜秀,
7,6,8,ヒルプリンセス,牝5,54,的場文男,1:32.4,1.1/2,2-2-2-5,40.7,9.7,4,514(-1),[地]吉橋淳一,（同）ＪＰＮ技研,
8,8,11,ブラックゼウス,牡4,56,張田昂,1:32.5,1/2,7-7-8-8,40.1,11.6,6,482(-4),[地]工藤伸輔,（株）ウェルネット,
9,1,1,ティーメロー,牝4,54,石崎隆之,1:33.0,2.1/2,9-9-9-9,39.8,79.1,8,466(+1),[地]海馬沢司,神田成二,
10,5,5,ベッロポモドーロ,牝4,54,秋元耕成,1:33.3,1.1/2,10-10-10-10,39.1,91.7,10,444(+4),[地]冨田敏男,冨田藤男,
11,5,6,ニシノチャステティ,牝6,54,高橋哲也,1:33.4,1/2,12-12-12-12,39.0,301.3,12,452(-1),[地]吉田正美,冨田藤男,
12,6,7,コブラショット,セ4,55,仲野光馬,1:33.7,1.1/2,11-11-11-11,39.5,213.3,11,531(-15),[地]山田信大,柴田洋一,
1,3,3,ミュゼマリオネット,牝4,54,和田譲治,1:39.1,,1-1-1-1,39.8,10.8,4,470(+3),[地]小沢宏次,グローバルサービス,80.0
2,4,4,ケイティーハヤブサ,牝4,54,増田充宏,1:39.7,3,5-5-4-3,40.1,7.6,3,418(-1),[地]本間光雄,（株）竹之内工務店,24.0
3,5,5,ボーンレガシー,牡4,56,吉原寛人,1:39.9,1,7-6-6-4,40.1,3.6,2,522(0),[地]藤原智行,平野友保,13.6
4,8,9,クラセイジョ,牝4,54,橋本直哉,1:40.2,1.1/2,4-4-2-2,40.7,1.5,1,449(0),[地]藤原智行,倉見利弘,10.4
5,1,1,ビジュユノ,牝4,54,瀧川寿希,1:41.2,5,8-7-7-6,41.0,55.3,6,429(-9),[地]平田正一,小泉修,8.0
6,7,7,デルマオシマ,牝4,54,拜原靖之,1:41.3,3/4,10-10-8-7,40.5,140.9,7,422(-1),[地]山崎裕也,浅沼広幸,
7,6,6,クリスタルガーデン,牝4,54,寺島憂人,1:41.5,1,2-2-3-5,42.0,172.2,8,466(+5),[地]鹿沼良和,酒井孝敏,
8,2,2,シャインティアラ,牝4,54,横川尚央,1:42.0,2.1/2,9-9-9-8,41.3,213.8,10,406(-12),[地]宮下貴明,酒井孝敏,
9,8,10,ビジョヒメ,牝4,54,田中涼,1:42.4,2,6-8-10-9,41.7,177.1,9,419(-3),[地]秋山重美,秋山宜範,
10,7,8,キサラギノアカリ,牡4,56,見越彬央,1:44.0,8,3-3-5-10,44.5,14.8,5,452(0),[地]平山真希,ＭＭＣ,
1,6,7,ニシノアウリイ,牝5,54,中野省吾,0:49.2,,2-1,36.5,2.6,2,453(+3),[地]小沢宏次,和氣竜彦,80.0
2,7,9,サレルノ,牝7,54,本橋孝太,0:49.4,1,3-2,36.7,1.9,1,452(+10),[地]野口孝,（株）エーヴィスシ,24.0
3,1,1,ラッキースプリント,牝5,54,見沢譲治,0:49.9,2.1/2,9-9,36.9,26.6,7,450(+6),[地]川村守男,田上雅春,13.6
4,6,6,マキシマス,牡9,56,楢崎功祐,0:50.1,1,6-5,37.1,51.3,9,476(+1),[地]河津裕昭,天笠哲勇,10.4
5,8,11,ギンザアマゾネス,牝5,54,山崎誠士,0:50.1,クビ,4-4,37.4,8.2,3,468(0),[地]山崎裕也,角谷守正,8.0
6,2,2,マリーアントワー,牝6,54,見越彬央,0:50.2,クビ,7-6,37.5,82.4,10,462(-2),[地]酒井一則,平野司郎,
7,7,8,ラピス,牝5,54,阿部龍,0:50.3,1/2,1-3,37.6,25.6,6,442(-4),[地]深野塁,小野正宏,
8,8,10,ヴァリアーレ,牝5,54,加藤和博,0:50.3,クビ,8-8,37.1,243.7,11,491(+8),[地]川島豊,（株）ファーストビ,
9,3,3,ティアップシンガー,牝6,54,杉村一樹,0:50.5,1,10-10,37.3,17.0,4,444(0),[地]山田正実,秋元順紀,
10,5,5,クラミネルヴァ,牝5,54,増田充宏,0:50.9,2,11-11,37.5,22.6,5,468(-7),[地]藤原智行,倉見利弘,
11,4,4,エムオーカーリング,牝7,54,秋元耕成,0:51.2,1.1/2,5-7,38.5,43.6,8,421(0),[地]柘榴浩樹,斉藤光由,
1,8,11,クラトリガー,牡3,56,石崎駿,1:30.0,,5-3-2-2,39.8,3.1,2,471(+3),[地]矢野義幸,倉見利弘,140.0
2,8,12,シークレットアリア,牝3,54,橋本直哉,1:30.4,2,2-2-1-1,40.3,2.1,1,470(-8),[地]小久保智,前田諭志,42.0
3,1,1,ワンダーヘーヒスト,牡3,56,加藤和博,1:30.6,1,7-7-6-3,39.5,35.7,9,456(-1),[地]鈴木勝文,山本信行,23.8
4,2,2,グリュナシュテアン,牡3,56,瀧川寿希,1:31.0,2,3-4-4-4,40.6,9.7,3,429(0),[地]高月賢一,（同）ＪＰＮ技研,18.2
5,5,6,タッチライフ,牝3,54,秋元耕成,1:31.6,3,12-12-9-7,39.5,14.5,5,439(+6),[地]藤原智行,門別正,14.0
