Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
2,4,4,エキシビジョン,牝4,51,中越琉世,1:38.1,1/2,1-1-1-1,40.7,12.4,4,421(-1),[地]冨田敏男,冨田藤男,24.0
3,3,3,タケデンダグラス,牡4,56,町田直希,1:38.4,1.1/2,7-7-7-6,39.0,30.7,8,456(-12),[地]佐々木清,武市弘,14.4
4,5,6,ニューエトワール,牝5,54,張田昂,1:38.6,1,6-5-4-4,39.4,17.0,7,461(+5),[地]平山真希,杉浦和也,9.6
5,6,8,カルクオンガエシ,牝5,54,酒井忍,1:38.6,アタマ,2-2-2-3,39.8,4.9,2,476(-1),[地]稲葉道行,金井順一,8.0
6,5,5,ケンブリッジタイガ,牡4,56,森泰斗,1:38.7,クビ,8-8-8-7,39.0,2.0,1,467(-6),[地]新井清重,中西宏彰,
7,8,11,ジョコーソ,牡4,56,真島大輔,1:38.7,ハナ,9-9-9-7,38.8,16.6,6,476(-5),[地]林隆之,伊達泰明,
8,2,2,フクノロブロイ,セ5,56,和田譲治,1:38.9,1,4-4-4-5,39.9,13.9,5,457(+2),[地]宇野木博,小沼博,
9,6,7,ハシレメロス,牡5,56,藤江渉,1:39.7,4,10-10-10-10,39.6,34.1,9,508(-2),[地]佐々木仁,千葉正人,
10,1,1,メモリアルメイト,牝6,54,吉留孝司,1:41.0,6,11-11-11-11,40.1,190.2,12,444(0),[地]藪口一麻,吉沢深造,
11,7,10,アクアウィズ,牝5,54,伊藤裕人,1:41.4,2,12-12-12-12,40.2,90.8,11,451(+3),[地]岩本洋,高橋樹,
12,8,12,シゲルミナトマツリ,牡4,56,坂井英光,1:41.7,1.1/2,5-5-6-9,42.5,83.9,10,426(-4),[地]田島寿一,森中蕃,
1,7,9,ダイジョバナイカラ,牡4,56,左海誠二,1:31.7,,11-11-8-7,40.1,17.7,8,445(-6),[地]山崎裕也,山口裕介,100.0
2,6,7,キョウエイスパーク,牝5,54,柏木健宏,1:31.8,3/4,10-10-11-10,40.1,12.7,6,474(-5),[地]佐々木仁,田中晴夫,30.0
3,1,1,ワールドハーモニー,牡4,56,中野省吾,1:32.2,2,8-8-7-7,40.8,2.5,1,481(-4),[地]高月賢一,日下部勝徳,18.0
4,5,6,ブレーヴダイヤ,牡5,56,矢野貴之,1:32.2,クビ,9-7-6-5,41.1,11.7,5,446(-2),[地]久保勇,大野春男,12.0
5,8,12,リバーウィン,牝4,54,石崎駿,1:32.4,1,4-3-1-1,42.2,9.1,4,504(+1),[地]栗林信文,川上晋,10.0
6,2,2,プルメリア,牝4,54,寺島憂人,1:32.6,3/4,5-5-10-7,41.2,46.3,12,453(-1),[地]内野健二,須藤茂,
7,4,4,ソフィアローズ,牝6,54,町田直希,1:33.2,3,6-6-4-5,42.5,23.1,10,496(+2),[地]鈴木義久,鮫島明洋,
8,3,3,フジサンブル,牡4,56,瀧川寿希,1:33.4,3/4,2-4-4-4,42.8,6.3,3,474(+1),[地]田辺陽一,藤田秀行,
9,6,8,ウインダムール,牡5,56,坂井英光,1:34.2,4,2-2-1-1,44.1,22.3,9,477(+6),[地]佐藤博紀,古賀慎一,
10,7,10,シナノテイオー,牡6,56,笹川翼,1:34.7,2.1/2,1-1-3-1,44.6,5.5,2,451(-3),[地]高月賢一,小林勝,
11,5,5,キタイノホシ,牡4,56,赤岡修次,1:35.5,4,7-9-8-11,43.8,17.2,7,499(-9),[地]内田勝義,（有）グランド牧場,
12,8,11,トゥープラウド,牡4,56,楢崎功祐,1:37.5,大,12-12-12-12,43.6,32.1,11,483(-6),[地]田辺陽一,国本勇,
1,7,9,カンナカムイ,牡5,56,森泰斗,1:37.5,,2-2-2-1,40.8,1.0,1,496(+6),[地]高月賢一,日下部勝徳,80.0
2,1,1,スプリングブレスト,牝4,54,張田昂,1:38.0,2.1/2,10-10-9-8,39.7,12.8,2,494(-3),[地]山田信大,山田力夫,24.0
3,8,10,セイウンラードゥガ,牝6,54,高橋哲也,1:38.7,3,9-8-8-5,40.8,93.3,10,451(+2),[地]吉田正美,冨田藤男,14.4
4,7,8,ドリームブレイク,牡5,56,赤岡修次,1:38.9,1,11-11-11-11,40.2,17.7,3,494(-5),[地]内田勝義,（株）ドリームター,9.6
5,3,3,フライトパーサー,牡6,56,半沢慶実,1:38.9,クビ,1-1-1-2,42.5,56.1,7,475(+2),[地]牛房栄吉,安沢義三,8.0
6,5,5,セイウンアネゴ,牝5,54,加藤和博,1:39.6,3,5-5-4-3,42.6,17.7,4,488(+1),[地]川島豊,（株）ファーストビ,
