Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,5,5,トウショウアパッチ,牡3,56,平瀬城久,1:38.4,,1-1-1-1,41.6,2.1,1,465(-2),[地]佐藤茂,大関隆,21.0
2,7,8,アイトラッキング,牡3,56,青柳正義,1:38.5,1/2,2-2-2-2,40.9,2.3,2,540(+1),[地]鈴木正也,（株）ファーストビ,4.2
3,4,4,サッキーバリアント,牡3,56,中島龍也,1:39.0,2.1/2,6-6-6-4,39.8,17.4,4,470(-2),[地]加藤和義,筠文彦,1.8
4,3,3,アガタティアラ,牝4,54,松戸政也,1:39.4,2,5-4-5-3,40.6,26.3,6,449(+4),[地]鈴木長次,石山紘,1.4
5,8,9,フェールボー,牡7,56,桑野等,1:39.4,アタマ,4-4-4-5,40.8,22.7,5,490(+11),[地]鈴木長次,長谷川孝二,0.8
6,7,7,カガノカリスマ,牡4,56,池田敦,1:40.0,3,10-8-8-8,40.2,272.7,10,417(-5),[地]川添明弘,（同）ＭＩＲＡＩ,
7,2,2,ドラゴングレイス,牡5,56,栗原大河,1:40.0,アタマ,8-7-7-7,40.5,94.2,7,463(+1),[地]菅原欣也,前田重夫,
8,1,1,サノルア,牝3,54,藤田弘治,1:40.9,4,3-3-3-6,42.6,5.0,3,469(+21),[地]鈴木長次,（株）ファーストビ,
9,6,6,デカントラップ,牡7,56,沖静男,1:41.2,1.1/2,7-9-10-10,40.5,102.6,8,482(+6),[地]鈴木長次,（株）ファーストビ,
10,8,10,ハナビサンバ,牝5,54,葛山晃平,1:41.2,アタマ,8-10-9-9,40.8,191.9,9,405(0),[地]菅原欣也,（同）ＪＰＮ技研,
1,6,7,メイショウムロト,牡7,56,赤岡修次,1:25.0,,1-1-1-1,40.5,1.7,1,486(+1),[地]松木啓助,中山純子,14.0
