Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,2,2,ホーリーエンジェル,牝4,54,高畑皓一,1:33.0,,1-1-1-1,40.0,45.0,6,437(+5),[地]坂本和也,木村良明,30.0
2,5,5,パッション,牝6,54,川原正一,1:33.0,クビ,2-2-2-2,39.7,3.1,2,471(+2),[地]山本和之,円城幸男,7.2
3,4,4,クリノヘイロー,牡8,56,杉浦健太,1:33.7,4,5-5-5-4,40.1,27.8,5,484(+10),[地]大石省三,栗本守,3.6
4,6,6,テセラグッドノーズ,牝3,54,田中学,1:33.7,アタマ,4-4-3-3,40.2,1.6,1,450(-1),[地]徳本慶一,広藤政弘,2.4
5,7,7,クリノシャンティイ,牡3,56,下原理,1:33.7,アタマ,6-6-4-6,40.0,7.5,3,472(+2),[地]橋本忠明,栗本八江,1.8
6,3,3,アイアンドーム,牡3,56,竹村達也,1:34.0,2,6-7-9-7,40.2,10.0,4,482(0),[地]平松徳彦,池上一馬,
7,1,1,カーペウィアム,セ7,56,寺地誠一,1:34.1,1/2,3-3-5-5,40.7,152.8,9,430(-3),[地]雑賀伸一,田上雅春,
8,8,10,ラブシャーク,牝7,54,広瀬航,1:34.5,2.1/2,9-9-10-8,40.5,55.5,7,441(0),[地]国沢利照,鍋倉昌志,
9,7,8,ピラミッドユージン,セ5,56,山田雄大,1:34.7,1.1/4,8-8-7-9,40.9,57.5,8,497(+3),[地]新井隆太,（株）さくらコーポ,
10,8,9,ニホンピログレード,牡3,56,西川進也,1:34.9,1.1/2,10-9-8-10,41.0,164.2,10,484(-2),[地]西川精治,小林百太郎,
1,1,1,カツゲキキトキト,牡3,55,大畑雅章,2:02.2,,1-1-1,37.4,1.7,1,509(+8),[地]錦見勇夫,野々垣正義,500.0
2,7,9,コスモナーダム,牡5,57,岡部誠,2:03.2,5,6-3-2,38.1,17.8,4,491(0),[地]井手上慎,野々山重貞,115.0
3,3,3,サウスウインド,セ5,57,赤岡修次,2:04.7,7,4-2-3,39.8,3.3,2,465(+6),[地]山口浩幸,山上和良,40.0
4,6,7,アンコイルド,牡7,57,山本聡哉,2:06.6,9,7-7-4,41.2,30.3,5,476(-9),[地]岡林光浩,（有）大樹ファーム,25.0
5,4,4,アップアンカー,牡6,57,佐藤友則,2:06.8,1.1/2,8-8-5,41.2,122.1,8,512(-3),[地]原口次夫,加藤守,20.0
6,8,12,ビービーガザリアス,牡9,57,藤原幹生,2:07.3,2.1/2,9-9-9,41.3,242.5,10,490(-1),[地]笹野博司,（同）ＪＰＮ技研,
7,5,6,エイシンイースト,牡5,57,大山真吾,2:07.4,クビ,10-9-8,41.4,35.1,6,482(+1),[地]坂本和也,平井克彦,
