Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,7,7,ラブミージェームス,牝6,54,菅原俊吏,1:27.8,,2-2,37.8,5.8,3,460(-3),[地]小林義明,牧野慎一郎,10.0
2,3,3,メモリアルウッド,牡4,56,高松亮,1:28.6,5,5-5,38.3,10.5,5,498(-2),[地]菅原右吉,後藤順男,2.0
3,4,4,グロスヴァーグ,牡6,56,斉藤雄一,1:28.8,1.1/4,2-3,38.9,7.6,4,439(0),[地]吉田司,谷謙介,1.0
4,2,2,ローレルカンタータ,牡10,56,村上忍,1:28.9,1/2,4-4,38.8,5.1,2,500(-8),[地]村上実,佐々木寛明,0.7
5,6,6,パープルベスト,牡7,56,南郷家全,1:30.3,9,6-6,39.5,44.0,6,440(-5),[地]城地俊光,吉田朋之,0.3
6,1,1,ゼンノジェネラル,セ5,56,山本聡哉,1:30.4,1/2,1-1,40.6,1.5,1,438(0),[地]畠山信一,吉田勝利,
1,3,3,ステージアート,牡5,56,斉藤雄一,1:27.6,,1-1,39.4,1.3,1,452(-8),[地]小西重征,組）パートナーシップ,10.0
2,7,7,スズヨシーズン,牡11,56,菅原俊吏,1:28.7,7,4-4,39.4,3.6,2,487(+3),[地]石川栄,三浦紀夫,2.0
3,1,1,チャンピオンパラオ,牡5,56,木村暁,1:29.4,4,5-5,39.8,39.9,5,447(-14),[地]千葉博次,谷謙介,1.0
4,6,6,クラアミーゴ,牝6,54,坂口裕一,1:29.5,1/2,2-2,41.1,18.4,4,429(-7),[地]佐藤祐司,倉見利弘,0.7
5,2,2,ダンストンフィート,牝4,54,阿部英俊,1:29.6,クビ,3-3,40.5,53.0,6,485(-2),[地]村上実,伊藤孝治,0.3
6,4,4,ロケットドライブ,牡4,56,高松亮,1:29.9,2,7-6,39.5,10.0,3,471(-4),[地]小林義明,大野春男,
7,5,5,アラート,牡5,56,関本淳,1:32.0,大,6-6,42.1,109.8,7,480(+4),[地]工藤裕孝,（有）メルシー,
