Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,8,8,セルリアンアピチェ,牡3,56,大畑雅章,1:33.4,,1-1-1,39.7,1.5,1,485(-5),[地]今津博之,生田敏成,25.0
2,5,5,アサケイーグル,牡3,56,丸野勝虎,1:33.4,アタマ,3-3-2,39.4,4.1,2,474(+2),[地]井上正,大橋章雄,6.3
3,7,7,トーホウピアノ,牝3,54,戸部尚実,1:35.2,9,2-2-3,41.3,10.3,4,414(0),[地]井手上慎,高橋進,2.5
4,1,1,ミルクチョコ,牝3,54,山田祥雄,1:35.4,3/4,4-4-4,41.3,6.9,3,454(+10),[地]田中敏和,（株）ファーストビ,1.5
5,4,4,シハツレッシャ,牡3,56,東川公則,1:35.5,1/2,4-5-5,41.3,34.0,6,423(+5),[地]尾島徹,木村良明,1.0
6,2,2,フライングサラ,牝3,54,岡部誠,1:35.6,クビ,7-7-7,40.7,10.6,5,437(-6),[地]竹下太,太田全哉,
7,6,6,ワンチャンス,牡3,56,丸山真一,1:35.8,1.1/2,6-6-6,41.3,71.3,7,396(-5),[地]新山広道,（同）ＪＰＮ技研,
8,3,3,ドナブルネッタ,牝3,54,柿原翔,1:35.8,クビ,8-7-8,40.9,133.4,8,436(-4),[地]坂口義幸,谷謙介,
1,4,4,ミヤビキララコ,牝4,54,山崎雅由,1:31.9,,4-4-3-1,39.8,8.4,5,410(0),[地]山口浩幸,冨田藤男,25.0
2,2,2,シーエヴリン,牝8,54,鴨宮祥行,1:32.4,3,6-6-4-4,39.9,110.8,10,420(+1),[地]山口浩幸,吉岡秀宜,6.0
3,3,3,タレントナチュラル,牝5,52,武藤雅,1:32.5,クビ,5-5-6-6,39.9,2.3,1,455(-5),[地]渡瀬寛彰,太田裕臣,3.0
4,7,7,コーネルレインボー,牝7,54,大柿一真,1:32.8,2,2-2-1-2,40.9,5.6,3,448(0),[地]山口浩幸,冨田藤男,2.0
5,5,5,パープレー,牡6,56,竹村達也,1:33.0,1.1/2,7-7-7-5,40.3,7.5,4,438(-2),[地]織田誠,櫨山慶次,1.5
6,6,6,エスケイタイガー,牡8,56,木村健,1:33.7,4,7-8-8-7,40.9,3.3,2,474(0),[地]小村正也,（有）ミドルアイラ,
