Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,8,10,ケツァルテナンゴ,牡3,55,シュタル,1:47.3,,6-5,34.2,6.3,3,494(+4),[西]笹田和秀,Ｇ１レーシング,"1,842.4"
2,5,5,ダノンムーン,牡6,57,Ｍ．デム,1:47.3,ハナ,4-4,34.3,2.3,1,452(+4),[西]藤原英昭,ダノックス,736.4
3,7,7,ピオネロ,牡4,57,福永祐一,1:47.4,3/4,6-7,34.2,6.7,4,498(+10),[西]松永幹夫,キャロットファーム,463.2
4,3,3,タイセイアプローズ,牡3,55,松山弘平,1:47.4,ハナ,2-2,34.6,3.7,2,466(+6),[西]宮本博,田中成奉,270.0
5,8,9,サングレアル,牝4,55,岩田康誠,1:47.5,1/2,1-1,34.8,10.0,5,432(+26),[西]松田博資,サンデーレーシング,182.0
6,6,6,ダノンフェニックス,牡7,57,蛯名正義,1:47.5,ハナ,9-8,34.1,79.6,10,456(+2),[西]角居勝彦,ダノックス,
7,7,8,アドマイヤドバイ,牡5,57,菱田裕二,1:47.7,1.1/4,2-3,34.8,29.2,8,470(+6),[西]橋田満,近藤利一,
8,4,4,ダイシンブラック,牡6,57,柴山雄一,1:47.7,クビ,6-8,34.4,72.1,9,488(+6),[西]庄野靖志,大八木信行,
9,2,2,サンライズタイセイ,牡5,57,池添謙一,1:47.8,クビ,9-10,34.3,19.2,6,474(+10),[西]浜田多実,松岡隆雄,
10,1,1,ミヤジタイガ,牡5,57,幸英明,1:48.0,1.1/2,4-5,34.9,23.3,7,504(+2),[西]岩元市三,曽我司,
1,3,6,カジノブギ,牝2,54,Ｍ．デム,1:35.2,,12-12,35.0,4.3,2,460(0),[西]中内田充,社台レースホース,700.0
2,5,9,フォーアライター,牡2,55,浜中俊,1:35.2,クビ,6-6,35.4,1.9,1,480(0),[西]宮本博,サンデーレーシング,280.0
3,1,2,キアロスクーロ,牡2,55,菱田裕二,1:35.2,ハナ,1-1,35.9,57.6,11,490(0),[西]安達昭夫,水上行雄,180.0
4,5,10,ツーエムレジェンド,牡2,55,池添謙一,1:35.3,1/2,11-9,35.3,24.3,6,456(0),[西]池添兼雄,水谷昌晃,110.0
5,6,12,ユキノロード,牡2,55,北村友一,1:35.6,2,12-13,35.3,35.3,8,518(0),[西]本田優,遠藤宗義,70.0
6,1,1,ナムラムサシ,牡2,55,福永祐一,1:35.7,1/2,4-3,36.0,7.6,3,424(0),[西]目野哲也,奈村信重,
