Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,5,5,ノールグランヴォラ,牝4,610,阿部武臣,1:56.9,,,,2.4,1,903(+4),[地]坂本東一,（株）アービレック,10.0
2,8,8,ブラックショウ,牝3,610,松田道明,1:58.3,,,,4.6,2,1005(+6),[地]村上慎一,大熊金八,2.0
3,1,1,アイノチカラ,牝3,610,船山蔵人,2:00.8,,,,21.6,6,888(-6),[地]中島敏博,藤田千代,1.0
4,4,4,オーシャンパワー,牡3,630,西将太,2:01.3,,,,5.0,3,913(+6),[地]中島敏博,舘野竜一,0.6
5,7,7,フレイムバクショウ,牡3,630,舘沢直央,2:03.1,,,,33.4,8,944(-10),[地]金田勇,今野義雄,
6,6,6,オレワビクトリー,牡3,630,西謙一,2:04.0,,,,5.0,4,923(-18),[地]西弘美,真壁雅彦,
7,2,2,サクセスフェアリー,牝3,610,渡来心路,2:05.7,,,,8.3,5,996(+6),[地]坂本東一,山根福司,
8,3,3,スズノエイカン,牡3,630,菊池一樹,2:22.0,,,,29.2,7,1028(+8),[地]田上忠夫,山田栄一,
1,6,6,ヒカルナナヒメ,牝4,640,藤本匠,1:30.4,,,,3.2,1,1058(+5),[地]谷あゆみ,長沢広茂,11.0
2,2,2,ツガルノウンカイ,牡9,670,藤野俊一,1:35.2,,,,22.9,7,1048(+9),[地]鈴木邦哉,小林良二,2.2
3,1,1,ツルマキイチバン,牝6,650,松田道明,1:38.0,,,,4.4,3,971(+17),[地]村上慎一,大熊金八,1.1
4,5,5,カブトゴールド,牡6,670,赤塚健仁,1:38.1,,,,7.1,4,1030(-7),[地]小林長吉,甲地留良,0.6
5,4,4,キタノリュウキ,牡4,660,工藤篤,1:41.8,,,,3.3,2,1122(+10),[地]村上慎一,千葉隆,
6,3,3,ヨシノイチバンヒメ,牝5,650,船山蔵人,1:47.3,,,,98.9,9,1079(-10),[地]中島敏博,樋浦昇,
7,7,7,サダノワークス,牡7,670,阿部武臣,1:50.9,,,,48.8,8,961(-15),[地]西弘美,加茂善定,
8,8,8,テンカフブ,牡5,670,西謙一,1:51.1,,,,14.3,6,1180(+7),[地]大友栄人,高柳稔,
9,8,9,コサカコブラ,牡10,670,長沢幸太,2:05.1,,,,7.3,5,1073(+3),[地]尾ヶ瀬富,金田龍二,
1,2,2,フェアリースズ,牝3,625,長沢幸太,1:24.1,,,,4.2,1,1009(0),[地]岩本利春,日野貴,10.0
2,1,1,ノエルブラン,牡3,645,工藤篤,1:27.4,,,,4.3,2,1032(+16),[地]槻舘重人,細川貞夫,2.0
3,4,4,ココロノタカラ,牡3,645,阿部武臣,1:28.1,,,,4.4,3,909(-3),[地]坂本東一,干場正吉,1.0
4,6,6,サクラユメチヨ,牝4,625,船山蔵人,1:35.0,,,,5.0,4,1040(-4),[地]金山明彦,川端達雄,0.6
5,7,7,ブラックダンサー,牡3,645,大河原和,1:39.9,,,,36.5,8,1027(-2),[地]服部義幸,安藤和治,
6,8,9,センリョウボス,牡3,640,渡来心路,1:40.7,,,,56.8,9,992(+10),[地]坂本東一,山根福司,
7,8,8,ミンナノマルゼン,牡3,645,西将太,1:46.0,,,,12.5,7,1020(-4),[地]松井浩文,高柳稔,
8,3,3,ゴロウマル,牡3,645,藤本匠,1:52.4,,,,9.2,6,1034(+7),[地]久田守,永井満,
9,5,5,コマノダイジン,牡3,645,藤野俊一,1:57.2,,,,7.9,5,983(-4),[地]金田勇,駒井鉄雄,
1,7,7,プランセス,牝2,525,赤塚健仁,1:19.6,,,,3.2,1,949(+22),[地]久田守,細野俊秀,14.0
2,5,5,オレワチャンピオン,牡2,550,鈴木恵介,1:19.7,,,,3.2,2,1029(-3),[地]中島敏博,（株）北西ファーム,2.8
3,2,2,ツガルノボブ,牡2,540,菊池一樹,1:24.6,,,,14.2,6,1003(-4),[地]岩本利春,須藤信秋,1.4
4,6,6,ブラックエース,牡2,545,工藤篤,1:25.2,,,,39.2,10,989(+1),[地]岩本利春,山火長蔵,0.8
5,8,9,キンツルモリウチ,牡2,545,村上章,1:25.8,,,,20.9,8,1012(+10),[地]西康幸,（株）森内畜産,0.5
6,3,3,フナノダイヤモンド,牡2,540,船山蔵人,1:27.9,,,,12.6,5,931(+6),[地]松井浩文,舩戸勝,
7,4,4,カネサダイマオー,牡2,545,藤野俊一,1:28.7,,,,4.7,3,983(-7),[地]松井浩文,秋田忍,
8,8,10,バンリュウブラック,牡2,545,西将太,1:30.5,,,,25.5,9,984(+23),[地]久田守,稲谷義雄,
9,1,1,キタノユウジロウ,牡2,540,松田道明,1:31.5,,,,9.3,4,997(+7),[地]村上慎一,佐藤敏律,
10,7,8,コウシュハギョイ,牡2,540,西謙一,1:43.2,,,,17.0,7,989(+1),[地]松井浩文,広瀬豪,
1,4,4,キタノショウナン,牝2,490,長沢幸太,1:27.0,,,,8.5,5,890(+6),[地]服部義幸,太細保春,10.0
2,3,3,スペースワン,牡2,510,鈴木恵介,1:27.2,,,,4.2,2,886(-6),[地]中島敏博,杉岡正美,2.0
3,7,7,ハルトラ,牡2,510,大河原和,1:30.0,,,,3.0,1,946(+4),[地]西邑春夫,石橋強,1.0
4,5,5,キタイヒメ,牝2,490,赤塚健仁,1:33.0,,,,19.8,9,810(+4),[地]村上慎一,大熊金八,0.6
5,8,9,ハクウンリュー,牡2,510,西謙一,1:35.5,,,,6.3,4,861(+4),[地]松井浩文,高柳稔,0.4
6,6,6,コウシュハアモーレ,牡2,510,藤本匠,1:37.0,,,,16.7,8,911(+4),[地]西邑春夫,広瀬豪,
7,2,2,シンエイサンシロウ,牡2,510,村上章,1:40.1,,,,16.6,7,899(+2),[地]小林勝二,上口詩子,
8,7,8,ウノフクヒメ,牝2,490,舘沢直央,1:46.5,,,,6.1,3,830(-2),[地]金田勇,宇野広,
9,8,10,カネミツヒメ,牝2,490,工藤篤,1:46.9,,,,16.5,6,811(-5),[地]金田勇,三宮久蔵,
10,1,1,サカノスピード,牡2,510,島津新,1:55.2,,,,55.2,10,908(-7),[地]田上忠夫,（株）大阪畜産,
1,7,8,スーパータイトル,牡7,685,藤野俊一,1:30.8,,,,7.6,5,1024(+7),[地]金田勇,駒井鉄雄,12.0
2,1,1,アアモンドロシア,牡5,680,西将太,1:33.2,,,,3.0,1,1042(+2),[地]林豊,（株）北西ファーム,2.4
3,7,7,ホクショウメジャー,牡6,680,松田道明,1:36.8,,,,8.9,6,1170(+14),[地]平田義弘,井内昭夫,1.2
4,8,9,コウシュハローヤル,牝4,655,藤本匠,1:41.2,,,,5.3,2,1013(-5),[地]松井浩文,広瀬豪,0.7
5,8,10,フクトク,牡8,685,菊池一樹,1:41.3,,,,39.0,9,1078(-5),[地]鈴木邦哉,小林良二,
6,4,4,チヨノタカラ,牡7,685,鈴木恵介,1:43.3,,,,6.4,4,1166(+20),[地]林豊,江岸利信,
7,2,2,カクセンキング,牡5,680,村上章,1:44.2,,,,56.9,10,1097(+5),[地]槻舘重人,松井紀行,
8,6,6,カツオーカン,牡7,680,赤塚健仁,1:45.0,,,,5.6,3,1018(+11),[地]久田守,岩瀬秀雄,
9,5,5,アサヒカツヒメ,牝5,660,島津新,1:45.9,,,,21.0,8,1065(-10),[地]林豊,林千代吉,
10,3,3,サカノテツワン,牡8,685,工藤篤,1:55.2,,,,14.1,7,1069(-7),[地]田上忠夫,（株）大阪畜産,
1,3,3,ウンリューゴールド,牡4,650,藤野俊一,1:29.1,,,,11.4,5,975(+3),[地]松井浩文,高柳稔,11.0
2,5,5,ラッセルクイン,牝4,630,鈴木恵介,1:30.1,,,,1.8,1,1006(+1),[地]岡田定一,森信成,2.2
3,1,1,キタノキセキ,牡8,660,舘沢直央,1:35.7,,,,10.3,4,1013(+4),[地]大友栄人,加藤正法,1.1
4,2,2,ニシキトモエ,牡8,660,松田道明,1:43.8,,,,3.8,2,1084(+13),[地]村上慎一,管野富夫,0.6
5,7,7,メモリアルサマー,牝6,640,長沢幸太,1:46.1,,,,14.6,6,1063(0),[地]岡田定一,広瀬豪,
6,8,9,アアモンドネムロ,セ4,650,阿部武臣,1:50.7,,,,25.2,7,1185(+17),[地]大友栄人,駒井正人,
7,6,6,フレグランス,牝8,640,工藤篤,1:52.0,,,,82.4,9,1092(+8),[地]村上慎一,大阪武,
8,4,4,プリンセスサラ,牝5,640,西将太,1:55.9,,,,31.2,8,949(-1),[地]村上慎一,佐藤實,
9,8,8,カミノシズク,牡7,660,船山蔵人,2:03.2,,,,8.5,3,1022(+10),[地]谷あゆみ,高橋勝坦,
1,8,9,ショウヘイ,牡4,660,渡来心路,1:31.7,,,,6.0,4,1075(+10),[地]久田守,佐々木正人,11.0
2,6,6,タカラシップ,牡4,660,西将太,1:32.8,,,,4.4,3,1079(-8),[地]平田義弘,三浦信一,2.2
3,5,5,ムサシブラザー,牡4,660,松本秀克,1:33.6,,,,2.9,1,1000(+6),[地]久田守,細野俊秀,1.1
4,1,1,スターダスト,牝6,650,舘沢直央,1:36.0,,,,18.4,7,1043(+3),[地]今井茂雅,曽我部裕,0.6
5,3,3,アースパワー,牡7,670,藤本匠,1:38.9,,,,4.4,2,1058(+10),[地]岩本利春,松山増男,
6,2,2,タフガイ,牡4,660,長沢幸太,1:39.7,,,,65.4,10,961(-9),[地]服部義幸,中山一行,
7,7,7,ユウトウセイ,牡7,670,阿部武臣,1:42.8,,,,61.2,9,1083(-5),[地]大友栄人,駒井正人,
8,7,8,マタキタヨ,牡10,670,菊池一樹,1:47.1,,,,17.0,6,1048(+11),[地]平田義弘,福山英世,
9,4,4,コウシュハシンザン,牡5,670,藤野俊一,1:49.6,,,,41.1,8,1160(-10),[地]金山明彦,広瀬豪,
10,8,10,ニシノキング,牡7,670,大河原和,1:53.4,,,,8.1,5,1030(-4),[地]服部義幸,松田勲,
1,6,8,メモリーバッカス,セ6,56,永森大智,1:24.8,,2-2-2-1,39.9,4.9,2,527(-7),[地]別府真司,シンザンクラブ,20.0
2,6,7,ブルーヴァルキリー,牝6,54,倉兼育康,1:25.4,3,7-7-7-5,39.9,4.5,1,447(+2),[地]松木啓助,（同）ＪＰＮ技研,5.0
3,1,1,クイックスパイダー,牡7,56,三村展久,1:25.5,3/4,1-1-1-2,40.7,25.5,10,512(-3),[地]胡本友晴,中嶋弘士,2.5
4,4,4,セキサンシップ,牝4,54,赤岡修次,1:25.7,3/4,10-10-10-4,39.7,5.9,4,442(+1),[地]別府真司,国田正忠,1.5
5,3,3,アラハバード,牡3,56,西川敏弘,1:25.8,1/2,5-3-3-3,40.9,10.3,6,445(-2),[地]田中譲二,笠原久夫,1.0
6,7,9,キョウカスイゲツ,牝3,53,林謙佑,1:25.9,1/2,8-9-9-8,40.2,10.1,5,419(-3),[地]田中譲二,（株）ボンズ,
7,5,6,リュウノショコラ,牝3,54,石本純也,1:26.3,2,3-4-4-6,41.1,5.5,3,391(+2),[地]田中伸一,蓑島竜一,
8,7,10,ペプチドウインド,牡7,56,佐原秀泰,1:26.6,1.1/2,12-12-12-12,39.9,12.8,7,489(+13),[地]胡本友晴,弘芝雪夫,
9,2,2,ラガマフィン,牝4,54,妹尾浩一,1:26.7,クビ,9-6-6-7,41.3,31.5,11,475(+1),[地]炭田健二,炭田豊,
10,8,12,ダラットパレス,牝9,54,岡村卓弥,1:26.7,ハナ,6-8-8-11,41.0,51.3,12,412(+1),[地]胡本友晴,柴原栄,
11,5,5,ビビビ,牝5,53,松木大地,1:26.7,クビ,11-11-11-10,40.3,23.2,9,461(+1),[地]田中伸一,（株）めばえ企画,
12,8,11,ピンクインハート,牝5,53,下村瑠衣,1:27.0,1.1/2,4-5-5-9,41.7,13.9,8,453(-2),[地]那俄性哲,岩元俊徳,
1,5,5,フジコビューティ,牝4,610,西謙一,1:35.8,,,,1.8,1,988(+28),[地]大橋和則,嶋田孝四郎,10.0
2,3,3,クロオビ,牡3,630,渡来心路,1:38.3,,,,9.3,4,916(+7),[地]久田守,細野俊秀,2.0
3,8,8,フクイサム,牡3,630,赤塚健仁,1:46.0,,,,33.0,7,916(+6),[地]長部幸光,渡辺勇,1.0
4,6,6,ヨシノプラチナ,牝4,610,村上章,1:47.4,,,,9.8,5,1114(+2),[地]鈴木邦哉,佐渡博,0.6
5,4,4,オレワチャンス,牡3,630,西将太,1:52.3,,,,42.3,8,984(-1),[地]中島敏博,（株）北西ファーム,
6,1,1,オレノロッキー,牡3,630,鈴木恵介,1:52.6,,,,6.7,3,984(+2),[地]槻舘重人,大森勝広,
7,7,7,コウシュハノホシ,牡3,630,松田道明,1:54.8,,,,4.7,2,1028(+11),[地]岡田定一,広瀬豪,
8,8,9,キタタロー,牡4,630,中山直樹,2:05.9,,,,55.9,9,948(+3),[地]尾ヶ瀬富,尾ヶ瀬浩二,
9,2,2,ホクセイビクトリー,牡4,630,菊池一樹,2:10.6,,,,15.6,6,1009(+3),[地]西弘美,（株）三上建設,
1,2,2,コウシュハウンカイ,牡7,870,藤本匠,1:56.3,,,,3.7,3,1082(-3),[地]松井浩文,秋田忍,120.0
2,1,1,フジダイビクトリー,牡9,850,松田道明,2:01.5,,,,5.5,4,1100(-10),[地]中島敏博,（株）三上建設,30.0
3,4,4,キサラキク,牝6,830,大河原和,2:01.7,,,,24.0,6,1153(+19),[地]金田勇,青山修,14.4
4,3,3,オレノココロ,牡7,870,鈴木恵介,2:03.7,,,,2.9,1,1197(+11),[地]槻舘重人,大森勝広,9.6
5,5,5,ニュータカラコマ,牡9,880,藤野俊一,2:05.0,,,,3.5,2,1117(+40),[地]尾ヶ瀬富,小森唯永,6.0
6,6,6,シンザンボーイ,牡6,860,阿部武臣,2:08.8,,,,7.4,5,1056(+14),[地]坂本東一,竹沢一彦,
1,2,2,ホクショウユウキ,牡8,690,鈴木恵介,1:27.9,,,,1.5,1,1078(-5),[地]松井浩文,井内昭夫,16.0
2,8,9,バウンティハンター,牡5,690,阿部武臣,1:30.6,,,,9.8,4,1150(+7),[地]金田勇,高橋健二,3.2
3,4,4,カンシャノココロ,牡6,690,西謙一,1:33.8,,,,6.7,2,1082(+2),[地]坂本東一,干場正吉,1.6
4,6,6,アアモンドセブン,牝6,680,藤本匠,1:34.9,,,,7.0,3,1173(+10),[地]小林長吉,広瀬豪,0.9
5,7,8,コウリキ,牡5,690,船山蔵人,1:35.8,,,,11.7,5,1020(+12),[地]久田守,小縄久司,
6,1,1,キタノサムライ,牡7,690,菊池一樹,1:37.3,,,,20.6,6,1070(+10),[地]岡田定一,広瀬豪,
7,7,7,カイシンゲキ,牡6,700,工藤篤,1:44.6,,,,49.8,8,1081(-6),[地]槻舘重人,丹治満夫,
8,3,3,イノリノチカラ,牡5,690,島津新,1:52.1,,,,72.7,9,1059(-11),[地]小北栄一,赤麿秀人,
9,5,5,ツルイテンリュウ,牡4,680,大河原和,1:58.1,,,,33.3,7,1046(-4),[地]山田勇作,田中光儀,
10,8,10,カゲホウトウ,牡6,690,長沢幸太,2:34.4,,,,85.0,10,1058(+20),[地]服部義幸,藤原征士郎,
1,,4,Southern Legend,セ5,58.5,ローウィ,1:09.28,,,,---,1,計不,[外]ファウン,Boniface Ho Ka Kui,
1,,6,Monomoy Girl,牝2,54.5,ジェルー,1:36.29,,,,---,2,計不,[外]コックス,"Michael Dubb, Monomoy Stables LLC, Et Al",
1,6,9,ホーガンブリッジ,牡3,58,山本康志,3:06.3,,2-2-2-2,13.1,28.4,9,492(0),[東]堀井雅広,塩田清,780.0
2,3,3,ボルゲーゼ,セ5,60,小野寺祐,3:06.9,3.1/2,1-1-1-1,13.1,9.2,4,478(+8),[東]木村哲也,サンデーレーシング,310.0
3,6,10,メイショウタカモリ,牡3,58,平沢健治,3:07.9,6,8-8-4-4,13.2,9.9,5,490(+4),[西]中村均,松本好雄,200.0
4,3,4,エアカーディナル,牡6,60,高田潤,3:08.2,2,9-9-6-6,13.2,7.1,3,494(+8),[西]笹田和秀,ラッキーフィールド,120.0
5,7,12,ショウナンアリスト,牡3,58,金子光希,3:08.2,クビ,2-2-3-3,13.2,2.1,1,496(-2),[東]上原博之,国本哲秀,78.0
6,8,14,ウインインスパイア,牡6,60,五十嵐雄,3:08.9,4,4-4-5-5,13.3,5.9,2,468(+18),[東]高橋祥泰,ウイン,
7,7,11,キングスーサ,牡3,58,難波剛健,3:09.4,3,12-12-9-8,13.3,16.5,6,472(+4),[西]飯田雄三,田上雅春,
8,4,6,スマートガルーダ,牡4,60,上野翔,3:10.1,4,7-6-8-7,13.3,62.4,11,490(+2),[東]粕谷昌央,大川徹,
9,2,2,ブルベアバイソン,牡3,58,黒岩悠,3:10.1,クビ,6-7-9-10,13.3,20.4,8,460(+4),[西]坂口正則,ブルアンドベア,
10,1,1,ニットウビクトリー,牡8,60,高野和馬,3:10.3,1.1/4,9-9-11-10,13.4,31.3,10,486(-2),[東]高橋文雅,日東牧場,
11,8,13,アサクサチャンス,牡3,58,浜野谷憲,3:10.9,3.1/2,4-4-7-8,13.4,96.5,13,462(+2),[東]戸田博文,田原慶子,
12,5,8,トーアバカラ,牡3,58,森一馬,3:11.2,1.3/4,11-11-13-12,13.4,109.9,14,470(+2),[西]松永昌博,高山ランド,
13,5,7,メイショウハガネ,牡3,58,北沢伸也,3:12.8,10,13-14-14-14,13.5,68.4,12,464(+8),[西]松永昌博,松本好雄,
14,4,5,レッドバルトーク,牡4,60,草野太郎,3:15.0,大,13-13-12-13,13.7,18.6,7,460(-10),[東]大竹正博,東京ホースレーシング,
1,,5,The Golden Age,セ3,55.5,チャドウ,1:40.27,,,,---,4,計不,クルーズ,,
1,1,1,マイネルプロンプト,セ5,60,森一馬,3:04.3,,4-4-3-2,12.9,8.4,4,482(+18),[西]坂口正則,岡田壮史,"1,350.0"
2,6,9,ウエスタンレベッカ,牝7,58,熊沢重文,3:04.3,アタマ,2-2-1-1,12.9,5.3,2,458(-4),[西]崎山博樹,西川賢,540.0
3,3,4,ダンツキャンサー,牝6,58,植野貴也,3:04.3,ハナ,1-1-2-2,12.9,2.7,1,488(+2),[西]谷潔,山元哲二,340.0
4,3,3,アズマタックン,牡4,60,北沢伸也,3:05.1,5,7-5-3-4,13.0,5.8,3,494(+2),[西]加用正,東哲次,200.0
5,5,8,アレルキナーダ,牝4,58,白浜雄造,3:05.7,3.1/2,8-8-9-8,13.0,45.1,11,520(-2),[西]千田輝彦,服部統祥,135.0
6,4,6,マイネルピクトル,牡6,62,五十嵐雄,3:06.1,2.1/2,9-10-7-7,13.1,45.2,12,516(0),[東]青木孝文,サラブレッドクラブ・ラフィアン,
7,5,7,メイショウヤギリ,牡5,60,平沢健治,3:06.3,1.1/4,2-3-5-5,13.1,32.9,9,486(+4),[西]池添学,松本好雄,
8,8,13,メイショウライナー,牡7,60,難波剛健,3:06.3,アタマ,6-5-6-6,13.1,13.8,6,484(+2),[西]高橋義忠,松本好隆,
9,8,14,レッドルーラー,牡7,60,高田潤,3:06.3,クビ,14-14-9-8,13.1,9.7,5,500(-6),[西]角居勝彦,東京ホースレーシング,
10,2,2,リバータイキ,牡8,60,金子光希,3:06.4,1/2,11-12-12-11,13.1,36.9,10,520(-8),[西]作田誠二,河越武治,
11,7,11,ゴールドバンカー,牡5,60,石神深一,3:06.8,2.1/2,13-11-9-11,13.1,14.2,7,456(+8),[東]伊藤正徳,磯波勇,
12,7,12,プランスペスカ,牡7,60,田村太雅,3:07.7,5,9-9-12-13,13.2,28.8,8,472(+6),[西]松永昌博,山田信太郎,
13,6,10,ルグランシェクル,牡4,60,大江原圭,3:08.2,3,12-13-14-14,13.2,118.1,14,460(+6),[東]大江原哲,藤田岳彦,
14,4,5,シゲルクーガー,セ3,58,小坂忠士,3:08.4,1.1/2,5-5-7-10,13.2,51.3,13,482(+4),[西]川村禎彦,森中蕃,
1,1,1,マイネルサリューエ,牡2,55,丹内祐次,1:55.4,,10-8-5-2,38.2,1.8,1,496(+4),[東]上原博之,サラブレッドクラブ・ラフィアン,500.0
2,8,12,ショウナンマリブ,牡2,54,坂井瑠星,1:55.4,クビ,1-1-1-1,38.7,2.8,2,466(-2),[西]松下武士,国本哲秀,200.0
3,3,3,ニコラオス,牡2,55,勝浦正樹,1:56.2,5,5-5-5-5,39.1,18.2,5,504(+4),[東]中野栄治,八巻弘一,130.0
4,6,8,グラスコマチ,牝2,51,藤田菜七,1:56.3,1/2,3-3-2-2,39.4,9.7,3,428(-4),[東]尾形充弘,半沢,75.0
5,7,10,アイファートニオー,牡2,52,三津谷隼,1:57.3,6,2-2-2-2,40.3,59.6,6,434(+4),[東]竹内正洋,中島稔,50.0
6,2,2,ネコマヒカ,牡2,55,杉原誠人,1:57.4,クビ,12-12-10-8,39.5,101.7,9,508(+10),[東]星野忍,桐谷茂,
7,5,5,ロイヤルパールス,牡2,52,富田暁,1:57.6,1.1/2,3-3-8-10,40.0,13.6,4,496(+4),[西]湯窪幸雄,ロイヤルパーク,
8,4,4,ハッピーテーラー,牡2,54,木幡初也,1:58.0,2.1/2,5-5-7-7,40.7,94.8,8,504(+2),[東]黒岩陽一,中西浩一,
9,7,9,クレイジームーン,牡2,55,津村明秀,1:58.3,1.3/4,8-7-2-5,41.3,192.1,11,486(+2),[東]鈴木伸尋,千明牧場,
10,5,6,ロンサムジョージ,牡2,52,横山武史,1:58.4,3/4,9-10-8-8,40.9,104.6,10,508(+6),[東]和田正一,スピードファーム,
11,8,11,アルファーティハ,牡2,55,嶋田純次,1:58.8,2.1/2,7-8-12-12,40.4,89.1,7,498(-6),[東]手塚貴久,清水敏,
12,6,7,ダイメイジャガー,牡2,55,小島太一,1:59.5,4,10-11-10-10,41.7,309.0,12,450(0),[東]中野栄治,宮本昇,
1,3,5,トップアドバンス,牡6,54,菊沢一樹,1:11.9,,15-15,35.2,94.3,14,482(+12),[東]勢司和浩,柳内正基,750.0
2,8,14,タイセイマルス,牡3,54,木幡巧也,1:11.9,クビ,3-2,37.1,74.3,13,464(-8),[東]栗田徹,田中成奉,300.0
3,5,8,トウショウデュエル,牡5,56,木幡初也,1:12.1,1.1/4,3-4,37.2,3.9,2,510(0),[東]杉浦宏昭,トウショウ産業,190.0
