Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,3,6,ワンダーリーデル,牡3,54,和田竜二,1:23.2,,5-5,36.7,5.9,2,524(-4),[西]沖芳夫,山本信行,"1,537.8"
2,8,15,ハラペーニョペパー,牝4,55,武豊,1:23.2,クビ,1-1,37.3,2.2,1,498(0),[西]加用正,グリーンファーム,610.8
3,6,12,ヨシオ,牡3,54,川田将雅,1:23.4,1.1/4,3-3,37.1,9.3,5,464(+4),[西]森秀行,仲山誉志夫,385.4
4,2,4,ロスヴァイセ,牝5,55,ベリー,1:23.7,2,3-3,37.5,7.1,4,472(+2),[西]小崎憲,キャロットファーム,230.0
5,1,1,アドマイヤイバマ,牡6,57,秋山真一,1:23.8,クビ,16-15,36.2,105.2,13,472(0),[西]友道康夫,近藤利一,150.0
6,4,8,アドマイヤスパーズ,牡6,57,松田大作,1:23.8,クビ,5-5,37.3,109.0,14,496(-6),[西]中尾秀正,近藤利一,
7,8,16,ペリーホワイト,牡5,57,デュプレ,1:23.8,アタマ,11-11,36.8,124.9,15,464(-6),[東]高木登,西山茂行,
8,5,9,スズカプリオール,牡5,57,国分優作,1:24.0,1.1/4,14-15,36.6,162.5,16,496(-8),[東]柄崎孝,永井啓弍,
9,2,3,ラブミークン,牡4,57,幸英明,1:24.2,1.1/4,13-12,37.1,25.5,7,490(+8),[西]田所秀孝,小林祥晃,
10,5,10,マサノグリンベレー,牡5,57,柴山雄一,1:24.4,3/4,7-7,37.8,94.3,11,500(+2),[東]小島茂之,中村時子,
11,4,7,ケンコンイッテキ,牡3,54,松山弘平,1:24.4,ハナ,2-2,38.2,6.6,3,498(-2),[東]田島俊明,ＣＨＥＶＡＬＡＴＴＡＣＨＥ,
12,1,2,ドリームカイザー,牡5,57,池添謙一,1:24.4,ハナ,9-9,37.7,97.4,12,510(+4),[西]飯田雄三,ライオンレースホース,
13,3,5,ディープミタカ,牡5,57,福永祐一,1:24.8,2.1/2,10-9,38.0,33.3,8,466(+6),[西]藤岡健一,深見敏男,
14,7,13,サンライズマーチ,牡6,57,浜中俊,1:24.9,1/2,14-13,37.5,49.9,10,482(-4),[西]音無秀孝,松岡隆雄,
15,7,14,クーゲル,牡5,57,藤岡康太,1:24.9,クビ,11-13,37.9,45.7,9,512(+4),[西]加用正,幅田昌伸,
16,6,11,キタサンウンゲツ,牡5,57,ルメール,1:25.0,クビ,7-7,38.3,14.3,6,520(+2),[西]橋口慎介,大野商事,
1,1,1,キーナンバー,牡3,53,国分恭介,1:09.4,,9-7,34.4,22.2,10,492(-4),[西]宮徹,北前孔一郎,"1,534.3"
2,4,7,アレスバローズ,牡4,57,浜中俊,1:09.7,1.3/4,2-2,35.2,3.8,1,480(-4),[西]角田晃一,猪熊広次,609.8
3,5,10,レッドラウダ,牡3,53,Ｍ．デム,1:09.7,ハナ,3-3,35.1,4.2,2,502(-6),[西]音無秀孝,東京ホースレーシング,384.9
4,1,2,オヒア,牝4,55,岩田康誠,1:09.9,1,4-4,35.2,11.6,6,460(+6),[西]村山明,金子真人ホールディングス,230.0
5,8,16,スノーエンジェル,牝4,52,戸崎圭太,1:09.9,クビ,5-4,35.2,6.2,3,452(-6),[西]浅見秀一,三田昌宏,150.0
6,4,8,タガノバラード,牝5,53,松山弘平,1:10.0,1/2,13-13,34.7,139.2,14,444(+12),[西]斉藤崇史,八木良司,
7,7,14,サクラディソール,牝6,52,横山典弘,1:10.1,3/4,12-13,34.8,67.4,12,440(+4),[東]尾関知人,さくらコマース,
8,5,9,キタサンラブコール,牡5,56,福永祐一,1:10.2,クビ,9-10,35.2,21.3,9,472(0),[西]昆貢,大野商事,
9,6,11,サンライズポパイ,牡8,54,藤岡康太,1:10.3,1/2,13-10,35.0,137.0,13,482(-8),[西]羽月友彦,松岡隆雄,
