Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,,2,Reliable Team,セ3,60.5,パートン,1:09.64,,,,---,1,計不,[外]ロー,,
1,5,5,タガノヒバナ,セ4,56,大山真吾,1:28.0,,3-3-4-3,38.3,4.4,2,489(+17),[地]碇清次郎,八木良司,100.0
2,6,8,クレバーバード,セ4,56,廣瀬航,1:28.3,2,2-2-2-1,38.8,5.1,3,487(-1),[地]上田二郎,津田康平,28.0
3,3,3,ウィッシュノート,牝5,54,鴨宮祥行,1:28.9,3.1/2,6-6-5-5,39.0,14.4,6,441(-1),[地]長倉功,竹内勝之,14.0
4,5,6,クレバーペガサス,牡10,56,大柿一真,1:29.1,1.1/2,9-9-10-8,38.9,31.0,10,479(-5),[地]山口浩幸,冨田藤男,10.0
5,6,7,トニーポケット,牡10,56,山田雄大,1:29.2,クビ,12-12-11-9,38.7,46.4,12,488(-1),[地]中塚猛,増本光夫,8.0
6,7,10,トーセンアンタレス,牝4,54,杉浦健太,1:29.6,2.1/2,5-5-3-4,39.7,18.8,8,464(+3),[地]茂崎正善,門別敏朗,
7,4,4,レッドアマポーラ,牝4,54,川原正一,1:29.7,3/4,8-7-6-6,39.7,16.9,7,475(+19),[地]柏原誠路,紅露純,
8,8,11,ロータスガーデン,牝5,54,中田貴士,1:29.9,3/4,11-11-9-10,39.5,20.5,9,472(+3),[地]小村正也,廣藤政弘,
9,2,2,ペプチドホープ,牡5,56,田中学,1:30.2,1.3/4,10-10-12-11,39.7,13.4,5,479(+6),[地]平松徳彦,（有）ペプチド・プ,
10,1,1,モンドール,牡6,56,渡瀬和幸,1:30.4,1.1/2,1-1-1-2,41.3,36.9,11,495(+7),[地]南弘樹,小橋亮太,
11,8,12,トゥリパ,牝4,54,吉村智洋,1:31.1,4,7-7-8-7,41.0,10.1,4,460(+10),[地]平松徳彦,橋本忠男,
12,7,9,コウザンアプローチ,牡6,56,下原理,1:32.8,大,3-4-6-11,43.0,2.8,1,523(-2),[地]新子雅司,山下良子,
1,2,2,リプレイス,牡5,56,川原正一,1:27.2,,1-1-1-1,37.0,1.2,1,506(-6),[地]柏原誠路,渡部賢治,150.0
2,5,5,ステップシュート,牝5,54,下原理,1:27.6,2.1/2,3-3-2-2,37.2,6.2,2,468(-2),[地]森澤友貴,瀬野尾裕久,42.0
3,8,8,キザシ,牡7,56,大柿一真,1:28.2,3.1/2,6-6-4-4,37.5,40.4,5,461(-4),[地]栗林徹治,松岡孝子,21.0
4,1,1,クールファンタジー,牝5,54,笹田知宏,1:28.4,3/4,4-3-3-3,38.0,58.0,7,480(-3),[地]有馬澄男,川上哲司,15.0
5,3,3,スクワール,牡7,55,石堂響,1:28.4,ハナ,7-7-7-6,37.6,47.4,6,466(-4),[地]長倉功,仲田軍兵,12.0
6,8,9,キータイプ,牡7,56,吉村智洋,1:28.7,1.3/4,8-8-7-7,37.8,15.9,4,455(0),[地]松平幸秀,北前孔一郎,
7,4,4,メイショウタイシ,牡4,56,鴨宮祥行,1:28.9,1.1/4,5-5-4-5,38.3,9.0,3,496(+4),[地]橋本忠明,松本好雄,
8,7,7,サンライズトーク,セ9,56,小谷周平,1:30.0,7,2-2-6-7,39.7,71.7,8,495(-1),[地]溝橋利喜,組）オールザベスト組,
9,6,6,タイセイラビッシュ,牡7,54,長谷部駿,1:33.3,大,9-9-9-9,39.7,137.5,9,487(-8),[地]大塚信次,大黒富美子,
1,7,8,クリノフラゴナール,牝4,54,吉村智洋,1:51.2,,5-4-4-3,38.6,3.3,1,481(0),[地]大石省三,栗本八江,40.0
2,4,4,エルモーソ,牝4,54,田中学,1:51.2,アタマ,2-2-1-1,38.7,3.9,2,454(0),[地]小牧毅,前田幸治,11.2
3,3,3,テイケイラフイン,牝5,54,大柿一真,1:51.3,1/2,4-3-5-4,38.7,9.5,4,424(+1),[地]山口浩幸,兼松忠男,5.6
4,8,10,サカダッシュ,牡7,54,長谷部駿,1:51.4,クビ,1-1-2-2,39.0,23.9,9,470(-7),[地]渡瀬寛彰,谷謙介,4.0
5,2,2,エンドオブジアース,牡7,56,廣瀬航,1:52.1,4,6-6-8-6,39.3,9.5,5,479(+5),[地]南弘樹,山崎和哉,3.2
