Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
201650061011,1,4,4,オトコギ,牡4,56,竹村達也,1:29.8,,1-1-1-1,39.7,5.9,4,474(+3),[地]高馬元紘,和田博美,80.0
201650061011,2,2,2,マイネルコンキスタ,牡7,56,木村健,1:30.5,4,9-8-7-7,39.4,5.7,2,503(+3),[地]保利良次,谷謙介,19.2
201650061011,3,8,11,サントノーレ,牝4,54,川原正一,1:30.6,1/2,3-3-2-2,40.3,1.8,1,499(-2),[地]盛本信春,吉田修,9.6
201650061011,4,8,12,エイシンシャルル,セ4,56,笹田知宏,1:30.9,1.1/2,5-5-5-5,40.3,5.8,3,456(+5),[地]橋本忠男,平井克彦,6.4
201650061011,5,1,1,ハクユウカンベエ,牡5,56,吉村智洋,1:30.9,クビ,4-4-4-3,40.5,32.4,6,483(-3),[地]有馬澄男,Ｈ．Ｉコーポレーション,4.8
201650061011,6,5,5,ミッキーサムソン,牡5,56,大山真吾,1:31.3,2.1/2,11-10-10-9,39.5,225.4,11,513(+1),[地]岡田利一,野田みづき,
201650061011,7,5,6,アンネイ,牡4,56,下原理,1:31.4,クビ,2-2-3-4,41.2,37.5,7,493(-3),[地]平松徳彦,橋口博,
201650061011,8,3,3,エムザックサンダー,牡4,56,田中学,1:31.5,1/2,6-7-8-8,40.4,57.4,9,443(-7),[地]田中道夫,寺西正彰,
201650061011,9,7,10,クリノカンパニー,牡5,56,永島太郎,1:31.7,1,7-6-6-6,41.0,12.0,5,490(+8),[地]橋本忠明,栗本八江,
201650061011,10,6,7,カットニス,牝4,54,山崎雅由,1:31.9,1,8-9-9-10,40.3,303.9,12,429(-7),[地]徳本慶一,荒川三代子,
201650061011,11,6,8,ナムラタイショウ,セ6,56,山田雄大,1:32.5,3.1/2,10-11-11-11,40.3,140.8,10,445(+4),[地]黒田隆男,（株）ファーストビ,
201650061008,1,3,3,メイショウデコイ,牝4,54,下原理,1:30.4,,1-1-1-1,38.6,3.9,2,438(+2),[地]小牧毅,松本好雄,40.0
201650061008,2,8,8,ジュメーリイ,牝4,55,川原正一,1:30.4,クビ,2-2-2-2,38.5,2.6,1,458(-1),[地]徳本慶一,宮沢健,9.6
201650061008,3,1,1,クラウンザクラウン,牡7,56,木村健,1:30.7,1.1/2,4-4-3-3,38.6,5.3,3,497(-2),[地]盛本信春,矢野悦三,4.8
201650061008,4,4,4,ナムラアース,牡5,56,松浦政宏,1:30.9,1.1/2,5-5-5-4,38.7,6.7,5,452(-1),[地]織田誠,（株）ファーストビ,3.2
201650061008,5,2,2,メイショウマツシマ,牝5,54,渡瀬和幸,1:31.4,3,7-7-6-5,39.0,41.4,7,483(+7),[地]三宅直之,（株）ファーストビ,2.4
201650061008,6,7,7,ファーレンハイト,牡5,57,永島太郎,1:31.5,1/2,6-6-7-6,39.0,6.3,4,490(+3),[地]長南和宏,山本晋也,
