Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
200255120802,1,5,5,サウンドエスカード,牝3,55,吉田順治,1:27.2,,1-1-1-1,,---,1,436(+8),[地]河津徳幸,池田謙司,26.0
200255120802,2,6,6,アンバーボーイ,セ3,56,安東章,1:27.7,2.1/2,4-4-2-2,,---,4,426(-1),[地]土井道隆,田中忠,6.5
200255120802,3,8,9,エアライサンダー,牡3,56,原口義史,1:27.7,クビ,7-8-8-8,,---,6,549(+3),[地]川田孝好,高野哲,3.1
200255120802,4,2,2,カスチェイ,牡3,56,山口勲,1:28.1,2,6-5-5-4,,---,5,445(+4),[地]山下清,坂本忠教,2.1
200255120802,5,1,1,マダムグレイス,牝3,55,北村欣也,1:28.2,1/2,7-7-6-6,,---,2,402(+5),[地]大垣敏夫,阿部雅子,1.3
200255120802,6,4,4,プリティーカナ,牝3,55,倉富隆一,1:28.5,1.1/2,3-3-4-4,,---,7,403(+1),[地]大垣敏夫,加藤二六,
200255120802,7,8,8,プリンセスミユキ,牝3,55,真島正徳,1:28.9,2,1-2-2-3,,---,3,421(-3),[地]山田義人,成安ツキ子,
200255120802,8,7,7,アドバンスレッド,牡4,56,三井邦夫,1:29.0,クビ,9-9-9-7,,---,8,442(-6),[地]鮫島勉,花田勲,
200255120802,9,3,3,ラヴリーコメット,牝3,55,山下貴光,1:31.4,大,5-5-8-9,,---,9,406(+5),[地]上川薫,松岡珠子,
200255120809,1,5,6,ナスキーサンホーク,牡2,55,安東章,1:57.9,,1-1-1-1,,---,4,458(-10),[地]真島元徳,江崎次三,300.0
200255120809,2,2,2,アラビアンカラー,牡2,55,鮫島克也,1:58.5,3,3-3-3-2,,---,1,485(-5),[地]的場信弘,広松金次,75.0
200255120809,3,5,5,カズノキング,牡2,55,真島正徳,1:58.8,1.1/2,2-2-2-3,,---,3,477(+9),[地]山田義人,平島和也,36.0
200255120809,4,7,10,テンビーアスカ,牝2,54,倉富隆一,1:59.4,3,8-9-7-8,,---,11,416(-8),[地]川田孝好,高野哲,24.0
200255120809,5,8,11,フクノシャンハイ,牡2,55,北村欣也,1:59.6,1,5-4-3-4,,---,7,510(-1),[地]川田孝好,陣内純子,15.0
200255120809,6,6,7,ザペキンハート,牝2,54,吉田順治,1:59.7,クビ,5-9-5-5,,---,5,445(-1),[地]西岡龍三,日浦桂子,
200255120809,7,4,4,ザマジックソロン,牡2,55,川野幸治,1:59.9,1,9-8-6-5,,---,9,458(+2),[地]西岡龍三,日浦桂子,
200255120809,8,6,8,ミッシーシャロム,牝2,54,古泉悟,2:00.0,クビ,10-10-10-9,,---,2,443(-5),[地]幣旗吉昭,深沢夏生,
200255120809,9,3,3,シャインカシオペア,牝2,54,下條知之,2:00.8,4,11-11-10-9,,---,6,489(+9),[地]真島元徳,原久美子,
200255120809,10,8,12,リゾートシャイン,牝2,54,森田直哉,2:02.6,9,4-4-9-12,,---,8,462(+1),[地]真島元徳,原大栄,
200255120809,11,1,1,メモリアルオペラ,牝2,54,山口勲,2:02.9,1.1/2,5-4-7-11,,---,9,507(0),[地]手島勝利,坂井一二三,
200255120805,1,4,4,カシノマイロード,牡3,56,永尾正則,1:33.0,,3-2-1-1,,---,2,493(-4),[地]山田勇,柏木務,34.0
200255120805,2,7,8,カンタベリーボーイ,牡5,56,安東章,1:33.1,1/2,4-4-4-5,,---,3,442(-3),[地]武藤敏明,加藤二六,8.5
200255120805,3,8,10,プリオールエスパー,牡4,56,鮫島克也,1:33.1,クビ,5-6-6-3,,---,1,491(+2),[地]河津徳幸,則武輝一,4.1
200255120805,4,3,3,シュベルニー,牡3,56,山口勲,1:33.6,2.1/2,9-8-6-8,,---,6,487(-4),[地]大垣敏夫,高野英博,2.7
200255120805,5,7,7,マイティミラー,牝3,55,長田進仁,1:33.6,ハナ,6-5-3-4,,---,7,456(-1),[地]大島静夫,浜崎猛,1.7
200255120805,6,8,9,エムエスサイレンス,牡3,56,吉田順治,1:33.9,1.1/2,1-1-1-1,,---,4,511(+8),[地]九日俊光,末松勝,
200255120805,7,2,2,ハセノホワイト,牡4,56,岡元隆太,1:34.4,2.1/2,6-6-6-6,,---,5,430(+13),[地]九日俊光,原田政幸,
200255120805,8,1,1,フジノダイヤモンド,牝4,55,下條知之,1:34.7,1.1/2,10-10-10-8,,---,8,500(-5),[地]高砂哲二,広松金義,
200255120805,9,5,5,キユチャン,牝3,55,石川浩文,1:35.5,4,2-2-7-12,,---,9,423(+5),[地]矢野久美,深川一清,
200255120805,10,6,6,コマノミュージカル,牡4,56,原口義史,1:35.6,クビ,8-8-10-9,,---,10,478(+1),[地]吉田昭,大坪英夫,
