Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
201730060704,1,7,8,リコーパイソン,牡2,54,五十嵐冬,1:14.8,,3-2,37.8,2.4,1,492(0),[地]桑原義光,土橋正雄,150.0
201730060704,2,5,5,リンノゲレイロ,牡2,54,井上俊彦,1:15.8,5,1-1,39.0,4.2,3,480(0),[地]林和弘,林正夫,30.0
201730060704,3,2,2,マルク,牡2,54,桑村真明,1:16.2,2,5-4,38.9,4.0,2,486(0),[地]角川秀樹,（株）ＭＢＲ,22.5
201730060704,4,6,6,トキノマツカゼ,牡2,54,松井伸也,1:16.7,2.1/2,2-3,39.8,10.4,5,448(0),[地]安田武広,田中準市,15.0
201730060704,5,4,4,スターカネサダ,牡2,54,宮崎光行,1:16.8,1/2,4-4,39.7,17.8,6,498(0),[地]川島雅人,須田靖之,7.5
201730060704,6,3,3,コモンセンス,牝2,54,岩橋勇二,1:17.9,5,7-6,40.3,95.2,9,434(0),[地]佐藤英明,伊達敏明,
201730060704,7,8,10,ワンモアベット,牝2,54,服部茂史,1:17.9,クビ,8-8,39.9,6.0,4,450(0),[地]田中淳司,黒川哲美,
201730060704,8,7,7,ニコスマ,牡2,54,石川倭,1:18.1,1,9-9,39.9,73.5,8,406(0),[地]米川昇,佐野幸一郎,
201730060704,9,8,9,クラトキン,牡2,54,井上幹太,1:20.2,大,6-7,42.8,53.2,7,426(0),[地]堂山芳則,倉見利弘,
201730060701,1,8,11,オールプレリー,牝2,54,阿部龍,1:02.0,,2-3,37.8,1.5,1,446(0),[地]角川秀樹,安中公成,30.0
201730060701,2,5,6,エイシンテネア,牝2,54,岩橋勇二,1:02.5,2.1/2,6-4,37.9,4.6,2,444(-8),[地]田中正二,平井宏承,6.0
201730060701,3,4,4,ローズメジャー,牝2,54,五十嵐冬,1:02.6,クビ,2-2,38.4,8.1,3,472(+10),[地]山口竜一,岩崎美由紀,4.5
201730060701,4,3,3,プロブレム,牝2,54,桑村真明,1:02.6,アタマ,1-1,38.7,10.7,5,440(+14),[地]小野望,田端修,3.0
201730060701,5,5,5,ノットユーアゲイン,牝2,54,阪野学,1:02.7,1/2,4-4,38.4,9.0,4,434(+4),[地]田中淳司,（有）グランド牧場,1.5
201730060701,6,8,12,イソノアズサ,牝2,54,井上俊彦,1:03.0,1.1/2,5-4,38.5,76.7,8,418(-8),[地]恵多谷豊,榎本富三,
201730060701,7,7,9,チビッコミーチャン,牝2,54,服部茂史,1:04.3,6,9-9,39.1,59.5,6,412(0),[地]小野望,真田誠之,
201730060701,8,6,7,オーラリー,牝2,54,石川倭,1:04.7,2,9-10,39.5,96.1,9,412(0),[地]米川昇,森永正志,
201730060701,9,1,1,チェリードール,牝2,54,佐々木国,1:04.7,クビ,8-8,39.9,72.3,7,424(+4),[地]広森久雄,桜井悦朗,
201730060701,10,2,2,タケノビジン,牝2,51,山本咲希,1:05.1,2,7-7,40.4,134.6,10,422(0),[地]岡島玉一,安喰武雄,
201730060701,11,6,8,グローリーシェリー,牝2,54,松井伸也,1:05.1,クビ,9-10,39.9,265.2,11,440(+2),[地]田部和則,上田真澄,
201730060701,12,7,10,マックフェスタツー,牝2,54,小林靖幸,1:05.1,アタマ,12-12,39.7,547.1,12,370(+4),[地]川島洋人,庄野昭彦,
201730060707,1,7,10,ティーズハーバー,牡3,56,岩橋勇二,1:14.6,,1-1,38.5,1.5,1,452(-8),[地]小野望,立山伸二,20.0
201730060707,2,4,4,ビービールチル,牝4,54,桑村真明,1:14.8,1,2-2,38.5,3.4,2,450(+14),[地]斉藤正弘,坂東牧場,4.0
201730060707,3,2,2,メイクィット,牝4,54,石川倭,1:16.0,6,8-8,38.7,13.8,4,498(+8),[地]川島洋人,（有）アクティブ,3.0
201730060707,4,5,5,タッチオブクラス,牝5,54,阪野学,1:16.0,クビ,3-3,39.3,41.0,8,456(+6),[地]国信満,田所英子,2.0
201730060707,5,6,8,シンデレラストリー,牝4,54,馬渕繁治,1:16.3,1.1/2,4-4,39.5,11.6,3,438(0),[地]佐藤英明,柳橋俊昭,1.0
201730060707,6,5,6,ブラッドオレンジ,牡6,56,井上幹太,1:16.4,クビ,12-12,38.0,79.5,10,470(-6),[地]安田武広,門別敏朗,
201730060707,7,8,11,ミラクルチャコ,牝4,51,山本咲希,1:16.4,アタマ,5-6,39.4,38.5,7,412(-2),[地]岡島玉一,前川義則,
201730060707,8,6,7,アニービー,牝4,53,水野翔,1:16.5,1/2,5-4,39.5,17.0,5,446(+6),[地]山中静治,吉橋一美,
201730060707,9,1,1,ドウジマボーイ,牡5,56,井上俊彦,1:16.5,ハナ,9-7,39.0,29.8,6,462(-4),[地]柳沢好美,高橋和磨,
201730060707,10,7,9,キョウノミライ,牡6,56,松井伸也,1:16.6,1/2,11-10,38.6,60.1,9,466(+4),[地]田部和則,吉田光政,
201730060707,11,8,12,コマンダーズロマン,牡9,56,小林靖幸,1:17.4,4,10-11,39.7,267.6,12,492(+6),[地]佐久間雅,松永要一,
201730060707,12,3,3,ハーモニードリーム,牡4,56,秋田大助,1:17.5,クビ,7-8,40.4,263.2,11,414(+4),[地]佐藤英明,（有）イシカリホー,
201730060702,1,8,9,ヴァーミリアグラン,牝3,54,五十嵐冬,1:46.7,,3-2-3-1,41.2,1.3,1,434(-2),[地]小国博行,石川幸司,25.0
