Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
201308050102,1,3,3,ミッキーアイル,牡2,55,浜中俊,1:32.3,,1-1,34.6,1.2,1,476(-2),[西]音無秀孝,野田みづき,500.0
201308050102,2,8,13,エアカミュゼ,牡2,55,リスポリ,1:33.1,5,6-5,34.7,10.0,3,496(-2),[西]池江泰寿,ラッキーフィールド,200.0
201308050102,3,5,7,メイショウビザン,牝2,54,岩田康誠,1:33.6,3,5-3,35.4,11.6,4,486(+4),[西]荒川義之,松本好雄,130.0
201308050102,4,4,6,ネオヴァリアント,牡2,55,松山弘平,1:33.8,1.1/2,2-2,35.9,9.9,2,480(-2),[西]小崎憲,小林仁幸,75.0
201308050102,5,1,1,ディープミタカ,牡2,55,藤岡康太,1:34.5,4,3-3,36.4,27.3,5,472(0),[西]藤岡健一,深見敏男,50.0
201308050102,6,6,9,パラプリュイ,牝2,54,太宰啓介,1:34.6,1/2,9-9,35.5,51.5,6,448(+12),[西]羽月友彦,永田和彦,
201308050102,7,7,12,ルールウイニング,牡2,55,国分恭介,1:34.8,1.1/4,11-10,35.5,78.8,10,470(+4),[西]福島信晴,杉元四男,
201308050102,8,4,5,ミンディ,牝2,54,北村友一,1:34.8,クビ,11-10,35.5,77.0,9,446(-2),[西]吉田直弘,小林秀樹,
201308050102,9,2,2,クリノオー,牡2,52,森一馬,1:35.0,1.1/2,7-7,36.2,286.3,14,424(-4),[西]谷潔,栗本守,
201308050102,10,5,8,オウショウ,牡2,55,酒井学,1:35.0,ハナ,7-7,36.2,68.2,8,456(+4),[西]西園正都,西川賢,
201308050102,11,6,10,ナガラフライト,牝2,54,幸英明,1:35.2,1.1/4,13-12,35.6,64.9,7,462(0),[西]大根田裕,長良レーシングクラブ,
201308050102,12,7,11,インペリアルブルー,牡2,55,和田竜二,1:35.2,ハナ,13-12,35.6,88.7,11,434(+2),[西]牧田和弥,ブルーマネジメント,
201308050102,13,3,4,オブシディアン,牡2,55,小牧太,1:36.6,9,10-14,37.3,206.7,13,466(+4),[西]笹田和秀,ノースヒルズ,
201308050102,14,8,14,スズカルーブル,牡2,55,熊沢重文,1:37.0,2.1/2,3-6,38.7,97.7,12,472(0),[西]大橋勇樹,永井啓弍,
201305050109,1,7,7,フェスティヴタロー,牡4,57,田中勝春,1:46.2,,1-1-1,34.5,2.5,1,502(+6),[東]天間昭一,臼井義太郎,"1,465.2"
201305050109,2,5,5,サイモンラムセス,牡3,54,メンディ,1:46.3,1/2,2-2-2,34.1,4.5,2,436(-6),[西]梅田智之,澤田昭紀,587.2
201305050109,3,3,3,バロンドゥフォール,牡3,54,蛯名正義,1:46.6,2,3-3-3,33.9,5.2,3,464(-4),[東]久保田貴,窪田康志,363.6
201305050109,4,4,4,ウィケットキーパー,牝4,53,内田博幸,1:46.8,1.1/2,5-5-5,33.4,9.3,6,454(+4),[東]国枝栄,吉田照哉,220.0
201305050109,5,8,9,インプレッシヴデイ,牡6,54,武豊,1:46.9,3/4,3-4-4,34.0,32.6,8,514(-4),[西]坂口正則,藤田在子,144.0
201305050109,6,7,8,ロンギングゴールド,牡3,52,北村宏司,1:47.1,1.1/2,8-8-8,33.1,8.9,5,454(-4),[東]勢司和浩,坂本浩一,
201305050109,7,1,1,クラリティーエス,牝3,51,吉田豊,1:47.5,2.1/2,8-6-6,33.8,18.0,7,480(+2),[東]松山康久,吉田照哉,
201305050109,8,8,10,ナンヨーケンゴー,セ3,54,戸崎圭太,1:47.9,2.1/2,6-6-6,34.2,8.6,4,476(+6),[東]斎藤誠,中村徳也,
201305050109,9,2,2,キタサンパイロット,牡4,54,高倉稜,1:48.3,2.1/2,8-10-10,33.9,79.4,9,472(+6),[西]清水久詞,大野商事,
201305050109,10,6,6,シンボリカージナル,牡7,52,江田照男,1:48.6,1.3/4,6-8-9,34.4,154.1,10,486(-6),[東]高橋祥泰,シンボリ牧場,
201305050108,1,4,6,スフィンクス,牝4,55,内田博幸,1:25.3,,6-5,36.6,3.4,1,460(-6),[東]武藤善則,佐々木雄二,720.0
201305050108,2,8,14,タニセンヴォイス,牝4,55,武豊,1:25.7,2.1/2,3-3,37.3,4.2,3,466(0),[東]堀井雅広,染谷幸雄,290.0
201305050108,3,5,7,アルデグロリア,牝3,54,武士沢友,1:25.7,アタマ,11-11,36.3,3.5,2,492(+2),[東]浅野洋一,井上修一,180.0
201305050108,4,8,13,メテオレイン,牝4,55,三浦皇成,1:26.0,1.3/4,10-10,36.7,69.4,11,464(-2),[東]松山将樹,亀井哲也,110.0
201305050108,5,7,12,ロマンシングジェム,牝3,54,田辺裕信,1:26.2,1.1/4,11-11,36.7,26.8,9,486(+6),[東]大和田成,吉田千津,72.0
201305050108,6,6,9,ラヴィーズバード,牝4,55,メンディ,1:26.4,1.1/4,6-5,37.7,12.4,5,448(-2),[東]手塚貴久,藤田在子,
201305050108,7,4,5,マイネエレーナ,牝5,55,柴田大知,1:26.4,クビ,3-3,37.9,18.5,7,436(-2),[東]清水美波,サラブレッドクラブ・ラフィアン,
201305050108,8,3,3,フランスギャル,牝4,55,吉田豊,1:26.6,1.1/4,13-13,36.8,38.5,10,476(-4),[東]粕谷昌央,菅原光博,
201305050108,9,1,1,ナムラケイオス,牝4,55,田中勝春,1:26.6,ハナ,5-7,37.8,21.7,8,522(+2),[東]新開幸一,奈村信重,
201305050108,10,5,8,スターファンタジア,牝4,55,松岡正海,1:26.8,1.1/4,14-14,36.8,110.9,14,482(+2),[東]石栗龍彦,下井道博,
201305050108,11,3,4,ハーモニーフェア,牝3,54,蛯名正義,1:26.9,1/2,8-8,37.9,12.1,4,454(-4),[東]牧光二,キャロットファーム,
201305050108,12,6,10,アガサ,牝3,54,戸崎圭太,1:27.1,1.1/4,8-8,38.0,84.8,13,490(-2),[東]清水英克,上野直樹,
201305050108,13,7,11,ニシノオドリコ,牝3,51,原田和真,1:27.3,1.1/4,2-1,39.1,75.0,12,470(-2),[東]小桧山悟,西山茂行,
201305050108,14,2,2,ベルモントラヴ,牝3,54,北村宏司,1:27.8,3,1-2,39.5,15.5,6,484(+2),[東]和田正一,ベルモントファーム,
201305050112,1,3,3,エアジェルブロワ,牝4,55,武豊,1:21.8,,2-2,33.8,1.8,1,478(-6),[西]笹田和秀,ラッキーフィールド,990.0
201305050112,2,7,10,ガーネットチャーム,牝4,55,蛯名正義,1:22.0,1.1/4,11-11,33.3,6.6,3,432(-2),[東]鹿戸雄一,社台レースホース,400.0
201305050112,3,8,12,ミナレット,牝3,54,松岡正海,1:22.2,1.1/2,3-3,34.1,14.4,4,468(+4),[東]大和田成,ミルファーム,250.0
201305050112,4,4,4,ゴールドカルラ,牝5,55,田辺裕信,1:22.2,クビ,5-5,33.9,29.0,8,510(-6),[東]高木登,磯波勇,150.0
201305050112,5,5,5,カディーシャ,牝4,55,戸崎圭太,1:22.3,クビ,8-9,33.8,16.0,6,420(-2),[東]武市康男,ヒダカ・ブリーダーズ・ユニオン,99.0
201305050112,6,1,1,マイネエポナ,牝4,55,柴田大知,1:22.3,クビ,3-3,34.1,80.5,11,450(0),[東]斎藤誠,サラブレッドクラブ・ラフィアン,
201305050112,7,6,7,ナオミノユメ,牝4,55,メンディ,1:22.4,1/2,8-8,34.0,15.0,5,430(-6),[西]吉田直弘,塩澤正樹,
201305050112,8,7,9,タガノルミナーレ,牝4,55,池添謙一,1:22.5,1/2,8-9,34.0,16.0,7,470(-2),[西]池添兼雄,八木良司,
201305050112,9,5,6,ローズノーブル,牝4,55,北村宏司,1:22.5,ハナ,5-5,34.2,5.8,2,418(-6),[東]古賀慎明,キャロットファーム,
201305050112,10,6,8,シャドウライフ,牝4,55,横山典弘,1:22.8,1.3/4,11-11,34.2,41.5,10,452(0),[東]加藤征弘,飯塚知一,
201305050112,11,8,11,フィリラ,牝4,55,内田博幸,1:22.9,1/2,5-5,34.6,35.3,9,458(-4),[西]藤岡健一,Ｈ．Ｈ．シェイク・モハメド,
201305050112,12,2,2,カラダエーピー,牝3,52,横山和生,1:23.0,1/2,1-1,35.1,125.0,12,474(-6),[東]尾形和幸,子安裕樹,
201308050103,1,2,4,ハニードント,牝2,54,国分恭介,1:12.7,,1-1,37.4,9.5,7,452(-6),[西]梅田康雄,薪浦亨,500.0
201308050103,2,4,7,マッドアバウトユー,牝2,54,松田大作,1:13.4,4,2-2,37.9,4.9,2,462(-2),[西]木原一良,加藤千豊,200.0
201308050103,3,5,10,カシノボルト,牡2,55,幸英明,1:13.5,1/2,4-3,37.8,7.1,4,504(+2),[西]藤沢則雄,柏木務,130.0
201308050103,4,4,8,ストレイトウェザー,牡2,55,四位洋文,1:14.1,3.1/2,13-11,36.8,46.3,10,484(-6),[西]増本豊,吉岡泰治,75.0
201308050103,5,1,1,アイズユーニン,牝2,54,酒井学,1:14.5,2.1/2,8-7,38.5,161.7,15,484(+8),[西]梅内忍,江口雄一郎,50.0
201308050103,6,6,11,セフィーロ,牡2,55,Ｍ．デム,1:14.5,アタマ,13-14,37.2,4.4,1,454(+2),[西]荒川義之,グリーンファーム,
201308050103,7,3,5,ローゼルキュート,牝2,54,藤岡康太,1:14.5,アタマ,4-3,38.8,55.4,12,464(+8),[西]小原伊佐,村上稔,
201308050103,8,5,9,タガノヴィグラス,牡2,55,小牧太,1:14.6,3/4,3-3,38.9,6.2,3,556(-14),[西]庄野靖志,八木良司,
201308050103,9,8,15,セトノヴィラーゴ,牝2,54,和田竜二,1:14.9,2,10-9,38.5,23.9,9,496(+4),[西]南井克巳,難波澄子,
201308050103,10,8,16,エスコルピオン,牝2,51,森一馬,1:15.0,クビ,4-6,39.2,77.7,14,458(-2),[西]野村彰彦,シルク,
201308050103,11,6,12,フルアヘッド,牡2,55,岩田康誠,1:15.1,3/4,8-7,39.0,8.5,5,472(-2),[西]浅見秀一,関駿也,
201308050103,12,3,6,シゲルヤシュウ,牡2,55,福永祐一,1:15.3,1,11-11,38.6,50.9,11,504(+4),[西]西橋豊治,森中蕃,
201308050103,13,7,14,キタサンゲッコウ,牝2,54,国分優作,1:15.3,クビ,7-9,39.3,18.9,8,474(-2),[西]鹿戸明,大野商事,
201308050103,14,2,3,マッサローザ,牝2,54,バルザロ,1:15.5,1.1/4,15-15,37.7,9.2,6,424(+2),[西]森秀行,赤沼秀典,
201308050103,15,7,13,テイエムスイテン,牡2,55,太宰啓介,1:16.1,3.1/2,11-13,39.2,56.2,13,510(-4),[西]柴田光陽,竹園正繼,
201308050103,16,1,2,ナムラレモン,牝2,54,松山弘平,1:18.3,大,16-16,39.2,247.3,16,454(-6),[西]作田誠二,奈村信重,
201305050110,1,8,13,ファイヤー,牡5,57,横山典弘,2:11.5,,11-11-2-5,37.2,4.8,2,518(+8),[西]本田優,深見富朗,"1,767.3"
201305050110,2,8,12,スターバリオン,牡4,57,田辺裕信,2:11.5,クビ,5-5-2-2,37.4,7.1,4,494(0),[西]藤岡健一,幅田昌伸,707.8
201305050110,3,5,6,メタギャラクシー,牡6,57,後藤浩輝,2:11.6,1/2,5-5-9-9,37.0,47.5,10,492(-6),[西]領家政蔵,ヒダカ・ブリーダーズ・ユニオン,443.9
