Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey_x,Time_x,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer_x,Banushi,Shoukin,Date,Track,Weather,Race Number,Distance,Condition
202436093010,1,8.0,10,ボウトロイ,牡6,56.0,岩本怜,1:41.0,,2-2-2-2,38.9,3.0,1.0,519(+3),[地]菅原勲,会田裕一,125.0,2024/09/30,水沢,晴,10.0,ダ1600,良
202436093010,2,1.0,1,ノーブルサターン,牡10,59.0,高松亮,1:41.0,ハナ,3-3-3-3,38.2,3.2,2.0,541(+3),[地]板垣吉則,吉木伸彦,43.8,2024/09/30,水沢,晴,10.0,ダ1600,良
202436093010,3,8.0,11,マイネルアストリア,牡7,54.0,関本玲花,1:41.5,3,1-1-1-1,39.8,26.1,7.0,551(-8),[地]関本浩司,岩渕瑞生,25.0,2024/09/30,水沢,晴,10.0,ダ1600,良
202436093010,4,5.0,5,トーセンマッシモ,セ6,56.0,塚本涼人,1:42.0,3,8-10-7-5,38.0,15.6,6.0,493(+1),[地]佐藤浩一,島川隆哉,16.3,2024/09/30,水沢,晴,10.0,ダ1600,良
202436093010,5,4.0,4,フレイムウィングス,セ7,56.0,山本政聡,1:42.4,2.1/2,8-7-6-7,38.5,10.9,4.0,481(+5),[地]酒井仁,鈴木雅俊,8.8,2024/09/30,水沢,晴,10.0,ダ1600,良
202436093010,6,6.0,7,グローリーグローリ,牡9,56.0,山本聡哉,1:42.4,ハナ,7-6-5-5,39.0,3.4,3.0,512(+2),[地]菅原勲,遠山淳,,2024/09/30,水沢,晴,10.0,ダ1600,良
202436093010,7,2.0,2,エイシンスコッティ,セ5,56.0,高橋悠里,1:43.3,6,5-4-4-4,40.0,12.4,5.0,555(+6),[地]板垣吉則,平井克彦,,2024/09/30,水沢,晴,10.0,ダ1600,良
202436093010,8,7.0,8,キャリアパス,牡4,56.0,坂口裕一,1:43.4,1/2,11-11-11-9,38.9,69.1,9.0,528(+1),[地]高橋純,岩渕道良,,2024/09/30,水沢,晴,10.0,ダ1600,良
202436093010,9,6.0,6,ジャッジ,牡7,56.0,阿部英俊,1:44.4,6,8-7-8-8,40.4,176.1,10.0,519(+4),[地]三野宮通,由利一郎,,2024/09/30,水沢,晴,10.0,ダ1600,良
202436093010,10,3.0,3,ボンジュールリーゼ,牝4,54.0,関本淳,1:44.9,3,5-7-10-11,40.7,46.4,8.0,466(-7),[地]晴山厚司,川村初美,,2024/09/30,水沢,晴,10.0,ダ1600,良
202436093010,11,7.0,9,グレートキャンベラ,牡5,56.0,大坪慎,1:45.2,1.1/2,4-4-9-10,41.4,221.8,11.0,498(+5),[地]橘友和,（株）ラ・メール,,2024/09/30,水沢,晴,10.0,ダ1600,良
202436093002,1,1.0,1,ミルキー,牝5,54.0,菅原辰徳,0:51.5,,1-1,36.6,1.4,1.0,472(+2),[地]佐々木由,シグラップ・マネジメ,40.0,2024/09/30,水沢,晴,2.0,ダ850,良
202436093002,2,8.0,8,ユキノマツシマ,牡6,56.0,塚本涼人,0:51.8,2,3-3,36.5,4.6,2.0,502(0),[地]畠山信一,鈴木雅俊,14.0,2024/09/30,水沢,晴,2.0,ダ850,良
202436093002,3,4.0,4,ドラマ,牡8,56.0,坂口裕一,0:51.9,クビ,6-5,35.9,11.8,5.0,495(+2),[地]瀬戸幸一,村上豊蔵,8.0,2024/09/30,水沢,晴,2.0,ダ850,良
202436093002,4,5.0,5,ダズンフラワー,牝10,54.0,陶文峰,0:52.0,3/4,5-4,36.3,32.1,6.0,434(+1),[地]菅原右吉,後藤順男,5.2,2024/09/30,水沢,晴,2.0,ダ850,良
202436093002,5,3.0,3,ソルレベンテ,牝4,54.0,高松亮,0:52.5,3,1-2,37.5,11.4,4.0,418(+2),[地]佐藤雅彦,吉田勝利,2.8,2024/09/30,水沢,晴,2.0,ダ850,良
202436093002,6,6.0,6,アローゴールド,牡5,56.0,村上忍,0:52.5,アタマ,7-7,36.3,53.5,8.0,433(-5),[地]佐藤雅彦,相馬哲夫,,2024/09/30,水沢,晴,2.0,ダ850,良
202436093002,7,2.0,2,ジュエルマドンナ,牝4,54.0,岩本怜,0:53.3,5,8-8,37.1,34.6,7.0,425(+4),[地]三野宮通,（株）アプエンテ,,2024/09/30,水沢,晴,2.0,ダ850,良
202436093002,8,7.0,7,クリノケンリュウ,牡10,56.0,小林凌,0:55.2,大,4-6,39.4,8.4,3.0,519(+1),[地]飯田弘道,北原大史,,2024/09/30,水沢,晴,2.0,ダ850,良
202436093003,1,2.0,2,マイジュネス,牡5,56.0,坂口裕一,1:29.8,,1-1-1-1,38.9,2.0,1.0,472(+2),[地]千葉幸喜,安川幸彦,40.0,2024/09/30,水沢,晴,3.0,ダ1400,良
202436093003,2,4.0,4,オウケンアマゾネス,牝7,54.0,高橋悠里,1:31.1,8,3-3-2-2,39.7,3.6,2.0,478(-8),[地]三野宮通,（株）アプエンテ,14.0,2024/09/30,水沢,晴,3.0,ダ1400,良
202436093003,3,8.0,8,デンジャーマン,牡6,56.0,山本政聡,1:31.2,3/4,7-7-5-5,38.9,9.0,5.0,424(-1),[地]斉藤雄一,浦野智恵子,8.0,2024/09/30,水沢,晴,3.0,ダ1400,良
202436093003,4,5.0,5,シャイニーメイン,牝5,54.0,岩本怜,1:31.6,2.1/2,4-4-2-3,40.1,6.2,4.0,461(+1),[地]三野宮通,（株）アプエンテ,5.2,2024/09/30,水沢,晴,3.0,ダ1400,良
202436093003,5,6.0,6,スペキュレイション,牡4,54.0,関本玲花,1:31.7,3/4,8-8-7-7,39.0,56.9,7.0,427(-2),[地]工藤裕孝,畠山浩司,2.8,2024/09/30,水沢,晴,3.0,ダ1400,良
202436093003,6,1.0,1,シャイニーセンス,牡4,56.0,関本淳,1:31.7,クビ,5-5-5-6,39.8,49.0,6.0,493(-1),[地]晴山厚司,小林昌志,,2024/09/30,水沢,晴,3.0,ダ1400,良
202436093003,7,3.0,3,アイアンレディ,牝5,54.0,高松亮,1:32.1,2.1/2,2-2-4-4,40.7,5.6,3.0,514(+1),[地]千葉幸喜,楊明翰,,2024/09/30,水沢,晴,3.0,ダ1400,良
202436093003,8,7.0,7,ハバネロ,牝8,54.0,大坪慎,1:34.1,大,6-6-8-8,41.5,206.4,8.0,438(-1),[地]工藤裕孝,結城喜一,,2024/09/30,水沢,晴,3.0,ダ1400,良
202436093004,1,6.0,6,リョウガ,セ7,56.0,小林凌,1:30.0,,2-2-2-2,39.5,4.6,2.0,452(+5),[地]飯田弘道,太田雅貴,40.0,2024/09/30,水沢,晴,4.0,ダ1400,良
202436093004,2,4.0,4,フルールエトワール,牝7,54.0,山本政聡,1:30.1,1/2,1-1-1-1,39.7,18.1,4.0,497(-7),[地]飯田弘道,高松悟,14.0,2024/09/30,水沢,晴,4.0,ダ1400,良
202436093004,3,2.0,2,タイガ,牡7,56.0,高松亮,1:30.8,4,4-4-3-3,39.2,6.9,3.0,507(-8),[地]板垣吉則,石橋敏行,8.0,2024/09/30,水沢,晴,4.0,ダ1400,良
202436093004,4,3.0,3,ヴェスパーローズ,牝5,54.0,塚本涼人,1:31.2,2.1/2,5-5-5-4,39.2,26.6,5.0,463(+1),[地]新田守,谷謙介,5.2,2024/09/30,水沢,晴,4.0,ダ1400,良
202436093004,5,8.0,8,ビルボードクィーン,牝6,54.0,山本聡哉,1:31.3,クビ,7-7-6-5,39.0,1.3,1.0,482(+5),[地]斉藤雄一,吉田勝利,2.8,2024/09/30,水沢,晴,4.0,ダ1400,良
202436093004,6,5.0,5,プライムデイ,牡6,56.0,坂口裕一,1:31.8,3,7-8-7-7,39.3,42.6,6.0,512(+1),[地]高橋純,加藤和成,,2024/09/30,水沢,晴,4.0,ダ1400,良
202436093004,7,7.0,7,フェミニンルック,牝6,54.0,南郷家全,1:32.5,4,3-3-3-6,40.9,82.9,7.0,415(+1),[地]高橋純,大黒富美子,,2024/09/30,水沢,晴,4.0,ダ1400,良
202436093004,8,1.0,1,フレンドパーティー,セ4,56.0,菅原辰徳,1:32.7,1,6-6-8-8,40.2,103.3,8.0,458(+3),[地]櫻田浩樹,横尾晴人,,2024/09/30,水沢,晴,4.0,ダ1400,良
202436093006,1,6.0,7,ロックオブソシジ,牡3,56.0,高松亮,1:23.5,,5-6-2-1,40.0,1.5,1.0,453(-1),[地]佐藤雅彦,石橋和夫,45.0,2024/09/30,水沢,晴,6.0,ダ1300,良
202436093006,2,6.0,6,ベノワ,牝3,54.0,山本政聡,1:24.0,3,8-7-7-4,39.3,58.8,10.0,450(-19),[地]斉藤雄一,松谷翔太,15.8,2024/09/30,水沢,晴,6.0,ダ1300,良
